gen,fitness
0,560
1,562
2,562
3,570
4,570
5,570
6,576
7,576
8,580
9,580
10,583
11,587
12,587
13,593
14,594
15,597
16,598
17,603
18,605
19,605
20,609
21,611
22,611
23,616
24,619
25,619
26,622
27,629
28,629
29,633
30,636
31,636
32,636
33,636
34,638
35,638
36,640
37,643
38,647
39,647
40,647
41,651
42,651
43,653
44,653
45,655
46,656
47,660
48,660
49,664
50,670
51,670
52,670
53,670
54,674
55,679
56,679
57,679
58,681
59,693
60,694
61,694
62,697
63,698
64,698
65,700
66,700
67,701
68,701
69,702
70,703
71,705
72,707
73,709
74,710
75,714
76,715
77,715
78,716
79,717
80,721
81,721
82,722
83,723
84,723
85,727
86,727
87,727
88,732
89,732
90,732
91,736
92,738
93,740
94,740
95,741
96,742
97,747
98,747
99,748
100,748
101,750
102,752
103,753
104,755
105,759
106,759
107,762
108,762
109,763
110,764
111,764
112,764
113,765
114,765
115,768
116,768
117,770
118,772
119,772
120,775
121,778
122,780
123,780
124,781
125,783
126,786
127,788
128,788
129,788
130,791
131,791
132,792
133,795
134,795
135,796
136,796
137,798
138,800
139,800
140,800
141,802
142,804
143,807
144,811
145,811
146,811
147,811
148,812
149,812
150,812
151,815
152,815
153,815
154,818
155,820
156,820
157,822
158,823
159,827
160,827
161,827
162,827
163,827
164,828
165,828
166,831
167,833
168,833
169,833
170,837
171,838
172,838
173,838
174,841
175,841
176,842
177,845
178,847
179,847
180,847
181,849
182,850
183,851
184,851
185,852
186,853
187,853
188,855
189,857
190,858
191,859
192,859
193,860
194,861
195,861
196,863
197,863
198,867
199,867
