gen,fitness
0,566
1,573
2,573
3,573
4,574
5,576
6,576
7,577
8,578
9,579
10,585
11,590
12,590
13,596
14,598
15,598
16,598
17,602
18,604
19,606
20,607
21,614
22,614
23,622
24,622
25,622
26,622
27,629
28,629
29,629
30,629
31,630
32,636
33,636
34,642
35,642
36,642
37,642
38,645
39,646
40,650
41,650
42,650
43,658
44,658
45,661
46,661
47,661
48,662
49,664
50,666
51,669
52,672
53,672
54,673
55,674
56,675
57,677
58,678
59,681
60,681
61,685
62,686
63,686
64,688
65,697
66,697
67,698
68,700
69,702
70,705
71,705
72,706
73,706
74,709
75,709
76,709
77,712
78,717
79,717
80,717
81,717
82,721
83,722
84,723
85,730
86,730
87,730
88,731
89,732
90,734
91,735
92,735
93,741
94,741
95,741
96,745
97,745
98,745
99,747
100,750
101,750
102,750
103,752
104,753
105,756
106,756
107,758
108,764
109,764
110,764
111,764
112,766
113,767
114,770
115,770
116,773
117,773
118,774
119,774
120,777
121,779
122,779
123,781
124,782
125,788
126,788
127,788
128,788
129,788
130,789
131,793
132,795
133,798
134,798
135,800
136,800
137,802
138,802
139,804
140,807
141,807
142,807
143,809
144,813
145,813
146,813
147,813
148,816
149,816
150,819
151,819
152,822
153,823
154,823
155,824
156,824
157,827
158,827
159,827
160,828
161,828
162,832
163,832
164,832
165,832
166,837
167,837
168,837
169,842
170,844
171,844
172,846
173,846
174,846
175,847
176,848
177,848
178,849
179,849
180,852
181,852
182,853
183,853
184,854
185,856
186,856
187,858
188,858
189,858
190,861
191,861
192,862
193,862
194,863
195,864
196,865
197,866
198,867
199,868
