gen,fitness,picos
0,568,3117
1,568,279
2,568,25
3,568,17
4,568,24
5,579,138
6,579,11
7,586,14
8,592,23
9,592,16
10,592,21
11,592,144
12,593,30
13,593,22
14,593,15
15,601,24
16,602,22
17,602,17
18,607,14
19,607,13
20,607,18
21,608,20
22,610,17
23,610,18
24,616,25
25,617,18
26,619,20
27,619,16
28,622,21
29,623,18
30,627,17
31,627,20
32,632,17
33,632,18
34,636,18
35,636,19
36,639,19
37,639,13
38,639,16
39,642,159
40,644,10
41,648,19
42,648,20
43,649,11
44,651,21
45,654,17
46,657,19
47,657,18
48,658,18
49,661,22
50,662,19
51,663,14
52,669,18
53,671,15
54,672,25
55,678,20
56,678,21
57,678,22
58,679,10
59,680,19
60,690,18
61,690,16
62,690,15
63,691,19
64,691,23
65,691,18
66,695,20
67,695,19
68,695,17
69,696,18
70,698,10
71,703,21
72,703,25
73,703,25
74,704,434
75,705,20
76,709,21
77,709,18
78,712,20
79,715,15
80,716,18
81,722,11
82,722,16
83,722,21
84,723,25
85,723,13
86,723,15
87,728,13
88,730,11
89,730,17
90,732,12
91,733,15
92,734,21
93,738,20
94,738,21
95,742,17
96,742,17
97,742,14
98,747,23
99,747,17
100,747,22
101,748,13
102,748,17
103,751,12
104,754,14
105,754,12
106,755,15
107,758,13
108,758,22
109,761,22
110,762,19
111,762,13
112,766,18
113,766,12
114,767,15
115,767,15
116,769,19
117,771,22
118,773,21
119,773,21
120,773,16
121,774,20
122,778,19
123,779,17
124,779,13
125,780,14
126,781,18
127,784,15
128,784,18
129,786,21
130,786,16
131,788,18
132,788,18
133,790,16
134,790,15
135,791,18
136,794,21
137,794,14
138,796,17
139,796,21
140,798,17
141,800,21
142,801,17
143,801,17
144,804,13
145,805,21
146,806,19
147,807,18
148,807,24
149,812,15
150,812,15
151,813,16
152,813,15
153,816,17
154,816,16
155,818,13
156,818,16
157,818,17
158,820,11
159,820,22
160,821,18
161,821,19
162,824,15
163,825,19
164,827,22
165,827,23
166,830,13
167,830,14
168,831,15
169,832,14
170,832,17
171,835,20
172,835,22
173,835,18
174,838,17
175,838,18
176,840,16
177,840,17
178,841,15
179,843,21
180,846,16
181,846,17
182,846,19
183,846,17
184,846,20
185,847,19
186,849,18
187,852,16
188,852,20
189,854,14
190,854,19
191,854,25
192,857,24
193,857,18
194,858,19
195,859,12
196,860,14
197,861,18
198,862,16
199,863,17
