gen,fitness,picos
0,564,1
1,564,0
2,571,0
3,571,0
4,571,0
5,571,0
6,572,0
7,573,0
8,587,0
9,587,0
10,588,0
11,589,0
12,591,0
13,600,0
14,600,0
15,600,0
16,601,0
17,608,0
18,608,0
19,615,0
20,616,0
21,619,0
22,619,0
23,620,0
24,623,0
25,623,0
26,623,0
27,629,0
28,629,0
29,629,0
30,631,0
31,631,0
32,638,0
33,638,0
34,644,0
35,644,0
36,644,0
37,646,0
38,646,0
39,646,0
40,649,0
41,652,0
42,652,0
43,654,0
44,657,0
45,657,0
46,657,0
47,664,0
48,664,0
49,664,0
50,664,0
51,668,0
52,671,0
53,671,0
54,671,0
55,674,0
56,674,0
57,680,0
58,680,0
59,680,0
60,682,0
61,686,0
62,686,0
63,689,0
64,690,0
65,695,0
66,696,0
67,696,0
68,698,0
69,701,0
70,702,0
71,702,0
72,705,0
73,705,0
74,707,0
75,708,0
76,711,0
77,715,0
78,715,0
79,717,0
80,717,0
81,719,0
82,723,0
83,724,0
84,725,0
85,725,0
86,728,0
87,729,0
88,732,0
89,735,0
90,735,0
91,736,0
92,737,0
93,738,0
94,738,0
95,739,0
96,746,0
97,746,0
98,747,0
99,747,0
100,750,0
101,751,0
102,754,0
103,754,0
104,756,0
105,757,0
106,758,0
107,758,0
108,760,0
109,763,0
110,763,0
111,766,0
112,766,0
113,767,0
114,767,0
115,769,0
116,772,0
117,775,0
118,776,0
119,778,0
120,781,0
121,782,0
122,782,0
123,782,0
124,783,0
125,783,0
126,785,0
127,786,0
128,786,0
129,788,0
130,790,0
131,791,0
132,793,0
133,794,0
134,796,0
135,796,0
136,796,0
137,798,0
138,798,0
139,798,0
140,801,0
141,801,0
142,803,0
143,803,0
144,804,0
145,806,0
146,806,0
147,809,0
148,809,0
149,810,0
150,813,0
151,815,0
152,815,0
153,816,0
154,817,0
155,818,0
156,822,0
157,823,0
158,824,0
159,827,0
160,827,0
161,829,0
162,829,0
163,830,0
164,830,0
165,831,0
166,832,0
167,833,0
168,835,0
169,835,0
170,837,0
171,837,0
172,838,0
173,838,0
174,838,0
175,842,0
176,843,0
177,843,0
178,844,0
179,844,0
180,847,0
181,848,0
182,848,0
183,849,0
184,850,0
185,851,0
186,851,0
187,854,0
188,854,0
189,857,0
190,857,0
191,858,0
192,858,0
193,858,0
194,858,0
195,860,0
196,862,0
197,862,0
198,866,0
199,866,0
