gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,42500,,1809.0,,1809.0,1724.0,1771.0
1,42500,,1819.0,,1819.0,1737.0,1782.0
2,42500,,1830.0,,1830.0,1755.0,1791.0
3,42500,,1830.0,,1830.0,1762.0,1798.0
4,42500,,1834.0,,1834.0,1774.0,1804.0
5,42500,,1836.0,,1836.0,1774.0,1810.0
6,42500,,1846.0,,1846.0,1786.0,1815.0
7,42500,,1888.0,,1888.0,1801.0,1820.0
8,42500,,1888.0,,1888.0,1801.0,1824.0
9,42500,,1888.0,,1888.0,1803.0,1830.0
10,42500,,1888.0,,1888.0,1814.0,1835.0
11,42500,,1888.0,,1888.0,1817.0,1839.0
12,42500,,1888.0,,1888.0,1822.0,1844.0
13,42500,,1888.0,,1888.0,1825.0,1850.0
14,42500,,1888.0,,1888.0,1828.0,1855.0
15,42500,,1891.0,,1891.0,1830.0,1859.0
16,42500,,1891.0,,1891.0,1837.0,1863.0
17,42500,,1895.0,,1895.0,1840.0,1867.0
18,42500,,1895.0,,1895.0,1844.0,1871.0
19,42500,,1911.0,,1911.0,1853.0,1874.0
20,42500,,1911.0,,1911.0,1859.0,1878.0
21,42500,,1911.0,,1911.0,1864.0,1881.0
22,42500,,1911.0,,1911.0,1866.0,1884.0
23,42500,,1912.0,,1912.0,1868.0,1888.0
24,42500,,1913.0,,1913.0,1869.0,1891.0
25,42500,,1921.0,,1921.0,1869.0,1895.0
26,42500,,1921.0,,1921.0,1871.0,1898.0
27,42500,,1922.0,,1922.0,1872.0,1901.0
28,42500,,1922.0,,1922.0,1881.0,1903.0
29,42500,,1922.0,,1922.0,1890.0,1906.0
30,42500,,1922.0,,1922.0,1891.0,1909.0
31,42500,,1931.0,,1931.0,1893.0,1911.0
32,42500,,1931.0,,1931.0,1893.0,1914.0
33,42500,,1938.0,,1938.0,1899.0,1916.0
34,42500,,1938.0,,1938.0,1901.0,1918.0
35,42500,,1943.0,,1943.0,1903.0,1921.0
36,42500,,1943.0,,1943.0,1906.0,1924.0
37,42500,,1946.0,,1946.0,1907.0,1927.0
38,42500,,1946.0,,1946.0,1909.0,1930.0
39,42500,,1952.0,,1952.0,1909.0,1933.0
40,42500,,1952.0,,1952.0,1914.0,1935.0
41,42500,,1959.0,,1959.0,1918.0,1938.0
42,42500,,1960.0,,1960.0,1919.0,1941.0
43,42500,,1960.0,,1960.0,1919.0,1944.0
44,42500,,1969.0,,1969.0,1922.0,1946.0
45,42500,,1971.0,,1971.0,1922.0,1950.0
46,42500,,1975.0,,1975.0,1932.0,1952.0
47,42500,,1975.0,,1975.0,1936.0,1954.0
48,42500,,1976.0,,1976.0,1938.0,1956.0
