gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,37500,,1828.0,1828.0,1721.0,1763.0
1,37500,,1828.0,1828.0,1723.0,1772.0
2,37500,,1847.0,1847.0,1740.0,1782.0
3,37500,,1857.0,1857.0,1751.0,1791.0
4,37500,,1857.0,1857.0,1759.0,1799.0
5,37500,,1857.0,1857.0,1763.0,1805.0
6,37500,,1857.0,1857.0,1772.0,1812.0
7,37500,,1857.0,1857.0,1779.0,1818.0
8,37500,,1858.0,1858.0,1788.0,1824.0
9,37500,,1859.0,1859.0,1798.0,1830.0
10,37500,,1867.0,1867.0,1802.0,1835.0
11,37500,,1867.0,1867.0,1818.0,1840.0
12,37500,,1877.0,1877.0,1824.0,1845.0
13,37500,,1877.0,1877.0,1824.0,1848.0
14,37500,,1879.0,1879.0,1828.0,1853.0
15,37500,,1884.0,1884.0,1831.0,1858.0
16,37500,,1889.0,1889.0,1839.0,1863.0
17,37500,,1903.0,1903.0,1841.0,1867.0
18,37500,,1906.0,1906.0,1842.0,1872.0
19,37500,,1906.0,1906.0,1842.0,1876.0
20,37500,,1914.0,1914.0,1850.0,1882.0
21,37500,,1915.0,1915.0,1859.0,1886.0
22,37500,,1915.0,1915.0,1859.0,1891.0
23,37500,,1930.0,1930.0,1859.0,1897.0
24,37500,,1930.0,1930.0,1872.0,1901.0
25,37500,,1930.0,1930.0,1872.0,1905.0
26,37500,,1943.0,1943.0,1888.0,1909.0
27,37500,,1948.0,1948.0,1891.0,1913.0
28,37500,,1948.0,1948.0,1894.0,1917.0
29,37500,,1948.0,1948.0,1894.0,1922.0
30,37500,,1950.0,1950.0,1895.0,1925.0
31,37500,,1950.0,1950.0,1902.0,1929.0
32,37500,,1951.0,1951.0,1902.0,1932.0
33,37500,,1952.0,1952.0,1903.0,1936.0
34,37500,,1956.0,1956.0,1913.0,1940.0
35,37500,,1956.0,1956.0,1926.0,1943.0
36,37500,,1962.0,1962.0,1932.0,1946.0
37,37500,,1962.0,1962.0,1934.0,1949.0
38,37500,,1967.0,1967.0,1934.0,1951.0
39,37500,,1971.0,1971.0,1934.0,1953.0
40,37500,,1973.0,1973.0,1935.0,1955.0
41,37500,,1981.0,1981.0,1938.0,1958.0
42,37500,,1981.0,1981.0,1938.0,1960.0
43,37500,,1981.0,1981.0,1944.0,1963.0
44,37500,,1987.0,1987.0,1950.0,1965.0
45,37500,,1987.0,1987.0,1951.0,1968.0
46,37500,,1992.0,1992.0,1952.0,1970.0
47,37500,,1992.0,1992.0,1959.0,1972.0
48,37500,,1992.0,1992.0,1960.0,1975.0
49,37500,,1992.0,1992.0,1960.0,1978.0
50,37500,,1999.0,1999.0,1965.0,1981.0
51,37500,,2002.0,2002.0,1968.0,1985.0
52,37500,,2002.0,2002.0,1972.0,1988.0
53,37500,,2009.0,2009.0,1977.0,1991.0
54,37500,,2013.0,2013.0,1979.0,1992.0
55,37500,,2013.0,2013.0,1979.0,1995.0
56,37500,,2014.0,2014.0,1983.0,1997.0
