gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,22500,8,1804.0,,1804.0,1710.0,1762.0
1,22500,8,1820.0,,1820.0,1722.0,1773.0
2,22500,8,1826.0,,1826.0,1743.0,1784.0
3,22500,8,1826.0,,1826.0,1754.0,1792.0
4,22500,8,1849.0,,1849.0,1759.0,1799.0
5,22500,8,1856.0,,1856.0,1770.0,1807.0
6,22500,8,1856.0,,1856.0,1770.0,1812.0
7,22500,8,1856.0,,1856.0,1782.0,1818.0
8,22500,8,1856.0,,1856.0,1793.0,1824.0
9,22500,8,1868.0,,1868.0,1793.0,1830.0
10,22500,8,1874.0,,1874.0,1801.0,1837.0
11,22500,8,1874.0,,1874.0,1801.0,1843.0
12,22500,8,1879.0,,1879.0,1801.0,1848.0
13,22500,8,1879.0,,1879.0,1818.0,1853.0
14,22500,8,1881.0,,1881.0,1825.0,1859.0
15,22500,8,1882.0,,1882.0,1832.0,1863.0
16,22500,8,1889.0,,1889.0,1836.0,1868.0
17,22500,8,1901.0,,1901.0,1846.0,1872.0
18,22500,8,1901.0,,1901.0,1853.0,1876.0
19,22500,8,1901.0,,1901.0,1854.0,1879.0
20,22500,8,1901.0,,1901.0,1855.0,1883.0
21,22500,8,1906.0,,1906.0,1856.0,1886.0
22,22500,8,1910.0,,1910.0,1871.0,1889.0
23,22500,8,1911.0,,1911.0,1878.0,1893.0
24,22500,8,1914.0,,1914.0,1880.0,1896.0
25,22500,8,1914.0,,1914.0,1880.0,1899.0
26,22500,8,1925.0,,1925.0,1880.0,1902.0
27,22500,8,1925.0,,1925.0,1885.0,1906.0
28,22500,8,1925.0,,1925.0,1889.0,1909.0
29,22500,8,1925.0,,1925.0,1889.0,1912.0
30,22500,8,1935.0,,1935.0,1900.0,1915.0
31,22500,8,1936.0,,1936.0,1900.0,1918.0
32,22500,8,1936.0,,1936.0,1901.0,1921.0
33,22500,8,1940.0,,1940.0,1901.0,1923.0
34,22500,8,1940.0,,1940.0,1906.0,1925.0
35,22500,8,1940.0,,1940.0,1907.0,1928.0
36,22500,8,1941.0,,1941.0,1907.0,1929.0
