gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,25000,4,1831.0,1831.0,1703.0,1770.0
1,25000,4,1833.0,1833.0,1720.0,1783.0
2,25000,4,1836.0,1836.0,1764.0,1792.0
3,25000,4,1836.0,1836.0,1764.0,1797.0
4,25000,4,1836.0,1836.0,1775.0,1803.0
5,25000,4,1841.0,1841.0,1777.0,1810.0
6,25000,4,1850.0,1850.0,1782.0,1817.0
7,25000,4,1853.0,1853.0,1790.0,1822.0
8,25000,4,1857.0,1857.0,1804.0,1827.0
9,25000,4,1867.0,1867.0,1806.0,1834.0
10,25000,4,1867.0,1867.0,1814.0,1839.0
11,25000,4,1887.0,1887.0,1815.0,1845.0
12,25000,4,1887.0,1887.0,1825.0,1850.0
13,25000,4,1897.0,1897.0,1832.0,1855.0
14,25000,4,1897.0,1897.0,1837.0,1859.0
15,25000,4,1897.0,1897.0,1837.0,1864.0
16,25000,4,1903.0,1903.0,1846.0,1869.0
17,25000,4,1905.0,1905.0,1847.0,1874.0
18,25000,4,1905.0,1905.0,1853.0,1878.0
19,25000,4,1913.0,1913.0,1856.0,1884.0
20,25000,4,1913.0,1913.0,1858.0,1889.0
21,25000,4,1914.0,1914.0,1860.0,1894.0
22,25000,4,1929.0,1929.0,1863.0,1898.0
23,25000,4,1932.0,1932.0,1870.0,1903.0
24,25000,4,1932.0,1932.0,1870.0,1908.0
25,25000,4,1937.0,1937.0,1894.0,1912.0
26,25000,4,1940.0,1940.0,1895.0,1917.0
27,25000,4,1944.0,1944.0,1899.0,1921.0
28,25000,4,1944.0,1944.0,1903.0,1924.0
29,25000,4,1950.0,1950.0,1906.0,1927.0
30,25000,4,1950.0,1950.0,1908.0,1929.0
31,25000,4,1951.0,1951.0,1912.0,1932.0
32,25000,4,1952.0,1952.0,1916.0,1935.0
33,25000,4,1953.0,1953.0,1916.0,1938.0
34,25000,4,1955.0,1955.0,1920.0,1940.0
35,25000,4,1959.0,1959.0,1920.0,1943.0
36,25000,4,1959.0,1959.0,1925.0,1945.0
37,25000,4,1959.0,1959.0,1926.0,1946.0
38,25000,4,1962.0,1962.0,1928.0,1948.0
39,25000,4,1964.0,1964.0,1933.0,1950.0
40,25000,4,1964.0,1964.0,1939.0,1952.0
41,25000,4,1970.0,1970.0,1943.0,1954.0
42,25000,4,1970.0,1970.0,1944.0,1955.0
43,25000,4,1971.0,1971.0,1946.0,1957.0
44,25000,4,1971.0,1971.0,1948.0,1958.0
45,25000,4,1972.0,1972.0,1948.0,1960.0
46,25000,4,1972.0,1972.0,1949.0,1962.0
47,25000,4,1973.0,1973.0,1949.0,1963.0
48,25000,4,1974.0,1974.0,1950.0,1966.0
49,25000,4,1975.0,1975.0,1950.0,1967.0
50,25000,4,1975.0,1975.0,1954.0,1968.0
51,25000,4,1979.0,1979.0,1960.0,1970.0
52,25000,4,1979.0,1979.0,1963.0,1971.0
53,25000,4,1979.0,1979.0,1963.0,1972.0
54,25000,4,1981.0,1981.0,1966.0,1973.0
55,25000,4,1983.0,1983.0,1967.0,1975.0
56,25000,4,1985.0,1985.0,1967.0,1976.0
57,25000,4,1986.0,1986.0,1972.0,1978.0
58,25000,4,1989.0,1989.0,1974.0,1979.0
59,25000,4,1993.0,1993.0,1974.0,1981.0
60,25000,4,1993.0,1993.0,1976.0,1982.0
61,25000,4,1996.0,1996.0,1978.0,1983.0
62,25000,4,1996.0,1996.0,1979.0,1984.0
63,25000,4,1996.0,1996.0,1981.0,1986.0
64,25000,4,2000.0,2000.0,1981.0,1987.0
65,25000,4,2000.0,2000.0,1981.0,1988.0
66,25000,4,2003.0,2003.0,1983.0,1990.0
67,25000,4,2004.0,2004.0,1984.0,1992.0
68,25000,4,2008.0,2008.0,1984.0,1993.0
69,25000,4,2008.0,2008.0,1984.0,1994.0
70,25000,4,2009.0,2009.0,1984.0,1997.0
71,25000,4,2010.0,2010.0,1988.0,1998.0
72,25000,4,2010.0,2010.0,1989.0,2000.0
73,25000,4,2010.0,2010.0,1989.0,2001.0
74,25000,4,2011.0,2011.0,1994.0,2003.0
75,25000,4,2013.0,2013.0,1995.0,2004.0
76,25000,4,2014.0,2014.0,2000.0,2005.0
77,25000,4,2014.0,2014.0,2000.0,2006.0
78,25000,4,2015.0,2015.0,2001.0,2007.0
79,25000,4,2015.0,2015.0,2002.0,2008.0
80,25000,4,2015.0,2015.0,2003.0,2009.0
81,25000,4,2016.0,2016.0,2005.0,2010.0
82,25000,4,2016.0,2016.0,2006.0,2011.0
83,25000,4,2016.0,2016.0,2006.0,2012.0
84,25000,4,2017.0,2017.0,2006.0,2013.0
85,25000,4,2055.0,2055.0,2005.0,2014.0
86,25000,4,2055.0,2055.0,2008.0,2016.0
87,25000,4,2055.0,2055.0,2008.0,2018.0
88,25000,4,2055.0,2055.0,2011.0,2020.0
89,25000,4,2055.0,2055.0,2012.0,2023.0
90,25000,4,2055.0,2055.0,2013.0,2026.0
91,25000,4,2055.0,2055.0,2014.0,2029.0
92,25000,4,2069.0,2069.0,2016.0,2033.0
93,25000,4,2069.0,2069.0,2017.0,2037.0
94,25000,4,2077.0,2077.0,2017.0,2040.0
95,25000,4,2080.0,2080.0,2018.0,2046.0
96,25000,4,2090.0,2090.0,2019.0,2051.0
97,25000,4,2090.0,2090.0,2019.0,2055.0
98,25000,4,2090.0,2090.0,2021.0,2060.0
99,25000,4,2090.0,2090.0,2037.0,2065.0
100,25000,4,2102.0,2102.0,2037.0,2068.0
101,25000,4,2102.0,2102.0,2037.0,2073.0
102,25000,4,2105.0,2105.0,2038.0,2076.0
103,25000,4,2105.0,2105.0,2041.0,2079.0
104,25000,4,2106.0,2106.0,2047.0,2083.0
105,25000,4,2107.0,2107.0,2048.0,2086.0
106,25000,4,2107.0,2107.0,2066.0,2088.0
107,25000,4,2110.0,2110.0,2073.0,2092.0
108,25000,4,2110.0,2110.0,2075.0,2094.0
109,25000,4,2110.0,2110.0,2076.0,2096.0
110,25000,4,2113.0,2113.0,2083.0,2098.0
111,25000,4,2113.0,2113.0,2083.0,2101.0
112,25000,4,2118.0,2118.0,2085.0,2103.0
113,25000,4,2118.0,2118.0,2085.0,2104.0
114,25000,4,2119.0,2119.0,2092.0,2106.0
115,25000,4,2120.0,2120.0,2092.0,2108.0
116,25000,4,2120.0,2120.0,2093.0,2110.0
117,25000,4,2120.0,2120.0,2100.0,2112.0
118,25000,4,2127.0,2127.0,2103.0,2113.0
119,25000,4,2127.0,2127.0,2105.0,2115.0
120,25000,4,2128.0,2128.0,2106.0,2116.0
