gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,50000,4,1840.0,1840.0,1730.0,1772.0
1,50000,4,1840.0,1840.0,1740.0,1784.0
2,50000,4,1851.0,1851.0,1759.0,1793.0
3,50000,4,1853.0,1853.0,1770.0,1802.0
4,50000,4,1854.0,1854.0,1773.0,1809.0
5,50000,4,1856.0,1856.0,1777.0,1819.0
6,50000,4,1862.0,1862.0,1788.0,1825.0
7,50000,4,1869.0,1869.0,1800.0,1833.0
8,50000,4,1869.0,1869.0,1800.0,1839.0
9,50000,4,1869.0,1869.0,1812.0,1843.0
10,50000,4,1887.0,1887.0,1825.0,1849.0
11,50000,4,1887.0,1887.0,1833.0,1854.0
12,50000,4,1890.0,1890.0,1842.0,1860.0
13,50000,4,1892.0,1892.0,1844.0,1864.0
14,50000,4,1892.0,1892.0,1844.0,1868.0
15,50000,4,1909.0,1909.0,1853.0,1873.0
16,50000,4,1912.0,1912.0,1855.0,1878.0
17,50000,4,1912.0,1912.0,1859.0,1882.0
18,50000,4,1918.0,1918.0,1860.0,1886.0
19,50000,4,1922.0,1922.0,1863.0,1891.0
20,50000,4,1922.0,1922.0,1870.0,1896.0
21,50000,4,1922.0,1922.0,1871.0,1901.0
22,50000,4,1929.0,1929.0,1876.0,1906.0
23,50000,4,1932.0,1932.0,1887.0,1910.0
24,50000,4,1937.0,1937.0,1890.0,1913.0
25,50000,4,1940.0,1940.0,1891.0,1917.0
26,50000,4,1941.0,1941.0,1893.0,1921.0
27,50000,4,1950.0,1950.0,1893.0,1924.0
28,50000,4,1953.0,1953.0,1893.0,1927.0
29,50000,4,1964.0,1964.0,1894.0,1931.0
30,50000,4,1964.0,1964.0,1901.0,1936.0
31,50000,4,1965.0,1965.0,1914.0,1939.0
32,50000,4,1967.0,1967.0,1921.0,1943.0
33,50000,4,1967.0,1967.0,1921.0,1946.0
34,50000,4,1971.0,1971.0,1922.0,1950.0
35,50000,4,1975.0,1975.0,1924.0,1953.0
36,50000,4,1975.0,1975.0,1924.0,1956.0
37,50000,4,1975.0,1975.0,1928.0,1959.0
38,50000,4,1977.0,1977.0,1931.0,1962.0
39,50000,4,1978.0,1978.0,1931.0,1965.0
40,50000,4,1978.0,1978.0,1953.0,1967.0
41,50000,4,1981.0,1981.0,1955.0,1969.0
42,50000,4,1989.0,1989.0,1955.0,1971.0
43,50000,4,1989.0,1989.0,1960.0,1973.0
44,50000,4,1989.0,1989.0,1960.0,1974.0
45,50000,4,1989.0,1989.0,1964.0,1976.0
46,50000,4,1990.0,1990.0,1964.0,1978.0
47,50000,4,1991.0,1991.0,1966.0,1980.0
48,50000,4,1991.0,1991.0,1970.0,1982.0
49,50000,4,1994.0,1994.0,1972.0,1984.0
50,50000,4,1996.0,1996.0,1972.0,1985.0
51,50000,4,1997.0,1997.0,1975.0,1987.0
52,50000,4,1999.0,1999.0,1976.0,1989.0
53,50000,4,2000.0,2000.0,1982.0,1990.0
54,50000,4,2004.0,2004.0,1985.0,1992.0
55,50000,4,2004.0,2004.0,1985.0,1994.0
56,50000,4,2006.0,2006.0,1987.0,1996.0
57,50000,4,2007.0,2007.0,1989.0,1998.0
58,50000,4,2007.0,2007.0,1990.0,2000.0
59,50000,4,2009.0,2009.0,1991.0,2001.0
60,50000,4,2012.0,2012.0,1991.0,2003.0
61,50000,4,2014.0,2014.0,1991.0,2004.0
62,50000,4,2014.0,2014.0,1991.0,2006.0
63,50000,4,2015.0,2015.0,1995.0,2007.0
64,50000,4,2021.0,2021.0,1995.0,2009.0
65,50000,4,2024.0,2024.0,1996.0,2010.0
66,50000,4,2024.0,2024.0,2007.0,2012.0
67,50000,4,2024.0,2024.0,2007.0,2013.0
68,50000,4,2024.0,2024.0,2007.0,2014.0
69,50000,4,2028.0,2028.0,2010.0,2015.0
70,50000,4,2029.0,2029.0,2011.0,2017.0
71,50000,4,2031.0,2031.0,2012.0,2018.0
72,50000,4,2031.0,2031.0,2013.0,2020.0
73,50000,4,2031.0,2031.0,2013.0,2021.0
74,50000,4,2032.0,2032.0,2013.0,2022.0
75,50000,4,2034.0,2034.0,2016.0,2024.0
76,50000,4,2034.0,2034.0,2016.0,2025.0
77,50000,4,2035.0,2035.0,2019.0,2026.0
78,50000,4,2035.0,2035.0,2020.0,2027.0
79,50000,4,2035.0,2035.0,2023.0,2028.0
80,50000,4,2039.0,2039.0,2024.0,2030.0
81,50000,4,2039.0,2039.0,2024.0,2030.0
82,50000,4,2039.0,2039.0,2026.0,2032.0
83,50000,4,2043.0,2043.0,2026.0,2033.0
84,50000,4,2044.0,2044.0,2026.0,2034.0
85,50000,4,2044.0,2044.0,2027.0,2035.0
86,50000,4,2045.0,2045.0,2027.0,2037.0
87,50000,4,2045.0,2045.0,2029.0,2038.0
88,50000,4,2050.0,2050.0,2029.0,2039.0
89,50000,4,2051.0,2051.0,2030.0,2040.0
90,50000,4,2054.0,2054.0,2030.0,2042.0
91,50000,4,2054.0,2054.0,2031.0,2043.0
92,50000,4,2054.0,2054.0,2034.0,2044.0
93,50000,4,2054.0,2054.0,2034.0,2045.0
94,50000,4,2054.0,2054.0,2034.0,2046.0
95,50000,4,2055.0,2055.0,2039.0,2047.0
96,50000,4,2062.0,2062.0,2039.0,2048.0
97,50000,4,2064.0,2064.0,2040.0,2050.0
98,50000,4,2064.0,2064.0,2042.0,2051.0
99,50000,4,2065.0,2065.0,2044.0,2052.0
100,50000,4,2065.0,2065.0,2044.0,2054.0
101,50000,4,2065.0,2065.0,2046.0,2055.0
102,50000,4,2065.0,2065.0,2046.0,2057.0
103,50000,4,2065.0,2065.0,2048.0,2058.0
104,50000,4,2065.0,2065.0,2048.0,2058.0
105,50000,4,2066.0,2066.0,2048.0,2059.0
106,50000,4,2066.0,2066.0,2048.0,2060.0
107,50000,4,2066.0,2066.0,2048.0,2061.0
108,50000,4,2070.0,2070.0,2055.0,2062.0
109,50000,4,2071.0,2071.0,2055.0,2063.0
110,50000,4,2071.0,2071.0,2059.0,2064.0
111,50000,4,2071.0,2071.0,2059.0,2065.0
112,50000,4,2071.0,2071.0,2060.0,2065.0
113,50000,4,2072.0,2072.0,2060.0,2066.0
114,50000,4,2073.0,2073.0,2060.0,2067.0
115,50000,4,2073.0,2073.0,2062.0,2068.0
116,50000,4,2074.0,2074.0,2065.0,2069.0
117,50000,4,2075.0,2075.0,2065.0,2069.0
118,50000,4,2075.0,2075.0,2066.0,2070.0
119,50000,4,2075.0,2075.0,2067.0,2071.0
120,50000,4,2076.0,2076.0,2068.0,2072.0
121,50000,4,2077.0,2077.0,2068.0,2072.0
122,50000,4,2078.0,2078.0,2068.0,2073.0
123,50000,4,2078.0,2078.0,2071.0,2074.0
124,50000,4,2079.0,2079.0,2071.0,2075.0
125,50000,4,2079.0,2079.0,2072.0,2075.0
126,50000,4,2081.0,2081.0,2072.0,2076.0
127,50000,4,2081.0,2081.0,2073.0,2076.0
128,50000,4,2081.0,2081.0,2073.0,2077.0
129,50000,4,2081.0,2081.0,2074.0,2077.0
130,50000,4,2081.0,2081.0,2074.0,2078.0
131,50000,4,2082.0,2082.0,2076.0,2079.0
132,50000,4,2082.0,2082.0,2076.0,2079.0
133,50000,4,2083.0,2083.0,2077.0,2080.0
134,50000,4,2083.0,2083.0,2078.0,2080.0
135,50000,4,2084.0,2084.0,2079.0,2080.0
136,50000,4,2084.0,2084.0,2079.0,2081.0
137,50000,4,2085.0,2085.0,2079.0,2081.0
138,50000,4,2085.0,2085.0,2080.0,2082.0
139,50000,4,2086.0,2086.0,2080.0,2082.0
140,50000,4,2087.0,2087.0,2081.0,2083.0
141,50000,4,2087.0,2087.0,2081.0,2083.0
142,50000,4,2089.0,2089.0,2082.0,2084.0
