gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,27500,8,1852.0,,1852.0,1709.0,1778.0
1,27500,8,1858.0,,1858.0,1746.0,1791.0
2,27500,8,1862.0,,1862.0,1746.0,1800.0
3,27500,8,1862.0,,1862.0,1774.0,1808.0
4,27500,8,1862.0,,1862.0,1778.0,1817.0
5,27500,8,1867.0,,1867.0,1789.0,1824.0
6,27500,8,1867.0,,1867.0,1797.0,1833.0
7,27500,8,1888.0,,1888.0,1801.0,1841.0
8,27500,8,1888.0,,1888.0,1803.0,1846.0
9,27500,8,1890.0,,1890.0,1812.0,1852.0
10,27500,8,1893.0,,1893.0,1818.0,1858.0
11,27500,8,1895.0,,1895.0,1826.0,1863.0
12,27500,8,1909.0,,1909.0,1843.0,1868.0
13,27500,8,1909.0,,1909.0,1843.0,1873.0
14,27500,8,1909.0,,1909.0,1847.0,1878.0
15,27500,8,1911.0,,1911.0,1865.0,1883.0
16,27500,8,1916.0,,1916.0,1869.0,1888.0
17,27500,8,1917.0,,1917.0,1871.0,1893.0
18,27500,8,1928.0,,1928.0,1877.0,1898.0
19,27500,8,1931.0,,1931.0,1877.0,1902.0
20,27500,8,1937.0,,1937.0,1877.0,1906.0
21,27500,8,1948.0,,1948.0,1878.0,1910.0
22,27500,8,1948.0,,1948.0,1878.0,1915.0
23,27500,8,1948.0,,1948.0,1895.0,1920.0
24,27500,8,1954.0,,1954.0,1895.0,1924.0
25,27500,8,1954.0,,1954.0,1899.0,1928.0
26,27500,8,1957.0,,1957.0,1899.0,1932.0
27,27500,8,1962.0,,1962.0,1909.0,1937.0
28,27500,8,1963.0,,1963.0,1920.0,1940.0
29,27500,8,1963.0,,1963.0,1920.0,1944.0
30,27500,8,1969.0,,1969.0,1929.0,1947.0
31,27500,8,1969.0,,1969.0,1929.0,1949.0
32,27500,8,1973.0,,1973.0,1932.0,1953.0
33,27500,8,1979.0,,1979.0,1932.0,1957.0
34,27500,8,1979.0,,1979.0,1936.0,1961.0
35,27500,8,1979.0,,1979.0,1938.0,1963.0
36,27500,8,1979.0,,1979.0,1938.0,1966.0
37,27500,8,1981.0,,1981.0,1943.0,1968.0
38,27500,8,1981.0,,1981.0,1943.0,1969.0
39,27500,8,1998.0,,1998.0,1944.0,1972.0
40,27500,8,1998.0,,1998.0,1952.0,1974.0
41,27500,8,1999.0,,1999.0,1953.0,1977.0
42,27500,8,1999.0,,1999.0,1957.0,1979.0
43,27500,8,1999.0,,1999.0,1970.0,1982.0
44,27500,8,2002.0,,2002.0,1971.0,1984.0
45,27500,8,2007.0,,2007.0,1971.0,1987.0
46,27500,8,2012.0,,2012.0,1977.0,1989.0
47,27500,8,2012.0,,2012.0,1978.0,1991.0
48,27500,8,2013.0,,2013.0,1982.0,1994.0
49,27500,8,2013.0,,2013.0,1982.0,1996.0
50,27500,8,2014.0,,2014.0,1982.0,1999.0
51,27500,8,2019.0,,2019.0,1984.0,2001.0
52,27500,8,2019.0,,2019.0,1984.0,2004.0
53,27500,8,2019.0,,2019.0,1986.0,2006.0
54,27500,8,2019.0,,2019.0,1987.0,2008.0
55,27500,8,2019.0,,2019.0,1997.0,2010.0
56,27500,8,2022.0,,2022.0,2001.0,2011.0
57,27500,8,2023.0,,2023.0,2001.0,2013.0
58,27500,8,2025.0,,2025.0,2003.0,2015.0
59,27500,8,2025.0,,2025.0,2005.0,2016.0
60,27500,8,2033.0,,2033.0,2007.0,2018.0
61,27500,8,2033.0,,2033.0,2007.0,2020.0
62,27500,8,2033.0,,2033.0,2007.0,2021.0
63,27500,8,2035.0,,2035.0,2012.0,2023.0
64,27500,8,2035.0,,2035.0,2012.0,2024.0
65,27500,8,2036.0,,2036.0,2012.0,2026.0
66,27500,8,2036.0,,2036.0,2012.0,2028.0
67,27500,8,2037.0,,2037.0,2012.0,2029.0
68,27500,8,2038.0,,2038.0,2021.0,2031.0
69,27500,8,2038.0,,2038.0,2026.0,2032.0
70,27500,8,2039.0,,2039.0,2027.0,2033.0
71,27500,8,2039.0,,2039.0,2027.0,2035.0
72,27500,8,2042.0,,2042.0,2032.0,2036.0
73,27500,8,2042.0,,2042.0,2032.0,2037.0
74,27500,8,2044.0,,2044.0,2034.0,2037.0
75,27500,8,2044.0,,2044.0,2034.0,2038.0
76,27500,8,2044.0,,2044.0,2036.0,2039.0
77,27500,8,2048.0,,2048.0,2037.0,2040.0
78,27500,8,2048.0,,2048.0,2038.0,2040.0
79,27500,8,2048.0,,2048.0,2038.0,2041.0
80,27500,8,2048.0,,2048.0,2039.0,2041.0
81,27500,8,2048.0,,2048.0,2039.0,2042.0
82,27500,8,2051.0,,2051.0,2040.0,2043.0
83,27500,8,2052.0,,2052.0,2040.0,2043.0
84,27500,8,2053.0,,2053.0,2041.0,2044.0
85,27500,8,2053.0,,2053.0,2042.0,2045.0
86,27500,8,2053.0,,2053.0,2042.0,2046.0
87,27500,8,2054.0,,2054.0,2042.0,2047.0
88,27500,8,2054.0,,2054.0,2042.0,2048.0
89,27500,8,2055.0,,2055.0,2042.0,2049.0
90,27500,8,2057.0,,2057.0,2043.0,2049.0
91,27500,8,2059.0,,2059.0,2043.0,2051.0
92,27500,8,2059.0,,2059.0,2045.0,2052.0
93,27500,8,2059.0,,2059.0,2047.0,2053.0
94,27500,8,2063.0,,2063.0,2047.0,2054.0
95,27500,8,2065.0,,2065.0,2047.0,2055.0
96,27500,8,2065.0,,2065.0,2047.0,2056.0
97,27500,8,2067.0,,2067.0,2047.0,2057.0
