gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,35000,,1836.0,1836.0,1723.0,1766.0
1,35000,,1836.0,1836.0,1726.0,1779.0
2,35000,,1837.0,1837.0,1726.0,1790.0
3,35000,,1849.0,1849.0,1757.0,1801.0
4,35000,,1849.0,1849.0,1769.0,1809.0
5,35000,,1849.0,1849.0,1771.0,1815.0
6,35000,,1856.0,1856.0,1777.0,1823.0
7,35000,,1856.0,1856.0,1777.0,1827.0
8,35000,,1889.0,1889.0,1791.0,1833.0
9,35000,,1889.0,1889.0,1808.0,1840.0
10,35000,,1898.0,1898.0,1816.0,1849.0
11,35000,,1900.0,1900.0,1818.0,1855.0
12,35000,,1912.0,1912.0,1818.0,1863.0
13,35000,,1912.0,1912.0,1823.0,1870.0
14,35000,,1918.0,1918.0,1839.0,1876.0
15,35000,,1918.0,1918.0,1839.0,1880.0
16,35000,,1918.0,1918.0,1856.0,1885.0
17,35000,,1918.0,1918.0,1861.0,1888.0
18,35000,,1926.0,1926.0,1868.0,1894.0
19,35000,,1929.0,1929.0,1869.0,1899.0
20,35000,,1929.0,1929.0,1869.0,1903.0
21,35000,,1929.0,1929.0,1869.0,1907.0
22,35000,,1931.0,1931.0,1876.0,1912.0
23,35000,,1942.0,1942.0,1888.0,1915.0
24,35000,,1942.0,1942.0,1893.0,1918.0
25,35000,,1942.0,1942.0,1894.0,1921.0
26,35000,,1942.0,1942.0,1896.0,1925.0
27,35000,,1942.0,1942.0,1901.0,1927.0
28,35000,,1945.0,1945.0,1907.0,1929.0
29,35000,,1954.0,1954.0,1907.0,1932.0
30,35000,,1956.0,1956.0,1915.0,1935.0
31,35000,,1956.0,1956.0,1921.0,1937.0
32,35000,,1956.0,1956.0,1929.0,1940.0
33,35000,,1959.0,1959.0,1930.0,1942.0
34,35000,,1962.0,1962.0,1930.0,1944.0
35,35000,,1967.0,1967.0,1931.0,1948.0
36,35000,,1967.0,1967.0,1931.0,1950.0
37,35000,,1974.0,1974.0,1937.0,1953.0
38,35000,,1974.0,1974.0,1944.0,1955.0
39,35000,,1974.0,1974.0,1944.0,1957.0
40,35000,,1981.0,1981.0,1945.0,1959.0
41,35000,,1981.0,1981.0,1948.0,1962.0
42,35000,,1981.0,1981.0,1949.0,1963.0
43,35000,,1985.0,1985.0,1950.0,1965.0
44,35000,,1987.0,1987.0,1951.0,1968.0
45,35000,,1987.0,1987.0,1955.0,1971.0
46,35000,,1995.0,1995.0,1955.0,1973.0
47,35000,,1995.0,1995.0,1959.0,1976.0
48,35000,,1995.0,1995.0,1962.0,1978.0
49,35000,,1998.0,1998.0,1963.0,1981.0
50,35000,,2002.0,2002.0,1965.0,1984.0
51,35000,,2007.0,2007.0,1972.0,1987.0
52,35000,,2007.0,2007.0,1973.0,1989.0
53,35000,,2007.0,2007.0,1974.0,1992.0
54,35000,,2013.0,2013.0,1974.0,1995.0
55,35000,,2013.0,2013.0,1974.0,1997.0
56,35000,,2013.0,2013.0,1983.0,1999.0
57,35000,,2016.0,2016.0,1985.0,2001.0
58,35000,,2016.0,2016.0,1987.0,2003.0
59,35000,,2017.0,2017.0,1987.0,2004.0
60,35000,,2017.0,2017.0,1996.0,2006.0
61,35000,,2018.0,2018.0,1996.0,2007.0
62,35000,,2018.0,2018.0,1996.0,2008.0
63,35000,,2021.0,2021.0,2000.0,2010.0
64,35000,,2021.0,2021.0,2000.0,2012.0
65,35000,,2021.0,2021.0,2003.0,2013.0
66,35000,,2021.0,2021.0,2003.0,2014.0
67,35000,,2021.0,2021.0,2005.0,2016.0
68,35000,,2022.0,2022.0,2005.0,2017.0
69,35000,,2024.0,2024.0,2006.0,2018.0
70,35000,,2024.0,2024.0,2013.0,2019.0
71,35000,,2024.0,2024.0,2014.0,2019.0
72,35000,,2026.0,2026.0,2015.0,2020.0
73,35000,,2027.0,2027.0,2015.0,2021.0
74,35000,,2027.0,2027.0,2015.0,2021.0
75,35000,,2027.0,2027.0,2015.0,2022.0
76,35000,,2027.0,2027.0,2017.0,2023.0
77,35000,,2029.0,2029.0,2019.0,2024.0
78,35000,,2029.0,2029.0,2019.0,2024.0
79,35000,,2030.0,2030.0,2019.0,2025.0
80,35000,,2030.0,2030.0,2021.0,2026.0
81,35000,,2032.0,2032.0,2022.0,2027.0
82,35000,,2032.0,2032.0,2022.0,2027.0
83,35000,,2033.0,2033.0,2023.0,2028.0
84,35000,,2033.0,2033.0,2024.0,2029.0
85,35000,,2033.0,2033.0,2024.0,2029.0
86,35000,,2035.0,2035.0,2025.0,2030.0
87,35000,,2036.0,2036.0,2028.0,2031.0
88,35000,,2036.0,2036.0,2029.0,2032.0
89,35000,,2038.0,2038.0,2029.0,2032.0
90,35000,,2038.0,2038.0,2029.0,2033.0
91,35000,,2039.0,2039.0,2029.0,2034.0
92,35000,,2039.0,2039.0,2030.0,2035.0
93,35000,,2039.0,2039.0,2030.0,2035.0
94,35000,,2041.0,2041.0,2031.0,2036.0
95,35000,,2041.0,2041.0,2033.0,2037.0
96,35000,,2042.0,2042.0,2033.0,2037.0
97,35000,,2042.0,2042.0,2034.0,2038.0
98,35000,,2044.0,2044.0,2036.0,2039.0
99,35000,,2044.0,2044.0,2036.0,2039.0
100,35000,,2044.0,2044.0,2037.0,2040.0
101,35000,,2045.0,2045.0,2038.0,2040.0
102,35000,,2045.0,2045.0,2038.0,2041.0
103,35000,,2045.0,2045.0,2039.0,2041.0
104,35000,,2045.0,2045.0,2039.0,2042.0
105,35000,,2046.0,2046.0,2039.0,2043.0
106,35000,,2046.0,2046.0,2040.0,2043.0
107,35000,,2046.0,2046.0,2041.0,2044.0
108,35000,,2048.0,2048.0,2042.0,2044.0
109,35000,,2048.0,2048.0,2042.0,2045.0
110,35000,,2048.0,2048.0,2043.0,2045.0
111,35000,,2048.0,2048.0,2043.0,2046.0
112,35000,,2051.0,2051.0,2044.0,2046.0
113,35000,,2051.0,2051.0,2044.0,2047.0
114,35000,,2051.0,2051.0,2045.0,2047.0
115,35000,,2051.0,2051.0,2046.0,2048.0
116,35000,,2051.0,2051.0,2046.0,2048.0
117,35000,,2051.0,2051.0,2047.0,2049.0
118,35000,,2053.0,2053.0,2047.0,2049.0
119,35000,,2053.0,2053.0,2047.0,2050.0
120,35000,,2053.0,2053.0,2048.0,2050.0
121,35000,,2055.0,2055.0,2049.0,2051.0
122,35000,,2055.0,2055.0,2049.0,2051.0
123,35000,,2056.0,2056.0,2050.0,2052.0
124,35000,,2057.0,2057.0,2051.0,2053.0
125,35000,,2057.0,2057.0,2051.0,2053.0
126,35000,,2058.0,2058.0,2051.0,2054.0
127,35000,,2058.0,2058.0,2051.0,2055.0
128,35000,,2059.0,2059.0,2051.0,2055.0
129,35000,,2059.0,2059.0,2052.0,2056.0
130,35000,,2061.0,2061.0,2054.0,2056.0
131,35000,,2061.0,2061.0,2055.0,2057.0
132,35000,,2061.0,2061.0,2055.0,2058.0
133,35000,,2062.0,2062.0,2055.0,2058.0
134,35000,,2062.0,2062.0,2057.0,2059.0
135,35000,,2063.0,2063.0,2057.0,2059.0
136,35000,,2063.0,2063.0,2058.0,2060.0
137,35000,,2064.0,2064.0,2058.0,2060.0
138,35000,,2066.0,2066.0,2058.0,2061.0
139,35000,,2066.0,2066.0,2058.0,2061.0
140,35000,,2066.0,2066.0,2059.0,2062.0
141,35000,,2066.0,2066.0,2059.0,2062.0
142,35000,,2066.0,2066.0,2059.0,2062.0
143,35000,,2067.0,2067.0,2060.0,2063.0
144,35000,,2068.0,2068.0,2061.0,2064.0
145,35000,,2068.0,2068.0,2061.0,2064.0
146,35000,,2068.0,2068.0,2061.0,2065.0
147,35000,,2071.0,2071.0,2061.0,2066.0
148,35000,,2071.0,2071.0,2063.0,2066.0
149,35000,,2071.0,2071.0,2064.0,2067.0
150,35000,,2071.0,2071.0,2064.0,2067.0
151,35000,,2071.0,2071.0,2065.0,2068.0
152,35000,,2072.0,2072.0,2066.0,2068.0
153,35000,,2073.0,2073.0,2066.0,2068.0
154,35000,,2073.0,2073.0,2067.0,2069.0
155,35000,,2073.0,2073.0,2067.0,2070.0
156,35000,,2074.0,2074.0,2067.0,2070.0
157,35000,,2075.0,2075.0,2068.0,2071.0
158,35000,,2076.0,2076.0,2069.0,2071.0
159,35000,,2076.0,2076.0,2069.0,2072.0
160,35000,,2076.0,2076.0,2069.0,2072.0
161,35000,,2076.0,2076.0,2070.0,2073.0
162,35000,,2077.0,2077.0,2071.0,2073.0
163,35000,,2077.0,2077.0,2071.0,2074.0
164,35000,,2078.0,2078.0,2071.0,2074.0
165,35000,,2078.0,2078.0,2071.0,2075.0
166,35000,,2079.0,2079.0,2071.0,2075.0
167,35000,,2079.0,2079.0,2072.0,2076.0
168,35000,,2079.0,2079.0,2072.0,2076.0
169,35000,,2079.0,2079.0,2072.0,2077.0
170,35000,,2080.0,2080.0,2074.0,2077.0
171,35000,,2080.0,2080.0,2074.0,2078.0
172,35000,,2081.0,2081.0,2076.0,2078.0
173,35000,,2081.0,2081.0,2077.0,2078.0
174,35000,,2082.0,2082.0,2077.0,2079.0
175,35000,,2082.0,2082.0,2078.0,2079.0
176,35000,,2084.0,2084.0,2078.0,2080.0
