gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,40000,,1828.0,,1828.0,1694.0,1760.0
1,40000,,1828.0,,1828.0,1718.0,1769.0
2,40000,,1828.0,,1828.0,1738.0,1781.0
3,40000,,1829.0,,1829.0,1738.0,1789.0
4,40000,,1832.0,,1832.0,1767.0,1797.0
5,40000,,1838.0,,1838.0,1778.0,1804.0
6,40000,,1845.0,,1845.0,1787.0,1811.0
7,40000,,1851.0,,1851.0,1788.0,1818.0
8,40000,,1867.0,,1867.0,1789.0,1826.0
9,40000,,1867.0,,1867.0,1809.0,1834.0
10,40000,,1867.0,,1867.0,1811.0,1839.0
11,40000,,1869.0,,1869.0,1815.0,1843.0
12,40000,,1878.0,,1878.0,1827.0,1850.0
13,40000,,1882.0,,1882.0,1829.0,1854.0
14,40000,,1893.0,,1893.0,1839.0,1858.0
15,40000,,1893.0,,1893.0,1840.0,1862.0
16,40000,,1896.0,,1896.0,1841.0,1868.0
17,40000,,1896.0,,1896.0,1841.0,1874.0
18,40000,,1928.0,,1928.0,1841.0,1880.0
19,40000,,1941.0,,1941.0,1841.0,1886.0
20,40000,,1941.0,,1941.0,1841.0,1893.0
21,40000,,1941.0,,1941.0,1867.0,1899.0
22,40000,,1941.0,,1941.0,1877.0,1904.0
23,40000,,1954.0,,1954.0,1886.0,1910.0
24,40000,,1959.0,,1959.0,1890.0,1914.0
25,40000,,1959.0,,1959.0,1891.0,1920.0
26,40000,,1959.0,,1959.0,1899.0,1925.0
27,40000,,1959.0,,1959.0,1901.0,1930.0
28,40000,,1966.0,,1966.0,1905.0,1935.0
29,40000,,1977.0,,1977.0,1913.0,1940.0
30,40000,,1977.0,,1977.0,1913.0,1945.0
31,40000,,1977.0,,1977.0,1916.0,1950.0
32,40000,,1977.0,,1977.0,1916.0,1954.0
33,40000,,1981.0,,1981.0,1920.0,1958.0
34,40000,,1987.0,,1987.0,1924.0,1962.0
35,40000,,1992.0,,1992.0,1925.0,1965.0
36,40000,,1999.0,,1999.0,1931.0,1968.0
37,40000,,1999.0,,1999.0,1947.0,1972.0
38,40000,,1999.0,,1999.0,1948.0,1975.0
39,40000,,2000.0,,2000.0,1963.0,1979.0
40,40000,,2000.0,,2000.0,1963.0,1981.0
41,40000,,2000.0,,2000.0,1967.0,1983.0
42,40000,,2000.0,,2000.0,1970.0,1985.0
43,40000,,2000.0,,2000.0,1970.0,1987.0
44,40000,,2001.0,,2001.0,1976.0,1990.0
45,40000,,2009.0,,2009.0,1976.0,1992.0
46,40000,,2009.0,,2009.0,1980.0,1994.0
47,40000,,2009.0,,2009.0,1981.0,1996.0
48,40000,,2011.0,,2011.0,1982.0,1999.0
49,40000,,2011.0,,2011.0,1982.0,2001.0
50,40000,,2012.0,,2012.0,1986.0,2003.0
51,40000,,2013.0,,2013.0,1994.0,2005.0
52,40000,,2018.0,,2018.0,1996.0,2006.0
53,40000,,2020.0,,2020.0,1998.0,2008.0
