gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,45000,,1822.0,5,1822.0,1699.0,1764.0
1,45000,,1823.0,0,1823.0,1733.0,1775.0
2,45000,,1833.0,0,1833.0,1742.0,1785.0
3,45000,,1833.0,0,1833.0,1759.0,1791.0
4,45000,,1833.0,0,1833.0,1770.0,1798.0
5,45000,,1833.0,0,1833.0,1782.0,1803.0
6,45000,,1834.0,0,1834.0,1783.0,1808.0
7,45000,,1845.0,0,1845.0,1787.0,1812.0
8,45000,,1845.0,0,1845.0,1791.0,1816.0
9,45000,,1849.0,0,1849.0,1793.0,1821.0
10,45000,,1856.0,0,1856.0,1793.0,1826.0
11,45000,,1859.0,0,1859.0,1800.0,1829.0
12,45000,,1865.0,0,1865.0,1804.0,1834.0
13,45000,,1873.0,0,1873.0,1804.0,1839.0
14,45000,,1876.0,0,1876.0,1813.0,1844.0
15,45000,,1892.0,0,1892.0,1824.0,1849.0
16,45000,,1892.0,0,1892.0,1830.0,1854.0
17,45000,,1893.0,0,1893.0,1830.0,1858.0
18,45000,,1893.0,0,1893.0,1830.0,1863.0
19,45000,,1897.0,0,1897.0,1836.0,1869.0
20,45000,,1898.0,0,1898.0,1836.0,1873.0
21,45000,,1898.0,0,1898.0,1841.0,1877.0
22,45000,,1898.0,0,1898.0,1842.0,1880.0
23,45000,,1902.0,0,1902.0,1848.0,1883.0
24,45000,,1902.0,0,1902.0,1854.0,1887.0
25,45000,,1908.0,0,1908.0,1859.0,1890.0
26,45000,,1910.0,0,1910.0,1861.0,1893.0
27,45000,,1922.0,0,1922.0,1868.0,1897.0
28,45000,,1922.0,0,1922.0,1869.0,1900.0
29,45000,,1922.0,0,1922.0,1879.0,1904.0
30,45000,,1925.0,0,1925.0,1887.0,1907.0
31,45000,,1927.0,0,1927.0,1893.0,1909.0
32,45000,,1931.0,0,1931.0,1893.0,1912.0
33,45000,,1931.0,0,1931.0,1894.0,1915.0
34,45000,,1935.0,0,1935.0,1904.0,1917.0
35,45000,,1935.0,0,1935.0,1906.0,1919.0
36,45000,,1940.0,0,1940.0,1908.0,1922.0
37,45000,,1940.0,0,1940.0,1909.0,1924.0
38,45000,,1940.0,0,1940.0,1912.0,1926.0
39,45000,,1944.0,0,1944.0,1915.0,1929.0
40,45000,,1946.0,0,1946.0,1915.0,1931.0
41,45000,,1947.0,0,1947.0,1915.0,1933.0
42,45000,,1947.0,0,1947.0,1923.0,1935.0
43,45000,,1952.0,0,1952.0,1926.0,1937.0
44,45000,,1952.0,0,1952.0,1929.0,1940.0
45,45000,,1955.0,0,1955.0,1930.0,1942.0
46,45000,,1963.0,0,1963.0,1930.0,1944.0
47,45000,,1963.0,0,1963.0,1932.0,1946.0
48,45000,,1963.0,0,1963.0,1932.0,1948.0
49,45000,,1968.0,0,1968.0,1938.0,1950.0
50,45000,,1968.0,0,1968.0,1941.0,1951.0
51,45000,,1968.0,0,1968.0,1941.0,1953.0
52,45000,,1968.0,0,1968.0,1945.0,1955.0
53,45000,,1971.0,0,1971.0,1945.0,1957.0
54,45000,,1971.0,0,1971.0,1945.0,1959.0
55,45000,,1972.0,0,1972.0,1945.0,1961.0
56,45000,,1975.0,0,1975.0,1952.0,1963.0
57,45000,,1981.0,0,1981.0,1953.0,1965.0
58,45000,,1981.0,0,1981.0,1955.0,1967.0
59,45000,,1981.0,0,1981.0,1955.0,1968.0
60,45000,,1984.0,0,1984.0,1956.0,1970.0
61,45000,,1984.0,0,1984.0,1957.0,1972.0
62,45000,,1990.0,0,1990.0,1958.0,1974.0
63,45000,,1997.0,0,1997.0,1963.0,1976.0
64,45000,,1997.0,0,1997.0,1963.0,1977.0
65,45000,,1998.0,0,1998.0,1970.0,1979.0
66,45000,,1998.0,0,1998.0,1971.0,1980.0
67,45000,,2000.0,0,2000.0,1972.0,1982.0
68,45000,,2000.0,0,2000.0,1972.0,1984.0
69,45000,,2000.0,0,2000.0,1973.0,1986.0
70,45000,,2000.0,0,2000.0,1974.0,1988.0
71,45000,,2005.0,0,2005.0,1978.0,1989.0
72,45000,,2005.0,0,2005.0,1981.0,1991.0
73,45000,,2005.0,0,2005.0,1981.0,1993.0
74,45000,,2005.0,0,2005.0,1981.0,1994.0
75,45000,,2006.0,0,2006.0,1981.0,1995.0
76,45000,,2006.0,0,2006.0,1982.0,1997.0
