gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,52500,,1827.0,1827.0,1672.0,1764.0
1,52500,,1834.0,1834.0,1729.0,1779.0
2,52500,,1834.0,1834.0,1739.0,1789.0
3,52500,,1840.0,1840.0,1750.0,1798.0
4,52500,,1845.0,1845.0,1756.0,1804.0
5,52500,,1848.0,1848.0,1768.0,1809.0
6,52500,,1855.0,1855.0,1774.0,1815.0
7,52500,,1855.0,1855.0,1785.0,1820.0
8,52500,,1870.0,1870.0,1792.0,1826.0
9,52500,,1877.0,1877.0,1792.0,1830.0
10,52500,,1879.0,1879.0,1800.0,1835.0
11,52500,,1879.0,1879.0,1807.0,1839.0
12,52500,,1884.0,1884.0,1811.0,1844.0
13,52500,,1890.0,1890.0,1822.0,1849.0
14,52500,,1890.0,1890.0,1825.0,1853.0
15,52500,,1891.0,1891.0,1835.0,1858.0
16,52500,,1892.0,1892.0,1839.0,1861.0
17,52500,,1894.0,1894.0,1839.0,1865.0
18,52500,,1894.0,1894.0,1841.0,1869.0
19,52500,,1898.0,1898.0,1845.0,1873.0
20,52500,,1898.0,1898.0,1850.0,1877.0
21,52500,,1911.0,1911.0,1857.0,1881.0
22,52500,,1912.0,1912.0,1861.0,1884.0
23,52500,,1916.0,1916.0,1862.0,1887.0
24,52500,,1916.0,1916.0,1865.0,1890.0
25,52500,,1920.0,1920.0,1867.0,1893.0
26,52500,,1922.0,1922.0,1869.0,1896.0
27,52500,,1924.0,1924.0,1875.0,1900.0
28,52500,,1925.0,1925.0,1880.0,1904.0
29,52500,,1925.0,1925.0,1884.0,1907.0
30,52500,,1926.0,1926.0,1889.0,1910.0
31,52500,,1931.0,1931.0,1891.0,1914.0
32,52500,,1933.0,1933.0,1891.0,1917.0
33,52500,,1936.0,1936.0,1897.0,1920.0
34,52500,,1936.0,1936.0,1898.0,1923.0
35,52500,,1944.0,1944.0,1907.0,1926.0
36,52500,,1944.0,1944.0,1916.0,1929.0
37,52500,,1945.0,1945.0,1916.0,1933.0
38,52500,,1950.0,1950.0,1916.0,1935.0
39,52500,,1956.0,1956.0,1924.0,1938.0
40,52500,,1957.0,1957.0,1928.0,1940.0
41,52500,,1959.0,1959.0,1932.0,1943.0
42,52500,,1959.0,1959.0,1936.0,1946.0
43,52500,,1964.0,1964.0,1937.0,1949.0
