gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,22500,8,1818.0,0,1818.0,1705.0,1762.0
1,22500,8,1818.0,0,1818.0,1723.0,1774.0
2,22500,8,1819.0,0,1819.0,1736.0,1781.0
3,22500,8,1832.0,0,1832.0,1751.0,1789.0
4,22500,8,1832.0,0,1832.0,1751.0,1796.0
5,22500,8,1845.0,0,1845.0,1760.0,1803.0
6,22500,8,1845.0,0,1845.0,1773.0,1808.0
7,22500,8,1853.0,0,1853.0,1776.0,1815.0
8,22500,8,1853.0,0,1853.0,1781.0,1823.0
9,22500,8,1855.0,0,1855.0,1781.0,1828.0
10,22500,8,1857.0,0,1857.0,1781.0,1832.0
11,22500,8,1871.0,0,1871.0,1785.0,1838.0
12,22500,8,1871.0,0,1871.0,1789.0,1843.0
13,22500,8,1872.0,0,1872.0,1807.0,1848.0
14,22500,8,1875.0,0,1875.0,1816.0,1852.0
15,22500,8,1879.0,0,1879.0,1822.0,1857.0
16,22500,8,1879.0,0,1879.0,1822.0,1860.0
17,22500,8,1886.0,0,1886.0,1824.0,1862.0
18,22500,8,1886.0,0,1886.0,1825.0,1866.0
19,22500,8,1886.0,0,1886.0,1830.0,1869.0
20,22500,8,1894.0,0,1894.0,1833.0,1874.0
21,22500,8,1899.0,0,1899.0,1840.0,1878.0
22,22500,8,1900.0,0,1900.0,1840.0,1881.0
23,22500,8,1907.0,0,1907.0,1869.0,1884.0
24,22500,8,1907.0,0,1907.0,1875.0,1887.0
25,22500,8,1911.0,0,1911.0,1877.0,1889.0
26,22500,8,1911.0,0,1911.0,1877.0,1892.0
27,22500,8,1912.0,0,1912.0,1879.0,1895.0
28,22500,8,1919.0,0,1919.0,1879.0,1898.0
29,22500,8,1919.0,0,1919.0,1885.0,1901.0
30,22500,8,1925.0,0,1925.0,1886.0,1904.0
31,22500,8,1925.0,0,1925.0,1894.0,1908.0
32,22500,8,1933.0,0,1933.0,1896.0,1911.0
33,22500,8,1937.0,0,1937.0,1897.0,1913.0
34,22500,8,1940.0,0,1940.0,1897.0,1916.0
35,22500,8,1943.0,0,1943.0,1900.0,1919.0
36,22500,8,1947.0,0,1947.0,1906.0,1921.0
37,22500,8,1947.0,0,1947.0,1908.0,1924.0
38,22500,8,1947.0,0,1947.0,1910.0,1927.0
39,22500,8,1950.0,0,1950.0,1911.0,1930.0
40,22500,8,1955.0,0,1955.0,1911.0,1933.0
41,22500,8,1955.0,0,1955.0,1911.0,1935.0
42,22500,8,1955.0,0,1955.0,1911.0,1938.0
43,22500,8,1961.0,0,1961.0,1916.0,1941.0
44,22500,8,1961.0,0,1961.0,1923.0,1944.0
45,22500,8,1968.0,0,1968.0,1926.0,1948.0
46,22500,8,1968.0,0,1968.0,1930.0,1951.0
47,22500,8,1968.0,0,1968.0,1931.0,1953.0
48,22500,8,1968.0,0,1968.0,1940.0,1956.0
49,22500,8,1970.0,0,1970.0,1946.0,1958.0
50,22500,8,1970.0,0,1970.0,1947.0,1960.0
