gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,32500,4,1853.0,1843.0,1675.0,1762.0
1,32500,4,1853.0,1843.0,1724.0,1776.0
2,32500,4,1853.0,1843.0,1741.0,1786.0
3,32500,4,1857.0,1857.0,1749.0,1797.0
4,32500,4,1883.0,1883.0,1765.0,1807.0
5,32500,4,1883.0,1883.0,1765.0,1816.0
6,32500,4,1883.0,1883.0,1769.0,1826.0
7,32500,4,1885.0,1885.0,1777.0,1832.0
8,32500,4,1885.0,1885.0,1793.0,1839.0
9,32500,4,1896.0,1896.0,1808.0,1847.0
10,32500,4,1896.0,1896.0,1808.0,1856.0
11,32500,4,1896.0,1896.0,1822.0,1864.0
12,32500,4,1899.0,1899.0,1836.0,1871.0
13,32500,4,1905.0,1905.0,1842.0,1877.0
14,32500,4,1905.0,1905.0,1856.0,1882.0
15,32500,4,1917.0,1917.0,1862.0,1888.0
16,32500,4,1935.0,1935.0,1863.0,1893.0
17,32500,4,1936.0,1936.0,1880.0,1898.0
18,32500,4,1936.0,1936.0,1883.0,1902.0
19,32500,4,1936.0,1936.0,1886.0,1906.0
20,32500,4,1939.0,1939.0,1886.0,1911.0
21,32500,4,1942.0,1942.0,1896.0,1915.0
22,32500,4,1943.0,1943.0,1896.0,1919.0
23,32500,4,1944.0,1944.0,1896.0,1922.0
24,32500,4,1944.0,1944.0,1897.0,1926.0
25,32500,4,1948.0,1948.0,1898.0,1930.0
26,32500,4,1951.0,1951.0,1908.0,1933.0
27,32500,4,1962.0,1962.0,1909.0,1936.0
28,32500,4,1962.0,1962.0,1919.0,1938.0
29,32500,4,1962.0,1962.0,1919.0,1941.0
30,32500,4,1966.0,1966.0,1922.0,1944.0
31,32500,4,1966.0,1966.0,1926.0,1946.0
32,32500,4,1967.0,1967.0,1928.0,1949.0
33,32500,4,1967.0,1967.0,1931.0,1952.0
34,32500,4,1968.0,1968.0,1941.0,1955.0
35,32500,4,1970.0,1970.0,1941.0,1957.0
36,32500,4,1970.0,1970.0,1941.0,1959.0
37,32500,4,1976.0,1976.0,1945.0,1961.0
38,32500,4,1976.0,1976.0,1946.0,1962.0
39,32500,4,1976.0,1976.0,1949.0,1965.0
40,32500,4,1976.0,1976.0,1949.0,1966.0
41,32500,4,1980.0,1980.0,1953.0,1967.0
42,32500,4,1980.0,1980.0,1954.0,1969.0
43,32500,4,1980.0,1980.0,1960.0,1970.0
44,32500,4,1988.0,1988.0,1960.0,1972.0
45,32500,4,1990.0,1990.0,1961.0,1974.0
46,32500,4,1996.0,1996.0,1962.0,1976.0
47,32500,4,1996.0,1996.0,1963.0,1978.0
48,32500,4,2000.0,2000.0,1970.0,1981.0
49,32500,4,2003.0,2003.0,1970.0,1984.0
50,32500,4,2003.0,2003.0,1970.0,1987.0
51,32500,4,2006.0,2006.0,1977.0,1990.0
52,32500,4,2016.0,2016.0,1977.0,1992.0
53,32500,4,2016.0,2016.0,1978.0,1995.0
54,32500,4,2021.0,2021.0,1980.0,1996.0
55,32500,4,2021.0,2021.0,1980.0,2000.0
56,32500,4,2022.0,2022.0,1983.0,2002.0
57,32500,4,2022.0,2022.0,1989.0,2004.0
58,32500,4,2022.0,2022.0,1990.0,2006.0
59,32500,4,2022.0,2022.0,1994.0,2008.0
60,32500,4,2022.0,2022.0,1997.0,2010.0
61,32500,4,2023.0,2023.0,1999.0,2013.0
62,32500,4,2023.0,2023.0,2002.0,2014.0
63,32500,4,2027.0,2027.0,2004.0,2016.0
64,32500,4,2029.0,2029.0,2004.0,2018.0
65,32500,4,2032.0,2032.0,2007.0,2020.0
66,32500,4,2033.0,2033.0,2007.0,2021.0
67,32500,4,2033.0,2033.0,2008.0,2023.0
68,32500,4,2033.0,2033.0,2008.0,2025.0
69,32500,4,2036.0,2036.0,2018.0,2027.0
70,32500,4,2039.0,2039.0,2018.0,2028.0
71,32500,4,2041.0,2041.0,2020.0,2029.0
72,32500,4,2041.0,2041.0,2021.0,2031.0
73,32500,4,2043.0,2043.0,2021.0,2032.0
74,32500,4,2043.0,2043.0,2027.0,2033.0
75,32500,4,2047.0,2047.0,2027.0,2034.0
