gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,42500,8,1816.0,8,1816.0,1716.0,1770.0
1,42500,8,1837.0,0,1837.0,1742.0,1783.0
2,42500,8,1837.0,0,1837.0,1758.0,1792.0
3,42500,8,1840.0,0,1840.0,1761.0,1799.0
4,42500,8,1840.0,0,1840.0,1776.0,1805.0
5,42500,8,1850.0,0,1850.0,1776.0,1811.0
6,42500,8,1851.0,0,1851.0,1776.0,1815.0
7,42500,8,1851.0,0,1851.0,1794.0,1820.0
8,42500,8,1851.0,0,1851.0,1804.0,1825.0
9,42500,8,1860.0,0,1860.0,1811.0,1831.0
10,42500,8,1865.0,0,1865.0,1813.0,1835.0
11,42500,8,1865.0,0,1865.0,1814.0,1840.0
12,42500,8,1878.0,0,1878.0,1816.0,1844.0
13,42500,8,1892.0,0,1892.0,1816.0,1850.0
14,42500,8,1895.0,0,1895.0,1823.0,1857.0
15,42500,8,1898.0,0,1898.0,1824.0,1864.0
16,42500,8,1914.0,0,1914.0,1824.0,1869.0
17,42500,8,1914.0,0,1914.0,1831.0,1875.0
18,42500,8,1923.0,0,1923.0,1838.0,1879.0
19,42500,8,1923.0,0,1923.0,1845.0,1885.0
20,42500,8,1936.0,0,1936.0,1861.0,1890.0
21,42500,8,1936.0,0,1936.0,1866.0,1895.0
22,42500,8,1936.0,0,1936.0,1870.0,1899.0
23,42500,8,1936.0,0,1936.0,1872.0,1904.0
24,42500,8,1946.0,0,1946.0,1881.0,1908.0
25,42500,8,1947.0,0,1947.0,1881.0,1911.0
26,42500,8,1947.0,0,1947.0,1881.0,1915.0
27,42500,8,1947.0,0,1947.0,1893.0,1919.0
28,42500,8,1953.0,0,1953.0,1895.0,1923.0
29,42500,8,1953.0,0,1953.0,1896.0,1926.0
30,42500,8,1953.0,0,1953.0,1898.0,1930.0
31,42500,8,1953.0,0,1953.0,1901.0,1934.0
32,42500,8,1954.0,0,1954.0,1905.0,1938.0
33,42500,8,1956.0,0,1956.0,1910.0,1941.0
34,42500,8,1964.0,0,1964.0,1913.0,1944.0
35,42500,8,1964.0,0,1964.0,1924.0,1947.0
36,42500,8,1964.0,0,1964.0,1930.0,1949.0
37,42500,8,1964.0,0,1964.0,1930.0,1951.0
38,42500,8,1966.0,0,1966.0,1934.0,1954.0
39,42500,8,1966.0,0,1966.0,1936.0,1956.0
40,42500,8,1967.0,0,1967.0,1936.0,1958.0
41,42500,8,1971.0,0,1971.0,1936.0,1960.0
42,42500,8,1972.0,0,1972.0,1952.0,1961.0
43,42500,8,1976.0,0,1976.0,1952.0,1963.0
44,42500,8,1976.0,0,1976.0,1952.0,1965.0
45,42500,8,1979.0,0,1979.0,1958.0,1966.0
46,42500,8,1979.0,0,1979.0,1958.0,1968.0
47,42500,8,1981.0,0,1981.0,1961.0,1970.0
48,42500,8,1988.0,0,1988.0,1962.0,1972.0
49,42500,8,1988.0,0,1988.0,1963.0,1974.0
50,42500,8,1995.0,0,1995.0,1963.0,1975.0
51,42500,8,1995.0,0,1995.0,1963.0,1977.0
52,42500,8,1996.0,0,1996.0,1964.0,1979.0
53,42500,8,1999.0,0,1999.0,1964.0,1981.0
54,42500,8,1999.0,0,1999.0,1969.0,1983.0
55,42500,8,1999.0,0,1999.0,1969.0,1985.0
56,42500,8,2001.0,0,2001.0,1975.0,1987.0
57,42500,8,2005.0,0,2005.0,1975.0,1989.0
58,42500,8,2005.0,0,2005.0,1975.0,1991.0
59,42500,8,2007.0,0,2007.0,1978.0,1993.0
60,42500,8,2007.0,0,2007.0,1978.0,1995.0
61,42500,8,2007.0,0,2007.0,1981.0,1997.0
62,42500,8,2007.0,0,2007.0,1983.0,1999.0
63,42500,8,2008.0,0,2008.0,1983.0,2000.0
64,42500,8,2012.0,0,2012.0,1984.0,2002.0
65,42500,8,2012.0,0,2012.0,1987.0,2003.0
66,42500,8,2012.0,0,2012.0,1987.0,2005.0
67,42500,8,2013.0,0,2013.0,1993.0,2006.0
68,42500,8,2013.0,0,2013.0,1993.0,2007.0
69,42500,8,2013.0,0,2013.0,2003.0,2008.0
70,42500,8,2013.0,0,2013.0,2006.0,2009.0
71,42500,8,2018.0,0,2018.0,2006.0,2010.0
72,42500,8,2018.0,0,2018.0,2007.0,2011.0
73,42500,8,2022.0,0,2022.0,2008.0,2012.0
74,42500,8,2022.0,0,2022.0,2009.0,2013.0
75,42500,8,2022.0,0,2022.0,2010.0,2014.0
76,42500,8,2022.0,0,2022.0,2011.0,2015.0
77,42500,8,2023.0,0,2023.0,2011.0,2016.0
78,42500,8,2023.0,0,2023.0,2012.0,2017.0
79,42500,8,2023.0,0,2023.0,2012.0,2018.0
80,42500,8,2024.0,0,2024.0,2014.0,2018.0
81,42500,8,2024.0,0,2024.0,2016.0,2019.0
82,42500,8,2024.0,0,2024.0,2016.0,2020.0
83,42500,8,2025.0,0,2025.0,2017.0,2020.0
84,42500,8,2026.0,0,2026.0,2018.0,2021.0
85,42500,8,2026.0,0,2026.0,2019.0,2022.0
86,42500,8,2027.0,0,2027.0,2019.0,2022.0
87,42500,8,2028.0,0,2028.0,2019.0,2023.0
88,42500,8,2028.0,0,2028.0,2020.0,2024.0
89,42500,8,2029.0,0,2029.0,2021.0,2024.0
90,42500,8,2029.0,0,2029.0,2021.0,2025.0
91,42500,8,2030.0,0,2030.0,2021.0,2025.0
92,42500,8,2032.0,0,2032.0,2023.0,2026.0
93,42500,8,2032.0,0,2032.0,2024.0,2026.0
94,42500,8,2032.0,0,2032.0,2024.0,2027.0
95,42500,8,2032.0,0,2032.0,2024.0,2028.0
96,42500,8,2033.0,0,2033.0,2025.0,2028.0
97,42500,8,2033.0,0,2033.0,2026.0,2029.0
98,42500,8,2034.0,0,2034.0,2026.0,2029.0
99,42500,8,2034.0,0,2034.0,2026.0,2030.0
100,42500,8,2035.0,0,2035.0,2027.0,2031.0
101,42500,8,2035.0,0,2035.0,2027.0,2031.0
102,42500,8,2037.0,0,2037.0,2029.0,2032.0
103,42500,8,2037.0,0,2037.0,2030.0,2032.0
104,42500,8,2037.0,0,2037.0,2030.0,2033.0
105,42500,8,2038.0,0,2038.0,2030.0,2034.0
106,42500,8,2038.0,0,2038.0,2030.0,2034.0
107,42500,8,2038.0,0,2038.0,2031.0,2035.0
108,42500,8,2038.0,0,2038.0,2032.0,2035.0
109,42500,8,2039.0,0,2039.0,2032.0,2036.0
110,42500,8,2041.0,0,2041.0,2032.0,2036.0
111,42500,8,2042.0,0,2042.0,2033.0,2037.0
112,42500,8,2042.0,0,2042.0,2034.0,2037.0
113,42500,8,2042.0,0,2042.0,2035.0,2037.0
114,42500,8,2042.0,0,2042.0,2036.0,2038.0
115,42500,8,2042.0,0,2042.0,2036.0,2038.0
116,42500,8,2042.0,0,2042.0,2037.0,2039.0
117,42500,8,2043.0,0,2043.0,2038.0,2039.0
118,42500,8,2043.0,0,2043.0,2038.0,2040.0
119,42500,8,2045.0,0,2045.0,2039.0,2040.0
120,42500,8,2045.0,0,2045.0,2039.0,2041.0
121,42500,8,2046.0,0,2046.0,2039.0,2041.0
122,42500,8,2046.0,0,2046.0,2040.0,2041.0
123,42500,8,2046.0,0,2046.0,2040.0,2042.0
124,42500,8,2046.0,0,2046.0,2040.0,2042.0
125,42500,8,2046.0,0,2046.0,2040.0,2043.0
126,42500,8,2046.0,0,2046.0,2041.0,2043.0
127,42500,8,2047.0,0,2047.0,2041.0,2043.0
128,42500,8,2047.0,0,2047.0,2041.0,2044.0
129,42500,8,2048.0,0,2048.0,2042.0,2044.0
130,42500,8,2049.0,0,2049.0,2042.0,2045.0
131,42500,8,2049.0,0,2049.0,2042.0,2046.0
132,42500,8,2049.0,0,2049.0,2043.0,2046.0
133,42500,8,2050.0,0,2050.0,2044.0,2046.0
134,42500,8,2051.0,0,2051.0,2045.0,2047.0
135,42500,8,2051.0,0,2051.0,2045.0,2048.0
136,42500,8,2052.0,0,2052.0,2046.0,2048.0
137,42500,8,2052.0,0,2052.0,2046.0,2049.0
138,42500,8,2054.0,0,2054.0,2047.0,2050.0
139,42500,8,2055.0,0,2055.0,2047.0,2050.0
140,42500,8,2055.0,0,2055.0,2048.0,2051.0
141,42500,8,2055.0,0,2055.0,2048.0,2052.0
142,42500,8,2056.0,0,2056.0,2049.0,2052.0
143,42500,8,2056.0,0,2056.0,2050.0,2052.0
144,42500,8,2056.0,0,2056.0,2051.0,2053.0
145,42500,8,2057.0,0,2057.0,2051.0,2053.0
146,42500,8,2058.0,0,2058.0,2052.0,2054.0
147,42500,8,2058.0,0,2058.0,2052.0,2054.0
148,42500,8,2058.0,0,2058.0,2052.0,2055.0
149,42500,8,2059.0,0,2059.0,2053.0,2055.0
150,42500,8,2060.0,0,2060.0,2054.0,2056.0
151,42500,8,2060.0,0,2060.0,2054.0,2056.0
