gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,27500,4,1852.0,1852.0,1709.0,1773.0
1,27500,4,1852.0,1852.0,1727.0,1786.0
2,27500,4,1887.0,1887.0,1746.0,1794.0
3,27500,4,1887.0,1887.0,1751.0,1807.0
4,27500,4,1887.0,1887.0,1772.0,1814.0
5,27500,4,1890.0,1890.0,1778.0,1821.0
6,27500,4,1897.0,1897.0,1785.0,1828.0
7,27500,4,1898.0,1898.0,1797.0,1833.0
8,27500,4,1900.0,1900.0,1804.0,1839.0
9,27500,4,1900.0,1900.0,1804.0,1844.0
10,27500,4,1903.0,1903.0,1804.0,1851.0
11,27500,4,1903.0,1903.0,1805.0,1856.0
12,27500,4,1913.0,1913.0,1805.0,1862.0
13,27500,4,1916.0,1916.0,1814.0,1868.0
14,27500,4,1916.0,1916.0,1824.0,1873.0
15,27500,4,1916.0,1916.0,1836.0,1879.0
16,27500,4,1919.0,1919.0,1844.0,1884.0
17,27500,4,1923.0,1923.0,1856.0,1889.0
18,27500,4,1923.0,1923.0,1857.0,1893.0
19,27500,4,1923.0,1923.0,1858.0,1898.0
20,27500,4,1924.0,1924.0,1861.0,1903.0
21,27500,4,1939.0,1939.0,1867.0,1908.0
22,27500,4,1942.0,1942.0,1868.0,1913.0
23,27500,4,1948.0,1948.0,1878.0,1918.0
24,27500,4,1948.0,1948.0,1888.0,1922.0
25,27500,4,1949.0,1949.0,1902.0,1925.0
26,27500,4,1951.0,1951.0,1904.0,1929.0
27,27500,4,1956.0,1956.0,1904.0,1934.0
28,27500,4,1956.0,1956.0,1921.0,1937.0
29,27500,4,1956.0,1956.0,1925.0,1941.0
30,27500,4,1963.0,1963.0,1926.0,1944.0
31,27500,4,1963.0,1963.0,1928.0,1947.0
32,27500,4,1963.0,1963.0,1929.0,1949.0
33,27500,4,1967.0,1967.0,1934.0,1952.0
34,27500,4,1967.0,1967.0,1937.0,1954.0
35,27500,4,1970.0,1970.0,1937.0,1956.0
36,27500,4,1972.0,1972.0,1938.0,1959.0
37,27500,4,1972.0,1972.0,1943.0,1961.0
38,27500,4,1978.0,1978.0,1951.0,1963.0
39,27500,4,1978.0,1978.0,1952.0,1964.0
40,27500,4,1979.0,1979.0,1952.0,1966.0
41,27500,4,1979.0,1979.0,1953.0,1967.0
42,27500,4,1982.0,1982.0,1957.0,1969.0
43,27500,4,1983.0,1983.0,1958.0,1971.0
44,27500,4,1984.0,1984.0,1960.0,1973.0
45,27500,4,1990.0,1990.0,1960.0,1975.0
46,27500,4,1990.0,1990.0,1960.0,1977.0
47,27500,4,1996.0,1996.0,1960.0,1979.0
48,27500,4,1997.0,1997.0,1968.0,1981.0
49,27500,4,1997.0,1997.0,1971.0,1983.0
50,27500,4,1997.0,1997.0,1972.0,1985.0
51,27500,4,1997.0,1997.0,1972.0,1988.0
52,27500,4,2002.0,2002.0,1981.0,1990.0
53,27500,4,2009.0,2009.0,1984.0,1992.0
54,27500,4,2011.0,2011.0,1985.0,1994.0
55,27500,4,2014.0,2014.0,1985.0,1996.0
56,27500,4,2020.0,2020.0,1986.0,1999.0
57,27500,4,2020.0,2020.0,1988.0,2001.0
58,27500,4,2020.0,2020.0,1989.0,2003.0
59,27500,4,2026.0,2026.0,1991.0,2006.0
60,27500,4,2026.0,2026.0,1996.0,2008.0
61,27500,4,2026.0,2026.0,1996.0,2010.0
62,27500,4,2026.0,2026.0,1998.0,2012.0
63,27500,4,2026.0,2026.0,1999.0,2013.0
64,27500,4,2026.0,2026.0,2004.0,2015.0
65,27500,4,2026.0,2026.0,2006.0,2017.0
66,27500,4,2032.0,2032.0,2006.0,2019.0
67,27500,4,2032.0,2032.0,2006.0,2020.0
68,27500,4,2037.0,2037.0,2011.0,2022.0
69,27500,4,2038.0,2038.0,2014.0,2023.0
70,27500,4,2041.0,2041.0,2015.0,2025.0
71,27500,4,2041.0,2041.0,2019.0,2027.0
72,27500,4,2041.0,2041.0,2019.0,2028.0
73,27500,4,2041.0,2041.0,2024.0,2029.0
74,27500,4,2041.0,2041.0,2024.0,2030.0
75,27500,4,2043.0,2043.0,2024.0,2032.0
76,27500,4,2044.0,2044.0,2024.0,2033.0
77,27500,4,2046.0,2046.0,2024.0,2035.0
78,27500,4,2046.0,2046.0,2024.0,2037.0
79,27500,4,2046.0,2046.0,2026.0,2038.0
80,27500,4,2048.0,2048.0,2027.0,2040.0
81,27500,4,2051.0,2051.0,2032.0,2041.0
82,27500,4,2051.0,2051.0,2032.0,2042.0
83,27500,4,2051.0,2051.0,2034.0,2043.0
84,27500,4,2052.0,2052.0,2034.0,2044.0
85,27500,4,2054.0,2054.0,2037.0,2045.0
86,27500,4,2054.0,2054.0,2039.0,2047.0
87,27500,4,2054.0,2054.0,2042.0,2048.0
88,27500,4,2054.0,2054.0,2042.0,2049.0
89,27500,4,2056.0,2056.0,2043.0,2050.0
90,27500,4,2056.0,2056.0,2044.0,2051.0
91,27500,4,2056.0,2056.0,2046.0,2052.0
92,27500,4,2056.0,2056.0,2048.0,2053.0
93,27500,4,2059.0,2059.0,2052.0,2054.0
94,27500,4,2060.0,2060.0,2052.0,2054.0
95,27500,4,2060.0,2060.0,2053.0,2055.0
96,27500,4,2061.0,2061.0,2053.0,2056.0
97,27500,4,2061.0,2061.0,2053.0,2056.0
98,27500,4,2062.0,2062.0,2053.0,2057.0
99,27500,4,2065.0,2065.0,2055.0,2058.0
100,27500,4,2065.0,2065.0,2056.0,2059.0
101,27500,4,2065.0,2065.0,2056.0,2059.0
102,27500,4,2066.0,2066.0,2057.0,2060.0
103,27500,4,2066.0,2066.0,2058.0,2061.0
104,27500,4,2066.0,2066.0,2058.0,2061.0
105,27500,4,2066.0,2066.0,2059.0,2062.0
106,27500,4,2067.0,2067.0,2059.0,2063.0
107,27500,4,2067.0,2067.0,2059.0,2063.0
108,27500,4,2067.0,2067.0,2060.0,2064.0
109,27500,4,2068.0,2068.0,2061.0,2065.0
110,27500,4,2068.0,2068.0,2061.0,2065.0
111,27500,4,2070.0,2070.0,2061.0,2066.0
112,27500,4,2071.0,2071.0,2062.0,2066.0
113,27500,4,2071.0,2071.0,2062.0,2067.0
114,27500,4,2071.0,2071.0,2062.0,2067.0
115,27500,4,2071.0,2071.0,2062.0,2068.0
116,27500,4,2072.0,2072.0,2065.0,2068.0
117,27500,4,2072.0,2072.0,2065.0,2069.0
118,27500,4,2072.0,2072.0,2067.0,2069.0
119,27500,4,2076.0,2076.0,2067.0,2070.0
120,27500,4,2076.0,2076.0,2067.0,2070.0
121,27500,4,2076.0,2076.0,2067.0,2071.0
122,27500,4,2076.0,2076.0,2069.0,2071.0
123,27500,4,2077.0,2077.0,2070.0,2072.0
124,27500,4,2077.0,2077.0,2070.0,2072.0
125,27500,4,2077.0,2077.0,2071.0,2073.0
126,27500,4,2077.0,2077.0,2071.0,2073.0
127,27500,4,2078.0,2078.0,2071.0,2074.0
128,27500,4,2079.0,2079.0,2072.0,2074.0
129,27500,4,2079.0,2079.0,2072.0,2075.0
130,27500,4,2080.0,2080.0,2073.0,2075.0
131,27500,4,2080.0,2080.0,2073.0,2076.0
132,27500,4,2081.0,2081.0,2074.0,2076.0
133,27500,4,2081.0,2081.0,2074.0,2077.0
134,27500,4,2081.0,2081.0,2074.0,2077.0
135,27500,4,2081.0,2081.0,2075.0,2078.0
136,27500,4,2082.0,2082.0,2075.0,2078.0
137,27500,4,2082.0,2082.0,2076.0,2079.0
138,27500,4,2082.0,2082.0,2077.0,2079.0
139,27500,4,2083.0,2083.0,2077.0,2079.0
140,27500,4,2083.0,2083.0,2077.0,2080.0
141,27500,4,2084.0,2084.0,2077.0,2080.0
142,27500,4,2084.0,2084.0,2078.0,2081.0
143,27500,4,2084.0,2084.0,2078.0,2081.0
144,27500,4,2085.0,2085.0,2079.0,2082.0
145,27500,4,2085.0,2085.0,2080.0,2082.0
146,27500,4,2085.0,2085.0,2080.0,2082.0
147,27500,4,2085.0,2085.0,2081.0,2083.0
148,27500,4,2085.0,2085.0,2082.0,2083.0
149,27500,4,2088.0,2088.0,2082.0,2084.0
150,27500,4,2088.0,2088.0,2082.0,2084.0
151,27500,4,2088.0,2088.0,2083.0,2085.0
152,27500,4,2089.0,2089.0,2083.0,2085.0
153,27500,4,2089.0,2089.0,2083.0,2086.0
154,27500,4,2089.0,2089.0,2083.0,2086.0
155,27500,4,2090.0,2090.0,2083.0,2087.0
156,27500,4,2091.0,2091.0,2084.0,2087.0
157,27500,4,2091.0,2091.0,2085.0,2088.0
158,27500,4,2091.0,2091.0,2087.0,2088.0
159,27500,4,2092.0,2092.0,2087.0,2089.0
160,27500,4,2092.0,2092.0,2087.0,2089.0
161,27500,4,2093.0,2093.0,2087.0,2090.0
162,27500,4,2093.0,2093.0,2087.0,2090.0
163,27500,4,2094.0,2094.0,2089.0,2091.0
164,27500,4,2094.0,2094.0,2089.0,2091.0
165,27500,4,2096.0,2096.0,2089.0,2091.0
166,27500,4,2097.0,2097.0,2090.0,2092.0
167,27500,4,2097.0,2097.0,2091.0,2093.0
168,27500,4,2097.0,2097.0,2091.0,2093.0
169,27500,4,2098.0,2098.0,2092.0,2093.0
170,27500,4,2098.0,2098.0,2092.0,2094.0
171,27500,4,2099.0,2099.0,2092.0,2095.0
172,27500,4,2100.0,2100.0,2093.0,2095.0
173,27500,4,2100.0,2100.0,2094.0,2096.0
174,27500,4,2101.0,2101.0,2094.0,2096.0
175,27500,4,2101.0,2101.0,2094.0,2097.0
176,27500,4,2102.0,2102.0,2094.0,2097.0
177,27500,4,2102.0,2102.0,2095.0,2098.0
178,27500,4,2102.0,2102.0,2095.0,2099.0
179,27500,4,2103.0,2103.0,2096.0,2099.0
180,27500,4,2103.0,2103.0,2097.0,2100.0
181,27500,4,2104.0,2104.0,2097.0,2100.0
182,27500,4,2104.0,2104.0,2097.0,2101.0
183,27500,4,2105.0,2105.0,2099.0,2101.0
184,27500,4,2105.0,2105.0,2100.0,2102.0
185,27500,4,2105.0,2105.0,2100.0,2102.0
186,27500,4,2106.0,2106.0,2100.0,2103.0
187,27500,4,2106.0,2106.0,2100.0,2103.0
188,27500,4,2107.0,2107.0,2100.0,2104.0
189,27500,4,2108.0,2108.0,2101.0,2104.0
190,27500,4,2108.0,2108.0,2102.0,2105.0
191,27500,4,2108.0,2108.0,2102.0,2105.0
192,27500,4,2109.0,2109.0,2102.0,2106.0
193,27500,4,2110.0,2110.0,2104.0,2106.0
194,27500,4,2110.0,2110.0,2104.0,2107.0
195,27500,4,2110.0,2110.0,2105.0,2107.0
196,27500,4,2111.0,2111.0,2105.0,2108.0
197,27500,4,2113.0,2113.0,2106.0,2108.0
198,27500,4,2114.0,2114.0,2106.0,2109.0
199,27500,4,2114.0,2114.0,2107.0,2110.0
200,27500,4,2114.0,2114.0,2107.0,2110.0
201,27500,4,2114.0,2114.0,2108.0,2111.0
202,27500,4,2115.0,2115.0,2108.0,2111.0
203,27500,4,2116.0,2116.0,2110.0,2112.0
204,27500,4,2117.0,2117.0,2110.0,2113.0
205,27500,4,2117.0,2117.0,2111.0,2113.0
206,27500,4,2117.0,2117.0,2111.0,2114.0
207,27500,4,2118.0,2118.0,2111.0,2114.0
208,27500,4,2119.0,2119.0,2112.0,2115.0
209,27500,4,2120.0,2120.0,2113.0,2115.0
210,27500,4,2120.0,2120.0,2113.0,2116.0
211,27500,4,2120.0,2120.0,2113.0,2116.0
212,27500,4,2121.0,2121.0,2114.0,2117.0
213,27500,4,2121.0,2121.0,2114.0,2118.0
214,27500,4,2121.0,2121.0,2115.0,2118.0
215,27500,4,2122.0,2122.0,2115.0,2119.0
216,27500,4,2123.0,2123.0,2116.0,2119.0
217,27500,4,2123.0,2123.0,2117.0,2120.0
218,27500,4,2125.0,2125.0,2118.0,2120.0
219,27500,4,2125.0,2125.0,2118.0,2121.0
220,27500,4,2125.0,2125.0,2118.0,2121.0
221,27500,4,2125.0,2125.0,2119.0,2122.0
222,27500,4,2125.0,2125.0,2120.0,2122.0
223,27500,4,2125.0,2125.0,2121.0,2123.0
224,27500,4,2126.0,2126.0,2121.0,2123.0
225,27500,4,2126.0,2126.0,2121.0,2123.0
226,27500,4,2126.0,2126.0,2121.0,2124.0
227,27500,4,2127.0,2127.0,2121.0,2124.0
228,27500,4,2129.0,2129.0,2122.0,2125.0
229,27500,4,2129.0,2129.0,2123.0,2125.0
230,27500,4,2129.0,2129.0,2124.0,2125.0
231,27500,4,2129.0,2129.0,2125.0,2126.0
232,27500,4,2131.0,2131.0,2125.0,2126.0
233,27500,4,2131.0,2131.0,2125.0,2127.0
234,27500,4,2131.0,2131.0,2125.0,2127.0
235,27500,4,2131.0,2131.0,2125.0,2128.0
236,27500,4,2131.0,2131.0,2126.0,2128.0
237,27500,4,2133.0,2133.0,2126.0,2128.0
238,27500,4,2134.0,2134.0,2127.0,2129.0
239,27500,4,2134.0,2134.0,2127.0,2130.0
240,27500,4,2134.0,2134.0,2128.0,2130.0
241,27500,4,2134.0,2134.0,2128.0,2130.0
242,27500,4,2135.0,2135.0,2129.0,2131.0
243,27500,4,2136.0,2136.0,2129.0,2132.0
244,27500,4,2136.0,2136.0,2130.0,2132.0
245,27500,4,2136.0,2136.0,2131.0,2133.0
246,27500,4,2136.0,2136.0,2131.0,2133.0
247,27500,4,2137.0,2137.0,2131.0,2133.0
248,27500,4,2137.0,2137.0,2132.0,2134.0
249,27500,4,2138.0,2138.0,2132.0,2134.0
250,27500,4,2138.0,2138.0,2133.0,2135.0
251,27500,4,2138.0,2138.0,2133.0,2135.0
252,27500,4,2139.0,2139.0,2134.0,2136.0
253,27500,4,2141.0,2141.0,2134.0,2136.0
254,27500,4,2141.0,2141.0,2134.0,2136.0
255,27500,4,2141.0,2141.0,2134.0,2137.0
256,27500,4,2141.0,2141.0,2134.0,2138.0
257,27500,4,2142.0,2142.0,2134.0,2138.0
258,27500,4,2143.0,2143.0,2136.0,2139.0
259,27500,4,2144.0,2144.0,2136.0,2139.0
260,27500,4,2144.0,2144.0,2136.0,2140.0
261,27500,4,2146.0,2146.0,2137.0,2140.0
262,27500,4,2146.0,2146.0,2137.0,2141.0
263,27500,4,2146.0,2146.0,2138.0,2141.0
264,27500,4,2146.0,2146.0,2139.0,2142.0
265,27500,4,2146.0,2146.0,2140.0,2142.0
266,27500,4,2146.0,2146.0,2140.0,2143.0
267,27500,4,2147.0,2147.0,2141.0,2143.0
268,27500,4,2148.0,2148.0,2141.0,2144.0
269,27500,4,2148.0,2148.0,2142.0,2144.0
270,27500,4,2150.0,2150.0,2142.0,2145.0
271,27500,4,2150.0,2150.0,2142.0,2145.0
272,27500,4,2150.0,2150.0,2142.0,2146.0
273,27500,4,2150.0,2150.0,2143.0,2146.0
274,27500,4,2150.0,2150.0,2143.0,2146.0
275,27500,4,2152.0,2152.0,2143.0,2147.0
276,27500,4,2153.0,2153.0,2145.0,2147.0
277,27500,4,2153.0,2153.0,2145.0,2148.0
278,27500,4,2153.0,2153.0,2145.0,2148.0
279,27500,4,2153.0,2153.0,2145.0,2149.0
280,27500,4,2155.0,2155.0,2146.0,2149.0
281,27500,4,2155.0,2155.0,2146.0,2150.0
282,27500,4,2155.0,2155.0,2146.0,2150.0
283,27500,4,2155.0,2155.0,2147.0,2151.0
284,27500,4,2155.0,2155.0,2147.0,2151.0
285,27500,4,2156.0,2156.0,2148.0,2152.0
286,27500,4,2157.0,2157.0,2149.0,2152.0
287,27500,4,2157.0,2157.0,2149.0,2153.0
288,27500,4,2158.0,2158.0,2149.0,2153.0
289,27500,4,2158.0,2158.0,2150.0,2154.0
290,27500,4,2159.0,2159.0,2150.0,2154.0
291,27500,4,2161.0,2161.0,2151.0,2155.0
292,27500,4,2161.0,2161.0,2152.0,2155.0
293,27500,4,2162.0,2162.0,2153.0,2156.0
294,27500,4,2162.0,2162.0,2153.0,2156.0
295,27500,4,2162.0,2162.0,2153.0,2157.0
296,27500,4,2162.0,2162.0,2153.0,2157.0
297,27500,4,2162.0,2162.0,2153.0,2158.0
298,27500,4,2163.0,2163.0,2153.0,2159.0
299,27500,4,2163.0,2163.0,2155.0,2159.0
300,27500,4,2163.0,2163.0,2156.0,2160.0
301,27500,4,2164.0,2164.0,2157.0,2160.0
302,27500,4,2165.0,2165.0,2158.0,2160.0
