gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,30000,,1826.0,1817.0,1690.0,1758.0
1,30000,,1826.0,1817.0,1694.0,1767.0
2,30000,,1831.0,1831.0,1706.0,1778.0
3,30000,,1849.0,1849.0,1742.0,1790.0
4,30000,,1849.0,1849.0,1761.0,1799.0
5,30000,,1860.0,1860.0,1765.0,1807.0
6,30000,,1864.0,1864.0,1784.0,1814.0
7,30000,,1864.0,1864.0,1788.0,1820.0
8,30000,,1871.0,1871.0,1795.0,1825.0
9,30000,,1891.0,1891.0,1795.0,1832.0
10,30000,,1894.0,1894.0,1799.0,1840.0
11,30000,,1899.0,1899.0,1816.0,1846.0
12,30000,,1899.0,1899.0,1825.0,1851.0
13,30000,,1899.0,1899.0,1830.0,1855.0
14,30000,,1899.0,1899.0,1831.0,1860.0
15,30000,,1900.0,1900.0,1835.0,1865.0
16,30000,,1901.0,1901.0,1846.0,1871.0
17,30000,,1901.0,1901.0,1849.0,1875.0
18,30000,,1902.0,1902.0,1849.0,1879.0
19,30000,,1902.0,1902.0,1853.0,1884.0
20,30000,,1916.0,1916.0,1859.0,1889.0
21,30000,,1916.0,1916.0,1860.0,1892.0
22,30000,,1921.0,1921.0,1862.0,1896.0
23,30000,,1921.0,1921.0,1872.0,1899.0
24,30000,,1921.0,1921.0,1878.0,1902.0
25,30000,,1923.0,1923.0,1881.0,1905.0
26,30000,,1928.0,1928.0,1891.0,1907.0
27,30000,,1928.0,1928.0,1893.0,1910.0
28,30000,,1942.0,1942.0,1897.0,1913.0
29,30000,,1942.0,1942.0,1900.0,1916.0
30,30000,,1947.0,1947.0,1906.0,1920.0
31,30000,,1947.0,1947.0,1907.0,1923.0
32,30000,,1947.0,1947.0,1911.0,1927.0
33,30000,,1950.0,1950.0,1914.0,1929.0
34,30000,,1950.0,1950.0,1915.0,1932.0
35,30000,,1953.0,1953.0,1917.0,1935.0
36,30000,,1954.0,1954.0,1922.0,1938.0
37,30000,,1961.0,1961.0,1923.0,1942.0
38,30000,,1964.0,1964.0,1931.0,1945.0
39,30000,,1964.0,1964.0,1931.0,1948.0
40,30000,,1968.0,1968.0,1936.0,1951.0
41,30000,,1968.0,1968.0,1941.0,1954.0
42,30000,,1973.0,1973.0,1943.0,1956.0
43,30000,,1974.0,1974.0,1943.0,1959.0
44,30000,,1977.0,1977.0,1944.0,1962.0
45,30000,,1977.0,1977.0,1945.0,1964.0
46,30000,,1978.0,1978.0,1950.0,1967.0
47,30000,,1979.0,1979.0,1954.0,1970.0
48,30000,,1982.0,1982.0,1955.0,1971.0
49,30000,,1983.0,1983.0,1964.0,1974.0
50,30000,,1986.0,1986.0,1964.0,1975.0
51,30000,,1986.0,1986.0,1967.0,1977.0
52,30000,,1990.0,1990.0,1970.0,1978.0
53,30000,,1995.0,1995.0,1970.0,1980.0
54,30000,,1995.0,1995.0,1974.0,1981.0
55,30000,,1995.0,1995.0,1974.0,1983.0
56,30000,,1995.0,1995.0,1974.0,1985.0
57,30000,,1996.0,1996.0,1977.0,1987.0
58,30000,,1996.0,1996.0,1981.0,1989.0
59,30000,,1996.0,1996.0,1982.0,1990.0
60,30000,,1998.0,1998.0,1983.0,1991.0
61,30000,,2000.0,2000.0,1983.0,1993.0
62,30000,,2001.0,2001.0,1987.0,1994.0
63,30000,,2002.0,2002.0,1990.0,1995.0
64,30000,,2002.0,2002.0,1990.0,1996.0
65,30000,,2004.0,2004.0,1991.0,1997.0
66,30000,,2007.0,2007.0,1994.0,1998.0
67,30000,,2007.0,2007.0,1994.0,1999.0
68,30000,,2010.0,2010.0,1994.0,2001.0
69,30000,,2014.0,2014.0,1996.0,2002.0
70,30000,,2014.0,2014.0,1996.0,2004.0
71,30000,,2016.0,2016.0,1996.0,2005.0
72,30000,,2016.0,2016.0,1998.0,2006.0
73,30000,,2016.0,2016.0,1998.0,2008.0
74,30000,,2018.0,2018.0,2002.0,2009.0
75,30000,,2020.0,2020.0,2003.0,2011.0
76,30000,,2023.0,2023.0,2003.0,2012.0
77,30000,,2023.0,2023.0,2006.0,2013.0
78,30000,,2026.0,2026.0,2007.0,2014.0
79,30000,,2026.0,2026.0,2010.0,2016.0
80,30000,,2028.0,2028.0,2010.0,2018.0
81,30000,,2028.0,2028.0,2010.0,2019.0
82,30000,,2029.0,2029.0,2011.0,2021.0
83,30000,,2030.0,2030.0,2011.0,2022.0
84,30000,,2031.0,2031.0,2011.0,2023.0
85,30000,,2034.0,2034.0,2012.0,2025.0
86,30000,,2034.0,2034.0,2016.0,2026.0
87,30000,,2034.0,2034.0,2018.0,2027.0
88,30000,,2039.0,2039.0,2021.0,2028.0
89,30000,,2039.0,2039.0,2023.0,2030.0
90,30000,,2044.0,2044.0,2023.0,2032.0
91,30000,,2045.0,2045.0,2027.0,2033.0
92,30000,,2045.0,2045.0,2028.0,2034.0
93,30000,,2045.0,2045.0,2028.0,2036.0
94,30000,,2049.0,2049.0,2032.0,2037.0
95,30000,,2049.0,2049.0,2033.0,2039.0
96,30000,,2049.0,2049.0,2034.0,2040.0
97,30000,,2049.0,2049.0,2034.0,2041.0
98,30000,,2049.0,2049.0,2035.0,2042.0
99,30000,,2051.0,2051.0,2036.0,2043.0
100,30000,,2053.0,2053.0,2037.0,2044.0
101,30000,,2053.0,2053.0,2040.0,2045.0
102,30000,,2053.0,2053.0,2040.0,2046.0
