gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,37500,,1828.0,11,1828.0,1701.0,1759.0
1,37500,,1828.0,0,1828.0,1723.0,1772.0
2,37500,,1847.0,0,1847.0,1740.0,1781.0
3,37500,,1857.0,0,1857.0,1750.0,1790.0
4,37500,,1857.0,0,1857.0,1757.0,1797.0
5,37500,,1857.0,0,1857.0,1761.0,1804.0
6,37500,,1857.0,0,1857.0,1763.0,1811.0
7,37500,,1857.0,0,1857.0,1781.0,1818.0
8,37500,,1858.0,0,1858.0,1788.0,1823.0
9,37500,,1858.0,0,1858.0,1798.0,1829.0
10,37500,,1867.0,0,1867.0,1802.0,1834.0
11,37500,,1867.0,0,1867.0,1817.0,1838.0
12,37500,,1877.0,0,1877.0,1824.0,1843.0
13,37500,,1877.0,0,1877.0,1824.0,1847.0
14,37500,,1879.0,0,1879.0,1828.0,1852.0
15,37500,,1884.0,0,1884.0,1831.0,1857.0
16,37500,,1884.0,0,1884.0,1839.0,1862.0
17,37500,,1903.0,0,1903.0,1841.0,1867.0
18,37500,,1906.0,0,1906.0,1842.0,1872.0
19,37500,,1906.0,0,1906.0,1842.0,1876.0
20,37500,,1914.0,0,1914.0,1850.0,1881.0
21,37500,,1918.0,0,1918.0,1859.0,1885.0
22,37500,,1918.0,0,1918.0,1859.0,1890.0
23,37500,,1918.0,0,1918.0,1859.0,1895.0
24,37500,,1930.0,0,1930.0,1872.0,1899.0
25,37500,,1931.0,0,1931.0,1872.0,1903.0
26,37500,,1939.0,0,1939.0,1882.0,1908.0
27,37500,,1951.0,0,1951.0,1882.0,1913.0
28,37500,,1951.0,0,1951.0,1893.0,1917.0
29,37500,,1951.0,0,1951.0,1895.0,1922.0
30,37500,,1953.0,0,1953.0,1899.0,1927.0
31,37500,,1953.0,0,1953.0,1906.0,1931.0
32,37500,,1953.0,0,1953.0,1909.0,1935.0
33,37500,,1957.0,0,1957.0,1909.0,1939.0
34,37500,,1957.0,0,1957.0,1916.0,1943.0
35,37500,,1961.0,0,1961.0,1926.0,1945.0
36,37500,,1969.0,0,1969.0,1936.0,1948.0
37,37500,,1969.0,0,1969.0,1939.0,1950.0
38,37500,,1971.0,0,1971.0,1939.0,1952.0
39,37500,,1972.0,0,1972.0,1940.0,1955.0
40,37500,,1972.0,0,1972.0,1944.0,1957.0
41,37500,,1974.0,0,1974.0,1945.0,1959.0
42,37500,,1984.0,0,1984.0,1945.0,1961.0
43,37500,,1984.0,0,1984.0,1946.0,1964.0
44,37500,,1984.0,0,1984.0,1946.0,1966.0
45,37500,,1984.0,0,1984.0,1947.0,1968.0
46,37500,,1984.0,0,1984.0,1948.0,1970.0
47,37500,,1989.0,0,1989.0,1955.0,1972.0
48,37500,,1989.0,0,1989.0,1955.0,1974.0
49,37500,,1992.0,0,1992.0,1955.0,1976.0
50,37500,,1992.0,0,1992.0,1961.0,1979.0
51,37500,,1995.0,0,1995.0,1962.0,1981.0
52,37500,,1995.0,0,1995.0,1969.0,1983.0
53,37500,,1997.0,0,1997.0,1969.0,1985.0
54,37500,,2004.0,0,2004.0,1970.0,1987.0
55,37500,,2007.0,0,2007.0,1971.0,1989.0
56,37500,,2007.0,0,2007.0,1977.0,1991.0
57,37500,,2008.0,0,2008.0,1977.0,1993.0
58,37500,,2011.0,0,2011.0,1982.0,1995.0
59,37500,,2015.0,0,2015.0,1984.0,1997.0
60,37500,,2015.0,0,2015.0,1984.0,2000.0
61,37500,,2016.0,0,2016.0,1991.0,2002.0
62,37500,,2016.0,0,2016.0,1993.0,2005.0
63,37500,,2021.0,0,2021.0,1996.0,2007.0
64,37500,,2021.0,0,2021.0,1996.0,2009.0
65,37500,,2025.0,0,2025.0,2001.0,2011.0
66,37500,,2027.0,0,2027.0,2004.0,2013.0
67,37500,,2027.0,0,2027.0,2005.0,2014.0
68,37500,,2027.0,0,2027.0,2006.0,2016.0
69,37500,,2030.0,0,2030.0,2008.0,2017.0
70,37500,,2033.0,0,2033.0,2009.0,2020.0
71,37500,,2033.0,0,2033.0,2009.0,2022.0
72,37500,,2035.0,0,2035.0,2011.0,2024.0
73,37500,,2039.0,0,2039.0,2011.0,2026.0
74,37500,,2048.0,0,2048.0,2016.0,2028.0
75,37500,,2048.0,0,2048.0,2016.0,2030.0
76,37500,,2055.0,0,2055.0,2017.0,2032.0
77,37500,,2055.0,0,2055.0,2021.0,2034.0
78,37500,,2055.0,0,2055.0,2025.0,2036.0
79,37500,,2055.0,0,2055.0,2026.0,2039.0
80,37500,,2059.0,0,2059.0,2028.0,2041.0
81,37500,,2059.0,0,2059.0,2029.0,2043.0
82,37500,,2068.0,0,2068.0,2030.0,2046.0
83,37500,,2070.0,0,2070.0,2033.0,2049.0
84,37500,,2070.0,0,2070.0,2034.0,2051.0
