gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,20000,12,1827.0,1827.0,1695.0,1763.0
1,20000,12,1828.0,1828.0,1709.0,1776.0
2,20000,12,1835.0,1835.0,1719.0,1787.0
3,20000,12,1839.0,1839.0,1728.0,1795.0
4,20000,12,1841.0,1841.0,1762.0,1804.0
5,20000,12,1860.0,1860.0,1778.0,1813.0
6,20000,12,1860.0,1860.0,1789.0,1818.0
7,20000,12,1860.0,1860.0,1796.0,1824.0
8,20000,12,1860.0,1860.0,1799.0,1830.0
9,20000,12,1869.0,1869.0,1805.0,1837.0
10,20000,12,1869.0,1869.0,1809.0,1841.0
11,20000,12,1874.0,1874.0,1818.0,1847.0
12,20000,12,1882.0,1882.0,1825.0,1851.0
13,20000,12,1883.0,1883.0,1827.0,1856.0
14,20000,12,1888.0,1888.0,1828.0,1860.0
15,20000,12,1894.0,1894.0,1832.0,1865.0
16,20000,12,1899.0,1899.0,1839.0,1870.0
17,20000,12,1902.0,1902.0,1849.0,1873.0
18,20000,12,1907.0,1907.0,1851.0,1878.0
19,20000,12,1907.0,1907.0,1851.0,1881.0
20,20000,12,1912.0,1912.0,1861.0,1887.0
21,20000,12,1913.0,1913.0,1865.0,1891.0
22,20000,12,1923.0,1923.0,1865.0,1895.0
23,20000,12,1923.0,1923.0,1878.0,1899.0
24,20000,12,1923.0,1923.0,1881.0,1903.0
25,20000,12,1927.0,1927.0,1881.0,1907.0
26,20000,12,1927.0,1927.0,1885.0,1909.0
27,20000,12,1928.0,1928.0,1886.0,1912.0
28,20000,12,1935.0,1935.0,1893.0,1915.0
29,20000,12,1935.0,1935.0,1899.0,1917.0
30,20000,12,1939.0,1939.0,1899.0,1919.0
31,20000,12,1939.0,1939.0,1899.0,1921.0
32,20000,12,1939.0,1939.0,1906.0,1924.0
33,20000,12,1951.0,1951.0,1914.0,1926.0
34,20000,12,1951.0,1951.0,1914.0,1928.0
35,20000,12,1951.0,1951.0,1914.0,1930.0
36,20000,12,1953.0,1953.0,1914.0,1933.0
37,20000,12,1967.0,1967.0,1922.0,1936.0
38,20000,12,1967.0,1967.0,1923.0,1939.0
39,20000,12,1967.0,1967.0,1923.0,1942.0
40,20000,12,1967.0,1967.0,1926.0,1945.0
