gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean
0,20000,6,1827.0,,1827.0,1713.0,1763.0
1,20000,6,1828.0,,1828.0,1719.0,1776.0
2,20000,6,1848.0,,1848.0,1739.0,1785.0
3,20000,6,1848.0,,1848.0,1751.0,1793.0
4,20000,6,1848.0,,1848.0,1753.0,1802.0
5,20000,6,1848.0,,1848.0,1756.0,1811.0
6,20000,6,1864.0,,1864.0,1777.0,1819.0
7,20000,6,1864.0,,1864.0,1782.0,1826.0
8,20000,6,1864.0,,1864.0,1800.0,1832.0
9,20000,6,1870.0,,1870.0,1803.0,1837.0
10,20000,6,1870.0,,1870.0,1803.0,1841.0
11,20000,6,1875.0,,1875.0,1812.0,1846.0
12,20000,6,1875.0,,1875.0,1825.0,1851.0
13,20000,6,1882.0,,1882.0,1827.0,1855.0
14,20000,6,1882.0,,1882.0,1833.0,1857.0
15,20000,6,1887.0,,1887.0,1834.0,1862.0
16,20000,6,1891.0,,1891.0,1838.0,1867.0
17,20000,6,1891.0,,1891.0,1848.0,1870.0
18,20000,6,1896.0,,1896.0,1851.0,1873.0
19,20000,6,1896.0,,1896.0,1852.0,1876.0
20,20000,6,1896.0,,1896.0,1856.0,1880.0
21,20000,6,1902.0,,1902.0,1862.0,1883.0
22,20000,6,1908.0,,1908.0,1867.0,1887.0
23,20000,6,1910.0,,1910.0,1871.0,1890.0
24,20000,6,1910.0,,1910.0,1875.0,1893.0
25,20000,6,1918.0,,1918.0,1875.0,1897.0
26,20000,6,1918.0,,1918.0,1883.0,1901.0
27,20000,6,1923.0,,1923.0,1883.0,1905.0
28,20000,6,1933.0,,1933.0,1894.0,1909.0
29,20000,6,1933.0,,1933.0,1894.0,1912.0
30,20000,6,1934.0,,1934.0,1894.0,1915.0
31,20000,6,1939.0,,1939.0,1895.0,1917.0
32,20000,6,1939.0,,1939.0,1903.0,1920.0
33,20000,6,1939.0,,1939.0,1905.0,1923.0
34,20000,6,1939.0,,1939.0,1905.0,1924.0
35,20000,6,1939.0,,1939.0,1908.0,1926.0
36,20000,6,1944.0,,1944.0,1917.0,1929.0
37,20000,6,1946.0,,1946.0,1917.0,1931.0
38,20000,6,1946.0,,1946.0,1917.0,1934.0
39,20000,6,1947.0,,1947.0,1919.0,1936.0
40,20000,6,1951.0,,1951.0,1919.0,1939.0
41,20000,6,1962.0,,1962.0,1931.0,1942.0
42,20000,6,1965.0,,1965.0,1931.0,1944.0
43,20000,6,1971.0,,1971.0,1934.0,1948.0
44,20000,6,1971.0,,1971.0,1937.0,1951.0
45,20000,6,1977.0,,1977.0,1938.0,1954.0
46,20000,6,1979.0,,1979.0,1940.0,1957.0
47,20000,6,1988.0,,1988.0,1941.0,1961.0
48,20000,6,1988.0,,1988.0,1944.0,1964.0
49,20000,6,1988.0,,1988.0,1955.0,1967.0
50,20000,6,1988.0,,1988.0,1957.0,1969.0
51,20000,6,1994.0,,1994.0,1957.0,1972.0
52,20000,6,1994.0,,1994.0,1960.0,1974.0
53,20000,6,1998.0,,1998.0,1960.0,1977.0
54,20000,6,1998.0,,1998.0,1960.0,1980.0
55,20000,6,2004.0,,2004.0,1964.0,1984.0
56,20000,6,2009.0,,2009.0,1972.0,1986.0
57,20000,6,2009.0,,2009.0,1972.0,1989.0
58,20000,6,2011.0,,2011.0,1976.0,1992.0
59,20000,6,2011.0,,2011.0,1977.0,1994.0
60,20000,6,2011.0,,2011.0,1983.0,1996.0
61,20000,6,2011.0,,2011.0,1986.0,1997.0
62,20000,6,2013.0,,2013.0,1990.0,1999.0
63,20000,6,2014.0,,2014.0,1991.0,2001.0
64,20000,6,2021.0,,2021.0,1992.0,2003.0
65,20000,6,2021.0,,2021.0,1995.0,2005.0
66,20000,6,2021.0,,2021.0,1995.0,2006.0
67,20000,6,2024.0,,2024.0,1995.0,2008.0
68,20000,6,2024.0,,2024.0,1999.0,2010.0
69,20000,6,2028.0,,2028.0,1999.0,2012.0
70,20000,6,2028.0,,2028.0,2001.0,2014.0
71,20000,6,2028.0,,2028.0,2002.0,2015.0
72,20000,6,2028.0,,2028.0,2003.0,2017.0
73,20000,6,2029.0,,2029.0,2003.0,2019.0
74,20000,6,2029.0,,2029.0,2003.0,2020.0
75,20000,6,2030.0,,2030.0,2004.0,2021.0
76,20000,6,2030.0,,2030.0,2009.0,2022.0
77,20000,6,2031.0,,2031.0,2009.0,2024.0
78,20000,6,2034.0,,2034.0,2010.0,2025.0
79,20000,6,2036.0,,2036.0,2017.0,2027.0
80,20000,6,2038.0,,2038.0,2019.0,2028.0
81,20000,6,2038.0,,2038.0,2019.0,2030.0
82,20000,6,2043.0,,2043.0,2023.0,2031.0
83,20000,6,2043.0,,2043.0,2024.0,2032.0
84,20000,6,2043.0,,2043.0,2029.0,2033.0
85,20000,6,2069.0,,2069.0,1993.0,2035.0
86,20000,6,2069.0,,2069.0,2030.0,2037.0
87,20000,6,2069.0,,2069.0,2032.0,2039.0
88,20000,6,2070.0,,2070.0,2032.0,2042.0
89,20000,6,2072.0,,2072.0,2033.0,2045.0
90,20000,6,2072.0,,2072.0,2035.0,2047.0
91,20000,6,2077.0,,2077.0,2037.0,2050.0
92,20000,6,2080.0,,2080.0,2037.0,2053.0
93,20000,6,2086.0,,2086.0,2042.0,2056.0
94,20000,6,2090.0,,2090.0,2043.0,2059.0
95,20000,6,2095.0,,2095.0,2045.0,2063.0
96,20000,6,2095.0,,2095.0,2045.0,2066.0
97,20000,6,2095.0,,2095.0,2045.0,2070.0
98,20000,6,2105.0,,2105.0,2045.0,2074.0
99,20000,6,2108.0,,2108.0,2046.0,2077.0
100,20000,6,2108.0,,2108.0,2047.0,2081.0
101,20000,6,2108.0,,2108.0,2049.0,2084.0
102,20000,6,2113.0,,2113.0,2049.0,2088.0
103,20000,6,2114.0,,2114.0,2049.0,2091.0
104,20000,6,2114.0,,2114.0,2050.0,2096.0
105,20000,6,2119.0,,2119.0,2055.0,2100.0
106,20000,6,2119.0,,2119.0,2086.0,2102.0
107,20000,6,2127.0,,2127.0,2086.0,2105.0
108,20000,6,2128.0,,2128.0,2086.0,2108.0
109,20000,6,2131.0,,2131.0,2086.0,2112.0
110,20000,6,2131.0,,2131.0,2097.0,2115.0
111,20000,6,2135.0,,2135.0,2097.0,2118.0
112,20000,6,2136.0,,2136.0,2104.0,2121.0
113,20000,6,2136.0,,2136.0,2105.0,2124.0
114,20000,6,2142.0,,2142.0,2107.0,2126.0
115,20000,6,2145.0,,2145.0,2111.0,2128.0
116,20000,6,2145.0,,2145.0,2118.0,2131.0
117,20000,6,2150.0,,2150.0,2119.0,2133.0
118,20000,6,2150.0,,2150.0,2119.0,2136.0
119,20000,6,2150.0,,2150.0,2121.0,2138.0
120,20000,6,2150.0,,2150.0,2121.0,2141.0
121,20000,6,2155.0,,2155.0,2134.0,2143.0
122,20000,6,2155.0,,2155.0,2134.0,2144.0
123,20000,6,2161.0,,2161.0,2139.0,2146.0
124,20000,6,2161.0,,2161.0,2139.0,2147.0
125,20000,6,2161.0,,2161.0,2142.0,2148.0
126,20000,6,2161.0,,2161.0,2144.0,2150.0
127,20000,6,2161.0,,2161.0,2144.0,2152.0
128,20000,6,2161.0,,2161.0,2145.0,2153.0
129,20000,6,2163.0,,2163.0,2149.0,2155.0
130,20000,6,2163.0,,2163.0,2149.0,2156.0
131,20000,6,2167.0,,2167.0,2152.0,2158.0
132,20000,6,2167.0,,2167.0,2152.0,2158.0
133,20000,6,2167.0,,2167.0,2153.0,2160.0
134,20000,6,2170.0,,2170.0,2155.0,2161.0
135,20000,6,2176.0,,2176.0,2156.0,2162.0
136,20000,6,2176.0,,2176.0,2156.0,2164.0
137,20000,6,2177.0,,2177.0,2159.0,2165.0
138,20000,6,2178.0,,2178.0,2160.0,2167.0
139,20000,6,2178.0,,2178.0,2160.0,2169.0
140,20000,6,2184.0,,2184.0,2164.0,2170.0
141,20000,6,2185.0,,2185.0,2164.0,2171.0
142,20000,6,2185.0,,2185.0,2164.0,2173.0
143,20000,6,2188.0,,2188.0,2164.0,2174.0
144,20000,6,2188.0,,2188.0,2166.0,2175.0
145,20000,6,2190.0,,2190.0,2166.0,2177.0
146,20000,6,2190.0,,2190.0,2166.0,2178.0
147,20000,6,2190.0,,2190.0,2166.0,2180.0
148,20000,6,2190.0,,2190.0,2167.0,2181.0
149,20000,6,2202.0,,2202.0,2171.0,2182.0
150,20000,6,2202.0,,2202.0,2171.0,2183.0
151,20000,6,2203.0,,2203.0,2178.0,2185.0
152,20000,6,2203.0,,2203.0,2178.0,2187.0
153,20000,6,2204.0,,2204.0,2179.0,2189.0
154,20000,6,2204.0,,2204.0,2182.0,2191.0
155,20000,6,2208.0,,2208.0,2183.0,2193.0
156,20000,6,2208.0,,2208.0,2185.0,2195.0
