gen,seed,threads,best_global,fit_best,fit_worst,fit_mean
0,20000,24,1829.0,1829.0,1696.0,1761.0
1,20000,24,1839.0,1839.0,1708.0,1772.0
2,20000,24,1843.0,1843.0,1725.0,1783.0
3,20000,24,1848.0,1848.0,1752.0,1790.0
4,20000,24,1848.0,1848.0,1757.0,1799.0
5,20000,24,1852.0,1852.0,1768.0,1806.0
6,20000,24,1853.0,1853.0,1777.0,1815.0
7,20000,24,1861.0,1861.0,1780.0,1823.0
8,20000,24,1861.0,1861.0,1793.0,1831.0
9,20000,24,1862.0,1862.0,1794.0,1838.0
10,20000,24,1868.0,1868.0,1794.0,1843.0
11,20000,24,1869.0,1869.0,1797.0,1849.0
12,20000,24,1889.0,1889.0,1811.0,1854.0
13,20000,24,1893.0,1893.0,1811.0,1857.0
14,20000,24,1893.0,1893.0,1841.0,1861.0
15,20000,24,1893.0,1893.0,1841.0,1865.0
16,20000,24,1895.0,1895.0,1849.0,1868.0
17,20000,24,1896.0,1896.0,1849.0,1872.0
18,20000,24,1900.0,1900.0,1849.0,1875.0
19,20000,24,1903.0,1903.0,1861.0,1879.0
20,20000,24,1914.0,1914.0,1861.0,1884.0
21,20000,24,1914.0,1914.0,1861.0,1887.0
22,20000,24,1914.0,1914.0,1869.0,1892.0
23,20000,24,1920.0,1920.0,1869.0,1895.0
24,20000,24,1924.0,1924.0,1870.0,1899.0
25,20000,24,1924.0,1924.0,1880.0,1903.0
26,20000,24,1924.0,1924.0,1881.0,1906.0
27,20000,24,1928.0,1928.0,1890.0,1908.0
28,20000,24,1928.0,1928.0,1893.0,1912.0
29,20000,24,1929.0,1929.0,1893.0,1914.0
30,20000,24,1933.0,1933.0,1894.0,1917.0
31,20000,24,1933.0,1933.0,1908.0,1919.0
32,20000,24,1937.0,1937.0,1909.0,1921.0
33,20000,24,1941.0,1941.0,1913.0,1924.0
34,20000,24,1941.0,1941.0,1914.0,1928.0
35,20000,24,1944.0,1944.0,1918.0,1931.0
36,20000,24,1944.0,1944.0,1918.0,1933.0
37,20000,24,1944.0,1944.0,1918.0,1935.0
38,20000,24,1952.0,1952.0,1918.0,1937.0
39,20000,24,1952.0,1952.0,1921.0,1938.0
40,20000,24,1952.0,1952.0,1922.0,1939.0
41,20000,24,1953.0,1953.0,1925.0,1941.0
42,20000,24,1958.0,1958.0,1925.0,1943.0
43,20000,24,1960.0,1960.0,1926.0,1945.0
44,20000,24,1960.0,1960.0,1931.0,1947.0
45,20000,24,1964.0,1964.0,1931.0,1949.0
46,20000,24,1966.0,1966.0,1940.0,1951.0
47,20000,24,1967.0,1967.0,1940.0,1953.0
48,20000,24,1968.0,1968.0,1941.0,1955.0
49,20000,24,1969.0,1969.0,1943.0,1958.0
50,20000,24,1970.0,1970.0,1944.0,1959.0
51,20000,24,1972.0,1972.0,1947.0,1962.0
52,20000,24,1975.0,1975.0,1948.0,1964.0
53,20000,24,1978.0,1978.0,1954.0,1967.0
54,20000,24,1981.0,1981.0,1956.0,1968.0
55,20000,24,1982.0,1982.0,1956.0,1971.0
56,20000,24,1982.0,1982.0,1959.0,1972.0
57,20000,24,1989.0,1989.0,1963.0,1974.0
58,20000,24,1989.0,1989.0,1965.0,1976.0
59,20000,24,1990.0,1990.0,1969.0,1978.0
60,20000,24,1992.0,1992.0,1969.0,1979.0
61,20000,24,1992.0,1992.0,1969.0,1981.0
62,20000,24,1995.0,1995.0,1971.0,1983.0
63,20000,24,1997.0,1997.0,1973.0,1985.0
64,20000,24,2000.0,2000.0,1973.0,1986.0
65,20000,24,2000.0,2000.0,1976.0,1988.0
66,20000,24,2001.0,2001.0,1981.0,1989.0
67,20000,24,2002.0,2002.0,1981.0,1990.0
68,20000,24,2009.0,2009.0,1981.0,1992.0
69,20000,24,2010.0,2010.0,1983.0,1993.0
70,20000,24,2010.0,2010.0,1986.0,1995.0
71,20000,24,2010.0,2010.0,1986.0,1996.0
72,20000,24,2011.0,2011.0,1986.0,1997.0
73,20000,24,2015.0,2015.0,1989.0,1999.0
74,20000,24,2016.0,2016.0,1992.0,2000.0
75,20000,24,2017.0,2017.0,1992.0,2002.0
76,20000,24,2017.0,2017.0,1992.0,2003.0
77,20000,24,2018.0,2018.0,1995.0,2005.0
78,20000,24,2019.0,2019.0,1997.0,2006.0
79,20000,24,2019.0,2019.0,1998.0,2008.0
80,20000,24,2019.0,2019.0,1998.0,2009.0
81,20000,24,2019.0,2019.0,2001.0,2011.0
82,20000,24,2020.0,2020.0,2001.0,2012.0
83,20000,24,2021.0,2021.0,2004.0,2013.0
84,20000,24,2021.0,2021.0,2006.0,2014.0
85,20000,24,2023.0,2023.0,2006.0,2016.0
86,20000,24,2026.0,2026.0,2009.0,2017.0
87,20000,24,2026.0,2026.0,2011.0,2018.0
88,20000,24,2027.0,2027.0,2012.0,2019.0
89,20000,24,2027.0,2027.0,2013.0,2021.0
90,20000,24,2029.0,2029.0,2013.0,2022.0
91,20000,24,2031.0,2031.0,2013.0,2023.0
