gen,fitness
0,572
1,572
2,572
3,572
4,572
5,572
6,577
7,583
8,584
9,584
10,586
11,588
12,588
13,590
14,592
15,599
16,600
17,600
18,600
19,604
20,604
21,610
22,610
23,612
24,616
25,617
26,623
27,623
28,629
29,631
30,631
31,632
32,632
33,635
34,641
35,642
36,642
37,644
38,646
39,648
40,648
41,649
42,655
43,659
44,659
45,661
46,664
47,666
48,673
49,673
50,674
51,675
52,679
53,679
54,679
55,680
56,680
57,681
58,683
59,684
60,688
61,688
62,690
63,694
64,694
65,697
66,697
67,698
68,699
69,702
70,704
71,706
72,706
73,708
74,713
75,713
76,716
77,718
78,718
79,718
80,720
81,720
82,727
83,727
84,727
85,728
86,729
87,731
88,733
89,733
90,734
91,737
92,737
93,737
94,746
95,746
96,746
97,746
98,746
99,748
100,749
101,749
102,750
103,752
104,752
105,752
106,754
107,761
108,761
109,761
110,762
111,762
112,767
113,767
114,767
115,768
116,768
117,768
118,771
119,771
120,775
121,776
122,776
123,776
124,778
125,781
126,781
127,781
128,784
129,784
130,785
131,785
132,788
133,790
134,790
135,791
136,791
137,792
138,793
139,798
140,800
141,800
142,800
143,801
144,802
145,803
146,803
147,804
148,806
149,807
150,810
151,810
152,812
153,812
154,812
155,816
156,817
157,817
158,818
159,820
160,822
161,824
162,824
163,824
164,826
165,827
166,828
167,829
168,829
169,830
170,832
171,834
172,834
173,834
174,835
175,837
176,839
177,839
178,839
179,840
180,843
181,843
182,843
183,846
184,848
185,848
186,848
187,848
188,849
189,850
190,851
191,851
192,853
193,853
194,856
195,856
196,857
197,857
198,858
199,861
