gen,fitness
0,559
1,561
2,561
3,564
4,570
5,573
6,573
7,576
8,579
9,579
10,579
11,580
12,586
13,591
14,593
15,597
16,599
17,599
18,602
19,602
20,604
21,607
22,613
23,613
24,620
25,620
26,625
27,631
28,631
29,631
30,634
31,634
32,634
33,634
34,636
35,636
36,640
37,640
38,640
39,645
40,646
41,646
42,648
43,651
44,652
45,655
46,655
47,659
48,659
49,660
50,661
51,668
52,668
53,668
54,669
55,673
56,676
57,679
58,679
59,679
60,682
61,683
62,685
63,687
64,691
65,691
66,695
67,695
68,700
69,700
70,704
71,704
72,704
73,709
74,710
75,710
76,710
77,710
78,713
79,714
80,717
81,719
82,720
83,722
84,722
85,723
86,725
87,726
88,728
89,729
90,731
91,731
92,732
93,734
94,736
95,741
96,741
97,747
98,747
99,747
100,747
101,750
102,750
103,750
104,750
105,750
106,753
107,756
108,756
109,760
110,760
111,760
112,761
113,763
114,764
115,766
116,769
117,773
118,773
119,773
120,775
121,775
122,779
123,780
124,780
125,785
126,785
127,785
128,786
129,786
130,786
131,787
132,787
133,788
134,793
135,794
136,794
137,794
138,797
139,799
140,799
141,799
142,799
143,802
144,804
145,804
146,805
147,808
148,809
149,813
150,813
151,817
152,817
153,817
154,818
155,819
156,823
157,823
158,823
159,824
160,826
161,826
162,826
163,828
164,828
165,834
166,834
167,834
168,837
169,837
170,838
171,838
172,838
173,840
174,840
175,840
176,842
177,844
178,844
179,844
180,845
181,846
182,847
183,850
184,850
185,850
186,854
187,854
188,854
189,854
190,855
191,857
192,857
193,857
194,857
195,859
196,859
197,859
198,863
199,864
