gen,fitness,picos
0,558,1146
1,561,649
2,562,20
3,562,645
4,575,111
5,575,187
6,575,20
7,576,235
8,584,25
9,584,24
10,584,637
11,585,19
12,586,637
13,590,22
14,592,285
15,595,21
16,595,252
17,597,20
18,601,640
19,604,23
20,607,24
21,609,185
22,612,19
23,612,24
24,614,24
25,618,16
26,621,177
27,621,21
28,622,20
29,625,17
30,629,23
31,630,18
32,635,24
33,635,23
34,635,32
35,642,20
36,642,635
37,644,15
38,647,638
39,659,22
40,659,25
41,659,21
42,660,292
43,661,23
44,661,23
45,662,641
46,664,22
47,664,23
48,664,17
49,667,647
50,670,19
51,670,430
52,671,431
53,673,628
54,674,23
55,674,174
56,679,21
57,679,27
58,679,636
59,681,19
60,685,437
61,685,21
62,686,20
63,687,639
64,689,187
65,694,23
66,696,17
67,696,22
68,696,32
69,699,435
70,699,20
71,703,21
72,704,18
73,706,638
74,706,24
75,708,21
76,710,23
77,712,19
78,712,25
79,714,22
80,714,35
81,718,22
82,719,402
83,720,24
84,722,22
85,724,21
86,724,24
87,725,636
88,728,21
89,731,392
90,731,24
91,733,22
92,734,21
93,734,433
94,735,23
95,736,19
96,738,20
97,739,17
98,743,19
99,744,21
100,744,465
101,745,20
102,747,23
103,751,14
104,751,22
105,755,22
106,755,36
107,755,429
108,755,21
109,757,22
110,760,22
111,763,21
112,766,33
113,766,23
114,773,24
115,773,21
116,773,20
117,775,17
118,775,21
119,775,22
120,780,32
121,780,24
122,781,23
123,781,21
124,781,434
125,781,20
126,781,18
127,781,18
128,781,25
129,783,23
130,787,21
131,787,439
132,789,23
133,789,22
134,795,22
135,795,23
136,795,24
137,797,23
138,797,22
139,798,22
140,800,21
141,800,24
142,800,20
143,802,17
144,808,20
145,808,23
146,809,20
147,809,19
148,810,17
149,810,24
150,816,20
151,816,24
152,816,24
153,816,23
154,816,26
155,818,21
156,819,21
157,819,21
158,823,21
159,825,43
160,825,19
161,829,22
162,830,19
163,830,24
164,831,20
165,832,24
166,834,21
167,834,22
168,835,21
169,835,23
170,835,19
171,837,21
172,839,23
173,839,21
174,839,20
175,839,23
176,841,23
177,841,21
178,841,19
179,844,19
180,844,19
181,844,19
182,848,24
183,848,22
184,850,19
185,851,18
186,851,20
187,851,20
188,851,24
189,851,30
190,855,22
191,855,22
192,855,20
193,856,21
194,858,31
195,858,22
196,864,24
197,866,19
198,867,31
199,867,19
