gen,fitness,picos
0,557,1
1,566,0
2,566,0
3,566,0
4,567,0
5,578,0
6,578,0
7,578,0
8,582,0
9,584,0
10,585,0
11,592,0
12,592,0
13,592,0
14,601,0
15,601,0
16,601,0
17,607,0
18,607,0
19,607,0
20,607,0
21,608,0
22,615,0
23,616,0
24,616,0
25,620,0
26,624,0
27,624,0
28,624,0
29,624,0
30,625,0
31,628,0
32,631,0
33,634,0
34,636,0
35,638,0
36,638,0
37,640,0
38,647,0
39,647,0
40,649,0
41,654,0
42,654,0
43,654,0
44,655,0
45,661,0
46,661,0
47,661,0
48,663,0
49,667,0
50,667,0
51,667,0
52,668,0
53,671,0
54,678,0
55,679,0
56,679,0
57,679,0
58,680,0
59,682,0
60,686,0
61,686,0
62,686,0
63,687,0
64,690,0
65,690,0
66,691,0
67,699,0
68,699,0
69,701,0
70,701,0
71,701,0
72,705,0
73,712,0
74,712,0
75,713,0
76,713,0
77,716,0
78,721,0
79,721,0
80,721,0
81,721,0
82,723,0
83,723,0
84,725,0
85,727,0
86,727,0
87,727,0
88,728,0
89,730,0
90,733,0
91,735,0
92,735,0
93,737,0
94,737,0
95,740,0
96,743,0
97,743,0
98,743,0
99,745,0
100,746,0
101,748,0
102,749,0
103,751,0
104,753,0
105,754,0
106,755,0
107,761,0
108,761,0
109,763,0
110,764,0
111,764,0
112,764,0
113,767,0
114,768,0
115,770,0
116,771,0
117,771,0
118,776,0
119,776,0
120,777,0
121,779,0
122,779,0
123,780,0
124,782,0
125,782,0
126,784,0
127,786,0
128,787,0
129,787,0
130,787,0
131,793,0
132,793,0
133,793,0
134,793,0
135,796,0
136,796,0
137,798,0
138,798,0
139,800,0
140,800,0
141,803,0
142,803,0
143,803,0
144,804,0
145,811,0
146,811,0
147,811,0
148,812,0
149,812,0
150,815,0
151,815,0
152,816,0
153,816,0
154,818,0
155,819,0
156,819,0
157,820,0
158,822,0
159,822,0
160,824,0
161,825,0
162,827,0
163,827,0
164,829,0
165,829,0
166,832,0
167,835,0
168,835,0
169,836,0
170,839,0
171,839,0
172,839,0
173,839,0
174,839,0
175,842,0
176,842,0
177,843,0
178,843,0
179,845,0
180,849,0
181,849,0
182,851,0
183,852,0
184,852,0
185,854,0
186,857,0
187,857,0
188,860,0
189,860,0
190,861,0
191,861,0
192,863,0
193,864,0
194,864,0
195,865,0
196,867,0
197,867,0
198,870,0
199,871,0
