suite,variant,kind,threads,run_id,seed,wall_time_s,energy_j,avg_power_w,final_best_global,return_code
main,onemax_elite_seq,seq,,1,20000,0.196559,2.995720,15.240834,2768.000000,0
main,onemax_elite_seq,seq,,2,22500,0.187465,3.022026,16.120466,2751.000000,0
main,onemax_elite_seq,seq,,3,25000,0.187783,3.136833,16.704576,2771.000000,0
main,onemax_elite_seq,seq,,4,27500,0.187750,3.207511,17.083934,2767.000000,0
main,onemax_elite_seq,seq,,5,30000,0.189887,3.117423,16.417281,2762.000000,0
main,onemax_elite_seq,seq,,6,32500,0.188776,3.138236,16.624098,2801.000000,0
main,onemax_elite_seq,seq,,7,35000,0.189003,3.327994,17.608165,2766.000000,0
main,onemax_elite_seq,seq,,8,37500,0.193162,3.435172,17.783871,2796.000000,0
main,onemax_elite_seq,seq,,9,40000,0.187831,3.071037,16.350027,2783.000000,0
main,onemax_elite_seq,seq,,10,42500,0.188881,3.301810,17.480935,2771.000000,0
main,onemax_elite_seq,seq,,11,45000,0.188748,3.386527,17.942029,2755.000000,0
main,onemax_elite_seq,seq,,12,47500,0.187833,3.094048,16.472342,2790.000000,0
main,onemax_elite_seq,seq,,13,50000,0.190173,3.486747,18.334584,2772.000000,0
main,onemax_elite_seq,seq,,14,52500,0.195393,3.624930,18.551966,2765.000000,0
main,onemax_elite_seq,seq,,15,55000,0.191671,3.500968,18.265518,2797.000000,0
main,onemax_elite_paral,omp,4,1,20000,0.196643,5.039355,25.626893,2807.000000,0
main,onemax_elite_paral,omp,4,2,22500,0.135800,3.888174,28.631554,2767.000000,0
main,onemax_elite_paral,omp,4,3,25000,0.130913,3.670706,28.039348,2747.000000,0
main,onemax_elite_paral,omp,4,4,27500,0.141501,4.026234,28.453746,2781.000000,0
main,onemax_elite_paral,omp,4,5,30000,0.186458,4.902271,26.291617,2808.000000,0
main,onemax_elite_paral,omp,4,6,32500,0.135059,3.757376,27.820287,2777.000000,0
main,onemax_elite_paral,omp,4,7,35000,0.129401,3.617300,27.954087,2786.000000,0
main,onemax_elite_paral,omp,4,8,37500,0.129602,3.674979,28.355949,2763.000000,0
main,onemax_elite_paral,omp,4,9,40000,0.131338,3.642386,27.732932,2765.000000,0
main,onemax_elite_paral,omp,4,10,42500,0.133212,3.708121,27.836256,2787.000000,0
main,onemax_elite_paral,omp,4,11,45000,0.176635,4.529225,25.641762,2764.000000,0
main,onemax_elite_paral,omp,4,12,47500,0.187541,4.914599,26.205508,2763.000000,0
main,onemax_elite_paral,omp,4,13,50000,0.134030,3.882375,28.966491,2776.000000,0
main,onemax_elite_paral,omp,4,14,52500,0.182316,4.774340,26.187113,2785.000000,0
main,onemax_elite_paral,omp,4,15,55000,0.157958,4.178517,26.453307,2766.000000,0
main,onemax_elite_dist,mpi,,1,20000,1.895003,26.246698,13.850478,3163.000000,0
main,onemax_elite_dist,mpi,,2,22500,1.157557,20.524300,17.730705,3141.000000,0
main,onemax_elite_dist,mpi,,3,25000,1.315409,22.614871,17.192280,3168.000000,0
main,onemax_elite_dist,mpi,,4,27500,1.205267,24.642699,20.445847,3160.000000,0
main,onemax_elite_dist,mpi,,5,30000,1.184357,19.876048,16.782138,3152.000000,0
main,onemax_elite_dist,mpi,,6,32500,1.260029,21.418159,16.998141,3153.000000,0
main,onemax_elite_dist,mpi,,7,35000,1.250016,23.198366,18.558457,3157.000000,0
main,onemax_elite_dist,mpi,,8,37500,1.213682,24.934384,20.544416,3165.000000,0
main,onemax_elite_dist,mpi,,9,40000,1.185171,20.065684,16.930627,3140.000000,0
main,onemax_elite_dist,mpi,,10,42500,1.187533,22.285221,18.765985,3155.000000,0
main,onemax_elite_dist,mpi,,11,45000,1.280490,20.374216,15.911264,3173.000000,0
main,onemax_elite_dist,mpi,,12,47500,1.246244,24.693418,19.814274,3144.000000,0
main,onemax_elite_dist,mpi,,13,50000,1.230037,22.830874,18.561125,3156.000000,0
