gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,20000,,0.501261,,0.501261,0.36247,0.426716,326.5908,239.9943,281.400416,607.812746,658.094056,6.41021
1,20000,,0.501261,,0.501261,0.392774,0.438065,326.5908,260.1929,287.435307,607.812746,651.15011,6.168732
2,20000,,0.501261,,0.501261,0.397075,0.447299,326.5908,262.5296,292.104353,605.774166,647.343933,6.168732
3,20000,,0.501261,,0.501261,0.404184,0.457896,326.5908,266.5667,298.441898,605.774166,647.343933,6.174245
4,20000,,0.51184,,0.51184,0.423613,0.467726,335.772,275.7266,304.833409,605.766516,636.749421,6.174245
5,20000,,0.516829,,0.516829,0.428058,0.473794,340.0706,278.1296,308.487747,604.756062,636.201493,6.157296
6,20000,,0.516829,,0.516829,0.436205,0.47935,340.0706,281.819,311.898743,604.703184,634.777867,6.153329
7,20000,,0.516829,,0.516829,0.448985,0.485352,340.0706,291.4809,315.799977,603.825029,625.114169,6.153329
8,20000,,0.516829,,0.516829,0.462518,0.489653,340.0706,298.237,318.920371,603.825029,622.714788,6.139653
9,20000,,0.52443,,0.52443,0.462518,0.494313,342.3214,303.6533,321.705123,600.335162,622.714788,6.16184
10,20000,,0.533044,,0.533044,0.462518,0.49924,347.3056,303.6533,324.728894,596.956429,622.714788,6.141288
11,20000,,0.533044,,0.533044,0.472888,0.503364,347.3056,311.1269,327.235556,596.434447,619.634775,6.142951
12,20000,,0.533044,,0.533044,0.484955,0.506407,347.3056,313.5409,329.093318,596.434447,616.617689,6.142951
13,20000,,0.543807,,0.543807,0.485151,0.510203,352.7445,313.5409,331.666757,591.012922,613.779258,6.097954
14,20000,,0.543807,,0.543807,0.491806,0.514927,354.5564,318.8773,334.554209,591.012922,613.779258,6.088186
15,20000,,0.543807,,0.543807,0.496983,0.51823,354.5564,318.8773,336.9673,591.012922,610.190376,6.061606
16,20000,,0.543807,,0.543807,0.498162,0.521475,354.5564,322.4045,338.971227,591.012922,609.792594,6.061606
17,20000,,0.543807,,0.543807,0.50198,0.523945,356.9653,324.556,340.790701,591.012922,607.884687,6.061606
18,20000,,0.546947,,0.546947,0.509019,0.52713,356.9653,329.276,342.925499,591.012922,606.676842,6.061606
19,20000,,0.553564,,0.553564,0.51229,0.529103,365.0498,329.276,343.997718,591.012922,605.621513,6.049618
20,20000,,0.555916,,0.555916,0.512791,0.532182,365.0498,329.3053,346.386988,588.704337,604.961799,6.048239
