gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,30000,12,0.499201,,0.499201,0.363218,0.432059,325.4323,246.5836,284.127185,599.965424,662.539951,6.319216
1,30000,12,0.499201,,0.499201,0.388932,0.447519,325.4323,260.6883,292.48211,599.965424,652.129702,6.214697
2,30000,12,0.510525,,0.510525,0.407585,0.456626,331.9832,271.8162,297.208303,599.861397,645.617974,6.214697
3,30000,12,0.510525,,0.510525,0.414613,0.465792,331.9832,273.5851,301.781425,599.861397,641.104623,6.214697
4,30000,12,0.510525,,0.510525,0.422857,0.474811,331.9832,274.5122,306.621343,599.861397,637.125468,6.045697
5,30000,12,0.510525,,0.510525,0.436436,0.481195,331.9832,284.7374,310.263418,594.254486,632.209304,6.045697
6,30000,12,0.513011,,0.513011,0.454914,0.486899,331.9832,289.9493,313.356061,591.706427,628.224962,6.045697
7,30000,12,0.513011,,0.513011,0.458753,0.490705,334.2068,289.9493,315.636667,591.706427,624.613003,6.045697
8,30000,12,0.515478,,0.515478,0.459754,0.494805,334.2068,289.9493,318.413889,591.706427,620.434762,6.045697
9,30000,12,0.520407,,0.520407,0.471791,0.498302,334.8325,298.7491,320.339329,589.269583,620.434762,6.11043
10,30000,12,0.520407,,0.520407,0.472194,0.501158,338.438,301.4786,321.962151,589.269583,620.434762,6.029154
11,30000,12,0.520407,,0.520407,0.477635,0.504254,338.438,305.0251,323.524554,589.269583,618.355308,6.027106
12,30000,12,0.523203,,0.523203,0.480247,0.507555,338.438,306.2914,325.266923,589.167994,615.37089,6.046207
13,30000,12,0.524747,,0.524747,0.485733,0.510477,340.4049,311.8595,327.19862,589.167994,612.979872,6.046207
14,30000,12,0.532717,,0.532717,0.490041,0.514353,349.2474,313.4661,329.372111,587.912474,612.979872,6.026216
15,30000,12,0.546617,,0.546617,0.491153,0.517086,348.6037,315.4151,330.480446,585.108517,611.124159,6.014875
16,30000,12,0.546617,,0.546617,0.494012,0.520467,351.0399,315.4151,332.472889,585.108517,608.331971,5.960422
17,30000,12,0.551555,,0.551555,0.504462,0.523066,358.2384,315.4151,333.916987,585.108517,605.763313,5.985218
18,30000,12,0.551555,,0.551555,0.504462,0.526447,358.2384,315.4151,335.784743,585.108517,605.539536,5.948719
19,30000,12,0.551555,,0.551555,0.508983,0.529666,358.2384,319.4383,338.051341,583.413955,605.539536,5.965575
20,30000,12,0.551555,,0.551555,0.511179,0.533617,359.9322,322.0342,340.559092,583.413955,605.539536,5.936751
21,30000,12,0.555161,,0.555161,0.511179,0.537514,363.7823,325.6323,343.689477,583.413955,600.154037,5.936751
22,30000,12,0.557513,,0.557513,0.512154,0.540514,364.5802,326.9039,346.178786,583.413955,599.579141,5.936751
23,30000,12,0.557513,,0.557513,0.521907,0.543081,364.7488,326.0355,347.901628,583.413955,598.993803,5.902354
24,30000,12,0.562091,,0.562091,0.527396,0.545346,365.9052,327.9197,349.793979,582.932348,594.775438,5.902354
25,30000,12,0.562091,,0.562091,0.531835,0.547868,365.9052,329.5788,352.003586,582.241645,593.571575,5.902354
26,30000,12,0.562091,,0.562091,0.532822,0.549887,365.9052,329.5788,353.878197,582.186856,592.681519,5.902354
27,30000,12,0.565737,,0.565737,0.537402,0.552248,371.3548,330.9708,355.831947,579.606758,592.681519,5.889626
28,30000,12,0.565737,,0.565737,0.538007,0.554465,371.3548,333.5685,357.666487,579.606758,592.681519,5.879084
29,30000,12,0.56625,,0.56625,0.542622,0.556553,371.6915,341.8611,358.93055,580.584483,592.681519,5.866356
30,30000,12,0.566265,,0.566265,0.54366,0.557817,371.6915,342.3146,359.67094,579.677688,592.681519,5.866356
31,30000,12,0.571351,,0.571351,0.548531,0.55969,371.6915,345.0475,361.191666,579.743485,592.681519,5.801999
32,30000,12,0.573768,,0.573768,0.549413,0.561456,374.4585,345.6895,362.686035,578.272478,590.3301,5.801999
33,30000,12,0.573768,,0.573768,0.551794,0.563128,374.4585,348.1354,363.810599,578.272478,590.074866,5.801999
34,30000,12,0.579425,,0.579425,0.55521,0.566,378.2887,348.1354,365.835644,577.194098,588.833379,5.771941
35,30000,12,0.58192,,0.58192,0.555306,0.568214,379.1378,348.1354,367.639055,576.976181,588.390661,5.771941
36,30000,12,0.583267,,0.583267,0.55755,0.569697,379.1378,348.1354,368.584931,575.528353,588.152558,5.771941
37,30000,12,0.583267,,0.583267,0.55755,0.570733,378.7957,350.4171,369.418891,575.178916,587.166734,5.771941
38,30000,12,0.583267,,0.583267,0.560603,0.572069,378.7957,350.4171,370.719409,575.178916,587.166734,5.771941
39,30000,12,0.585948,,0.585948,0.56419,0.573445,384.3962,359.2036,371.559557,575.528353,586.336595,5.771941
40,30000,12,0.58823,,0.58823,0.56502,0.574796,384.3962,359.2036,372.307696,575.528353,586.336595,5.78962
41,30000,12,0.59196,,0.59196,0.567999,0.576864,389.8176,362.0823,373.575371,574.390611,585.695755,5.78962
42,30000,12,0.59196,,0.59196,0.5693,0.578948,389.8176,366.6719,374.882516,574.390611,585.445815,5.78962
43,30000,12,0.59196,,0.59196,0.5693,0.580231,389.8176,366.6719,375.637157,572.327434,585.445815,5.780081
44,30000,12,0.594053,,0.594053,0.5693,0.581645,389.8176,368.4452,376.681932,571.189692,584.989768,5.780081
45,30000,12,0.596841,,0.596841,0.5693,0.582977,389.8176,368.4651,377.524945,571.189692,584.989768,5.770174
46,30000,12,0.599444,,0.599444,0.573224,0.584793,389.8176,369.0062,378.658763,570.96922,583.013887,5.770174
47,30000,12,0.599444,,0.599444,0.575134,0.586772,389.8176,369.1341,380.046307,570.96922,582.721324,5.776685
