gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,67500,8,0.497397,,0.497397,0.360133,0.427321,324.1164,246.6845,283.694934,605.537084,665.495775,636.794381
1,67500,8,0.510417,,0.510417,0.372161,0.444534,331.2683,246.6845,293.729593,603.858474,655.018184,630.092434
2,67500,8,0.515289,,0.515289,0.403079,0.459019,334.0902,268.743,301.977775,601.602689,647.009162,624.321186
3,67500,8,0.515289,,0.515289,0.414803,0.467908,334.0902,276.9464,306.872657,601.602689,647.009162,620.66823
4,67500,8,0.515289,,0.515289,0.414803,0.472815,334.0902,283.2734,309.377969,601.602689,647.009162,618.51949
5,67500,8,0.515289,,0.515289,0.432877,0.481968,335.39,287.1555,314.211872,601.602689,635.411822,614.619095
6,67500,8,0.527989,,0.527989,0.444892,0.488676,345.8727,292.3576,318.344293,598.431904,631.594263,612.156222
7,67500,8,0.527989,,0.527989,0.446605,0.494439,345.8727,298.3814,321.50302,598.431904,631.594263,609.777872
8,67500,8,0.532714,,0.532714,0.458399,0.499829,349.3279,300.4661,324.623037,596.377938,624.735752,607.664538
9,67500,8,0.532714,,0.532714,0.467056,0.503937,349.3279,302.7981,327.158195,596.377938,619.489441,606.158729
10,67500,8,0.542628,,0.542628,0.481516,0.509019,350.9653,310.5304,330.794076,591.933185,616.922921,604.631167
11,67500,8,0.542628,,0.542628,0.483149,0.513291,350.9653,314.8232,333.857291,591.933185,616.922921,603.352165
12,67500,8,0.542628,,0.542628,0.49087,0.517742,350.9653,315.0184,336.504915,591.933185,612.862508,601.653968
13,67500,8,0.544354,,0.544354,0.490922,0.520204,354.308,317.1271,337.957068,591.451966,612.682687,600.706729
14,67500,8,0.555439,,0.555439,0.494727,0.524333,359.7631,318.9352,340.834101,587.836104,609.376787,599.414531
15,67500,8,0.555439,,0.555439,0.494727,0.527503,359.7631,318.9352,342.836105,587.836104,609.376787,598.283163
16,67500,8,0.555439,,0.555439,0.499408,0.532029,359.7631,324.8684,345.865705,587.72834,608.992945,596.78309
17,67500,8,0.555439,,0.555439,0.503413,0.535615,359.7631,327.4617,347.950176,587.836104,606.770696,595.382925
18,67500,8,0.557458,,0.557458,0.509708,0.538841,364.804,332.3445,350.105439,586.051749,605.133035,594.310858
19,67500,8,0.562546,,0.562546,0.523428,0.541774,364.804,333.4223,351.755501,584.972436,599.835224,593.128343
20,67500,8,0.562546,,0.562546,0.525511,0.544778,368.8328,335.9835,353.714284,584.972436,598.399097,592.098493
21,67500,8,0.565179,,0.565179,0.526314,0.547192,371.7028,335.9835,355.260537,584.972436,597.938181,591.251722
22,67500,8,0.565179,,0.565179,0.530999,0.550033,371.7028,344.27,357.090366,583.954274,597.938181,590.261978
23,67500,8,0.577796,,0.577796,0.533706,0.554016,377.8548,344.27,359.421,581.761066,595.493834,588.716337
24,67500,8,0.577796,,0.577796,0.533706,0.556353,377.8548,344.27,360.816549,580.95844,594.405938,587.829281
25,67500,8,0.577796,,0.577796,0.540328,0.559212,377.8548,346.8006,362.304001,580.95844,592.792403,586.59573
26,67500,8,0.577796,,0.577796,0.541982,0.561657,377.8548,347.4677,363.72692,580.723937,592.792403,585.641838
27,67500,8,0.577903,,0.577903,0.543226,0.56465,377.8548,349.257,365.706184,576.179022,591.704841,584.633975
28,67500,8,0.579037,,0.579037,0.543993,0.56726,379.0119,352.2141,367.35814,576.179022,591.704841,583.704741
29,67500,8,0.584694,,0.584694,0.554528,0.570206,378.3378,353.1631,369.090135,575.290055,589.528376,582.568041
30,67500,8,0.594085,,0.594085,0.557087,0.572742,386.6514,353.1631,370.568711,574.233886,585.062943,581.580418
31,67500,8,0.594085,,0.594085,0.557087,0.574506,386.6514,353.1631,371.554115,573.155531,584.911403,580.865035
32,67500,8,0.596479,,0.596479,0.562073,0.577077,386.6514,359.0481,372.999483,570.405685,584.911403,579.828166
33,67500,8,0.604352,,0.604352,0.564228,0.579761,391.4493,363.1925,374.700242,570.405685,584.407612,578.874111
34,67500,8,0.607024,,0.607024,0.566589,0.582058,392.3523,363.1925,376.095109,569.437779,583.220973,578.016952
35,67500,8,0.607024,,0.607024,0.570684,0.5844,392.3523,366.9612,377.47493,569.437779,583.081318,577.114853
36,67500,8,0.607024,,0.607024,0.57174,0.586566,392.3523,366.9612,378.600668,569.437779,581.772337,576.179883
37,67500,8,0.607024,,0.607024,0.575362,0.589107,392.3523,366.9612,380.31924,569.262988,581.463938,575.349838
38,67500,8,0.607024,,0.607024,0.575362,0.590864,392.3523,366.9612,381.337821,568.246285,581.463938,574.661652
39,67500,8,0.608985,,0.608985,0.575614,0.592843,392.8853,366.9612,382.78101,568.246285,581.014772,574.085137
40,67500,8,0.608985,,0.608985,0.579163,0.594445,392.8853,370.5545,383.824805,567.051983,579.787154,573.535341
41,67500,8,0.608985,,0.608985,0.58383,0.596469,392.8853,373.8287,385.120049,567.051983,579.371233,572.824351
42,67500,8,0.610756,,0.610756,0.585003,0.598335,395.5596,376.8186,386.490692,566.219664,580.873311,572.287284
43,67500,8,0.610756,,0.610756,0.587625,0.6001,395.5596,378.5962,387.762217,566.12063,580.64451,571.76272
