gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,30000,,0.507862,,0.507862,0.370548,0.434718,330.61,247.225,285.444358,599.965424,658.531594,632.196792
1,30000,,0.507862,,0.507862,0.38199,0.448063,331.3675,256.9691,292.612959,599.965424,655.168882,626.591786
2,30000,,0.507862,,0.507862,0.398595,0.459436,331.3675,267.4639,298.558995,599.965424,648.324043,621.705605
3,30000,,0.509145,,0.509145,0.408595,0.466397,334.8325,272.2181,302.483292,599.965424,643.710233,618.905428
4,30000,,0.509145,,0.509145,0.429485,0.473436,334.8325,277.0447,306.904531,599.965424,635.655476,616.377215
5,30000,,0.51846,,0.51846,0.436774,0.480612,335.5616,277.0447,310.673747,596.542784,635.552214,613.30591
6,30000,,0.519604,,0.519604,0.441849,0.484793,335.6116,277.0447,313.627406,595.408018,633.938093,612.024526
7,30000,,0.532355,,0.532355,0.441849,0.490305,343.7412,286.8729,317.328072,593.763139,633.938093,610.204866
8,30000,,0.533128,,0.533128,0.446791,0.495973,343.8147,288.5618,320.910741,593.763139,631.495591,608.184062
9,30000,,0.533128,,0.533128,0.447204,0.500661,343.8147,288.4095,323.208824,592.11693,631.495591,606.067721
10,30000,,0.541211,,0.541211,0.44951,0.504266,349.8938,288.4095,324.941807,592.000501,625.352819,604.416772
11,30000,,0.552513,,0.552513,0.465284,0.509016,354.8312,292.8566,327.834606,586.813595,623.504205,602.650651
12,30000,,0.552513,,0.552513,0.461602,0.51354,354.8312,292.8566,330.480105,585.12377,623.504205,600.894853
13,30000,,0.552779,,0.552779,0.461602,0.518664,354.8312,296.9606,334.124049,585.12377,623.504205,599.339802
14,30000,,0.552779,,0.552779,0.466647,0.522608,356.0138,296.2715,335.866361,585.12377,617.585413,597.43083
15,30000,,0.559274,,0.559274,0.466647,0.526772,359.7487,296.2715,338.728512,584.835096,616.480151,596.10096
16,30000,,0.562996,,0.562996,0.48704,0.53194,361.7302,311.7235,342.138709,582.945289,610.224164,594.354797
17,30000,,0.567628,,0.567628,0.48704,0.535393,361.7302,311.7235,344.214749,577.820118,609.928842,593.053019
18,30000,,0.567844,,0.567844,0.48704,0.53864,361.7302,311.7235,346.086316,577.420998,608.995756,591.773971
19,30000,,0.571173,,0.571173,0.496289,0.542306,366.647,315.8399,348.544299,576.544963,614.589266,590.561863
20,30000,,0.571173,,0.571173,0.510225,0.545905,366.8251,315.8399,350.796609,576.544963,607.738277,589.263692
21,30000,,0.572673,,0.572673,0.510225,0.550664,373.3543,315.8399,353.233031,576.544963,603.233982,587.18457
22,30000,,0.593384,,0.593384,0.5151,0.554582,384.5395,325.9829,355.754074,574.841229,604.45041,585.818282
23,30000,,0.593384,,0.593384,0.52055,0.557536,384.5395,334.3842,357.864834,574.841229,604.45041,584.927997
24,30000,,0.593384,,0.593384,0.528463,0.561538,384.5395,336.1177,360.253173,574.841229,596.725863,583.407296
25,30000,,0.593384,,0.593384,0.539007,0.563717,384.5395,339.6908,361.890471,574.722241,596.725863,582.804325
26,30000,,0.598286,,0.598286,0.544011,0.566479,388.3472,349.5063,363.801509,573.569365,596.725863,581.930732
27,30000,,0.598286,,0.598286,0.548598,0.569522,388.3472,351.1806,365.582864,573.569365,595.724297,580.750959
28,30000,,0.598286,,0.598286,0.553014,0.57345,388.3472,357.7449,368.184837,573.569365,590.260347,579.430481
29,30000,,0.598286,,0.598286,0.558344,0.576731,388.3472,358.0426,370.012871,573.244004,587.906231,578.096427
30,30000,,0.599583,,0.599583,0.562078,0.57929,389.4421,359.1873,371.816987,572.777438,586.069665,577.309823
31,30000,,0.599583,,0.599583,0.563591,0.582398,389.5604,359.1873,373.882983,570.970932,585.0719,576.269582
32,30000,,0.599583,,0.599583,0.563591,0.584768,389.5604,359.1122,375.731096,570.970932,582.627361,575.659572
33,30000,,0.60232,,0.60232,0.574706,0.586867,389.5604,362.668,377.279302,570.493758,580.432446,575.060125
34,30000,,0.604021,,0.604021,0.575884,0.588743,389.5604,362.668,378.55869,569.503717,580.432446,574.45344
35,30000,,0.604021,,0.604021,0.577239,0.590115,390.9528,366.8165,379.701079,569.503717,580.432446,574.149305
36,30000,,0.606223,,0.606223,0.577239,0.591537,393.3681,366.4722,380.745723,569.080488,580.432446,573.740309
37,30000,,0.606223,,0.606223,0.577455,0.593056,393.3681,366.4722,382.287772,569.080488,580.432446,573.588909
38,30000,,0.607768,,0.607768,0.577455,0.594768,393.3681,366.4722,383.823669,568.302476,578.666293,573.282041
39,30000,,0.607768,,0.607768,0.582814,0.596205,395.9365,369.6131,384.853898,568.302476,578.666293,572.851878
40,30000,,0.611337,,0.611337,0.587497,0.59774,395.9365,373.4229,385.810674,567.829617,577.006312,572.295688
41,30000,,0.613105,,0.613105,0.588367,0.59941,398.4307,373.4229,387.017052,567.595394,575.884613,571.80187
42,30000,,0.614413,,0.614413,0.589885,0.601245,399.4884,375.4308,388.42822,567.363949,575.500685,571.315766
43,30000,,0.614522,,0.614522,0.590221,0.602827,399.4884,376.9442,389.595458,567.282883,575.098291,570.8643
44,30000,,0.614806,,0.614806,0.592333,0.604621,399.4884,377.4624,391.176497,566.0514,575.098291,570.523929
45,30000,,0.614806,,0.614806,0.593181,0.606503,399.4884,378.3999,392.500378,566.595929,575.098291,569.943311
46,30000,,0.615184,,0.615184,0.594361,0.607969,399.4884,378.3999,393.508285,566.595929,573.698677,569.475638
47,30000,,0.62146,,0.62146,0.594361,0.609165,400.677,378.3999,394.318415,563.35492,573.070884,569.085129
48,30000,,0.623817,,0.623817,0.596533,0.610648,404.4744,381.0715,395.26488,561.480176,573.070884,568.56315
49,30000,,0.623817,,0.623817,0.598206,0.611902,404.4744,381.0715,396.310653,561.480176,572.738182,568.285771
50,30000,,0.623817,,0.623817,0.604082,0.613286,404.4744,389.6682,397.433424,561.480176,572.609372,567.957988
51,30000,,0.625506,,0.625506,0.604165,0.614663,404.4744,392.7179,398.389093,561.480176,572.351046,567.524908
52,30000,,0.625506,,0.625506,0.607765,0.616007,405.5321,392.7179,398.930624,560.729973,571.861885,566.839515
53,30000,,0.626686,,0.626686,0.607765,0.617382,409.477,395.3224,399.609404,560.729973,571.861885,566.221493
54,30000,,0.629021,,0.629021,0.607765,0.618468,409.477,395.3224,400.143496,559.679609,571.861885,565.732665
55,30000,,0.63202,,0.63202,0.607765,0.61968,409.477,395.3224,400.92397,558.179781,571.861885,565.310141
56,30000,,0.633555,,0.633555,0.611647,0.621625,409.477,398.0528,402.008168,558.179781,570.223681,564.519525
57,30000,,0.633555,,0.633555,0.612262,0.622639,409.0715,398.0528,402.410781,558.179781,570.223681,563.997986
58,30000,,0.633832,,0.633832,0.612262,0.623666,411.2708,398.2933,402.811965,558.179781,570.223681,563.466389
59,30000,,0.637008,,0.637008,0.615399,0.625222,412.3016,398.2933,403.593643,557.999838,568.736611,562.776334
60,30000,,0.639045,,0.639045,0.617335,0.626615,413.7736,398.3745,404.192882,557.999838,566.692933,562.090876
61,30000,,0.640755,,0.640755,0.617397,0.628089,414.87,399.6526,404.986153,557.999838,566.692933,561.473116
62,30000,,0.641945,,0.641945,0.617397,0.629519,414.87,400.3304,405.845373,555.498252,566.692933,560.933545
63,30000,,0.641945,,0.641945,0.619328,0.630711,414.87,400.5631,406.472587,555.498252,565.959589,560.424099
64,30000,,0.643761,,0.643761,0.619328,0.632343,416.554,400.5631,407.47766,555.498252,565.959589,559.824813
65,30000,,0.643761,,0.643761,0.619328,0.633635,416.554,400.5631,408.42871,555.498252,565.857805,559.454153
66,30000,,0.643761,,0.643761,0.619328,0.634823,416.554,401.0437,409.244443,555.498252,565.857805,559.074122
67,30000,,0.643761,,0.643761,0.627008,0.636055,417.9969,402.3502,410.019676,553.955085,562.079345,558.632937
68,30000,,0.64641,,0.64641,0.627008,0.637218,417.9969,402.3502,410.823824,553.955085,562.022287,558.264222
69,30000,,0.64641,,0.64641,0.627841,0.638183,417.9969,402.3502,411.491735,553.955085,561.216359,557.959226
70,30000,,0.649391,,0.649391,0.627841,0.639014,420.4537,404.3142,412.145849,554.601893,561.216359,557.749046
71,30000,,0.649391,,0.649391,0.62901,0.639986,420.4537,404.7457,412.837775,554.601893,560.739978,557.455016
72,30000,,0.649391,,0.649391,0.635185,0.640913,420.4537,408.4873,413.579164,553.670735,560.739978,557.228385
73,30000,,0.649391,,0.649391,0.635185,0.641667,420.4537,408.0774,414.08465,553.670735,560.739978,556.979093
74,30000,,0.649391,,0.649391,0.635522,0.642558,420.4537,408.0774,414.622299,553.670735,560.739978,556.644117
75,30000,,0.649391,,0.649391,0.635522,0.643258,420.4537,409.0804,415.023474,553.550267,560.739978,556.367228
76,30000,,0.649391,,0.649391,0.636451,0.644157,420.4537,409.8854,415.547139,552.533828,560.739978,556.016914
77,30000,,0.649391,,0.649391,0.636702,0.644931,420.4537,410.0276,416.174576,552.533828,560.067075,555.833605
78,30000,,0.650394,,0.650394,0.637634,0.645513,420.7214,410.0276,416.512902,552.509139,559.240131,555.606213
79,30000,,0.652066,,0.652066,0.638073,0.646213,421.9198,410.0276,416.905373,552.509139,559.240131,555.323277
80,30000,,0.653599,,0.653599,0.639002,0.647046,423.869,410.5705,417.346296,552.264523,559.240131,554.969051
81,30000,,0.653599,,0.653599,0.639002,0.647778,423.869,410.5705,417.795578,551.839799,557.505058,554.699102
82,30000,,0.656986,,0.656986,0.641193,0.648839,425.1136,413.0378,418.487823,551.839799,557.274187,554.335434
83,30000,,0.656986,,0.656986,0.641252,0.649676,425.1136,413.0378,419.013925,551.384476,557.141895,554.035299
84,30000,,0.657619,,0.657619,0.643996,0.650535,425.913,414.4568,419.618306,551.384476,557.141895,553.76993
85,30000,,0.661094,,0.661094,0.64516,0.65138,427.984,414.4568,420.168283,549.938262,556.754105,553.479689
86,30000,,0.661094,,0.661094,0.645172,0.652274,427.984,415.0416,420.711931,549.938262,556.754105,553.146895
87,30000,,0.661094,,0.661094,0.646382,0.653215,427.984,415.0416,421.40549,549.938262,555.695186,552.877421
88,30000,,0.661094,,0.661094,0.648384,0.654038,427.984,416.5853,422.110596,549.938262,554.720312,552.707609
89,30000,,0.661094,,0.661094,0.649793,0.654644,427.984,417.5104,422.472506,551.096352,554.720312,552.477811
90,30000,,0.665591,,0.665591,0.649793,0.655681,430.7732,418.0181,423.146532,549.284718,554.350311,552.120494
91,30000,,0.667901,,0.667901,0.651207,0.656575,430.7732,418.0181,423.70555,547.646514,554.185537,551.798202
92,30000,,0.667901,,0.667901,0.652466,0.657346,430.7732,418.0181,424.096362,547.646514,553.910627,551.45842
93,30000,,0.668289,,0.668289,0.652588,0.658167,430.9156,418.0181,424.56471,547.492611,552.939587,551.131681
94,30000,,0.668289,,0.668289,0.653164,0.658985,430.9156,420.4692,425.05551,547.492611,552.939587,550.822629
95,30000,,0.669218,,0.669218,0.654701,0.659823,431.8394,420.736,425.455504,547.386517,552.939587,550.436949
96,30000,,0.669218,,0.669218,0.655058,0.660835,431.8394,420.736,425.987351,546.940318,552.783521,550.003985
97,30000,,0.669218,,0.669218,0.655058,0.661501,431.8394,420.736,426.282398,546.940318,553.039729,549.682694
98,30000,,0.669823,,0.669823,0.65677,0.662576,432.031,421.2699,426.809542,546.783298,553.262076,549.197465
99,30000,,0.673907,,0.673907,0.657421,0.663519,435.5185,422.4176,427.29794,546.194732,551.963858,548.788923
100,30000,,0.673907,,0.673907,0.657441,0.664439,435.5185,422.4176,427.789006,546.194732,550.978359,548.400616
101,30000,,0.673907,,0.673907,0.657668,0.665678,435.5185,422.4176,428.518329,545.531491,550.822259,547.922517
102,30000,,0.673907,,0.673907,0.658217,0.666474,435.6962,423.3764,429.044811,545.16852,550.409933,547.654693
103,30000,,0.673907,,0.673907,0.658217,0.667477,435.6962,423.3764,429.619609,545.16852,550.409933,547.257218
104,30000,,0.674287,,0.674287,0.661772,0.66847,435.5185,423.3764,430.205578,543.248063,549.452956,546.875292
105,30000,,0.675206,,0.675206,0.661772,0.669326,436.6323,424.8974,430.662508,543.248063,548.682197,546.513809
106,30000,,0.677436,,0.677436,0.661772,0.670185,436.6323,424.8974,431.204567,543.069662,548.682197,546.207209
107,30000,,0.678796,,0.678796,0.662996,0.671162,436.6323,423.8271,431.743349,542.327708,548.01929,545.806028
108,30000,,0.678796,,0.678796,0.662996,0.672101,436.8726,423.8271,432.296377,542.327708,548.01929,545.444622
109,30000,,0.682757,,0.682757,0.662996,0.672732,437.3665,423.8271,432.593905,540.52988,548.01929,545.151844
110,30000,,0.682757,,0.682757,0.663486,0.673457,437.6378,423.8271,432.987986,540.52988,546.508239,544.849785
111,30000,,0.682757,,0.682757,0.665284,0.674165,437.6378,425.4613,433.484034,540.52988,546.508239,544.63042
112,30000,,0.682757,,0.682757,0.665284,0.675275,437.6378,425.4613,434.029452,540.52988,546.194732,544.130011
113,30000,,0.682817,,0.682817,0.670387,0.675886,438.6019,429.8694,434.288352,539.856976,546.194732,543.827223
114,30000,,0.683086,,0.683086,0.670752,0.676598,438.6019,429.9461,434.495208,539.856976,545.928289,543.409966
115,30000,,0.68328,,0.68328,0.670752,0.677117,438.6019,429.9461,434.734941,539.492961,545.928289,543.165591
116,30000,,0.68328,,0.68328,0.674299,0.677647,438.6019,431.261,434.819821,539.492961,545.909635,542.809509
117,30000,,0.684558,,0.684558,0.674348,0.678371,438.6019,431.261,435.257186,539.143277,544.996535,542.538194
118,30000,,0.684558,,0.684558,0.674348,0.679103,438.6019,431.261,435.59576,539.143277,544.996535,542.19411
119,30000,,0.684558,,0.684558,0.674348,0.679875,438.6019,431.261,435.949845,539.143277,544.996535,541.828925
