gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,55000,,0.524765,29,0.524765,0.370226,0.43471,337.0517,248.7266,286.425894,596.372437,659.841691,632.860892
1,55000,,0.524765,31,0.52442,0.373984,0.437207,337.0517,249.7282,287.65991,596.811573,656.332518,631.74062
2,55000,,0.524765,50,0.52442,0.368043,0.446686,337.0517,247.3883,293.213517,596.811573,658.70186,628.067862
3,55000,,0.524765,18,0.52442,0.386723,0.456493,337.9958,256.5974,298.993448,596.811573,655.172777,624.291765
4,55000,,0.524765,35,0.52442,0.386723,0.467416,337.9958,256.5974,304.980221,596.811573,650.303091,619.783372
5,55000,,0.526098,26,0.526098,0.411967,0.474649,340.7066,275.7697,309.514852,596.811573,645.934313,617.180439
6,55000,,0.526098,19,0.526098,0.411967,0.481651,340.7066,276.8725,313.704566,596.811573,645.934313,614.526441
7,55000,,0.54014,25,0.54014,0.425241,0.488408,350.0608,284.2195,317.917456,593.267926,640.778802,612.079616
8,55000,,0.543917,13,0.543917,0.436955,0.495406,351.3827,286.5399,321.90709,591.207244,631.186057,609.294411
9,55000,,0.543917,48,0.533401,0.432752,0.497733,346.1958,286.9151,323.482044,592.610021,634.716248,608.534918
10,55000,,0.543917,20,0.541631,0.415079,0.504069,352.6387,279.1543,327.50444,591.675703,643.300765,606.288205
11,55000,,0.543917,33,0.541631,0.468485,0.510965,352.6387,304.128,331.980043,591.675703,618.618315,603.907989
12,55000,,0.543917,14,0.543033,0.47851,0.515734,352.6387,309.4937,335.171403,591.056526,618.618315,602.327234
13,55000,,0.548339,13,0.548339,0.493588,0.5205,352.8839,320.2148,338.295929,588.764484,612.477936,600.703373
14,55000,,0.549385,41,0.549385,0.494556,0.523257,356.3115,315.7553,339.733728,588.666628,611.05783,599.516405
15,55000,,0.549385,21,0.549385,0.504981,0.527044,356.3115,326.0781,342.151405,587.572576,609.109228,598.182614
16,55000,,0.559155,20,0.559155,0.49364,0.529885,362.3315,315.1675,343.961019,586.65861,610.292463,597.178954
17,55000,,0.559155,38,0.559155,0.452294,0.531196,362.3315,301.0222,345.064369,583.849359,628.926536,596.896046
18,55000,,0.559155,13,0.559155,0.499993,0.536025,362.3315,328.305,347.883499,583.849359,610.003426,595.01798
19,55000,,0.576066,13,0.576066,0.499993,0.540805,373.8994,323.7086,350.788756,581.21943,610.003426,593.236819
20,55000,,0.576066,38,0.576066,0.500794,0.542457,373.8994,323.7086,351.823971,581.21943,607.431273,592.642067
21,55000,,0.576606,31,0.576606,0.456793,0.543935,374.3941,306.7583,352.480495,581.129683,629.261431,591.929183
22,55000,,0.576606,14,0.576606,0.519225,0.547602,374.3941,335.6347,354.516806,581.129683,603.167522,590.433166
23,55000,,0.577654,33,0.577654,0.529533,0.549969,375.1787,344.6668,355.762384,580.838047,600.605005,589.421453
24,55000,,0.577654,13,0.577654,0.532673,0.552959,375.1787,341.9668,357.497535,577.814011,596.759036,588.252389
25,55000,,0.577654,43,0.576606,0.486592,0.55395,374.3941,322.7015,358.069434,577.814011,616.701451,587.862787
26,55000,,0.577654,22,0.576606,0.538507,0.558115,374.3941,347.5578,360.948569,577.814011,596.03498,586.542716
27,55000,,0.577654,14,0.576606,0.513125,0.559955,374.3941,335.6472,362.335648,577.814011,604.680364,586.036963
28,55000,,0.579094,15,0.579094,0.541684,0.562412,375.2038,347.9893,364.198619,577.814011,592.61129,585.369465
29,55000,,0.584292,36,0.584292,0.542866,0.564379,378.4873,349.8419,365.54642,577.396208,592.61129,584.738003
30,55000,,0.584292,50,0.584292,0.452962,0.563414,378.4873,298.7334,365.252234,577.814011,626.871509,585.293856
31,55000,,0.597235,15,0.597235,0.535908,0.567861,386.1736,345.8466,367.735866,572.932786,593.745007,583.489344
32,55000,,0.597235,34,0.597235,0.550081,0.571432,386.1736,353.8871,369.968118,572.932786,592.058277,582.199524
33,55000,,0.598584,28,0.598584,0.445728,0.572782,387.8337,300.5856,370.874025,572.932786,633.755114,581.754032
34,55000,,0.604628,22,0.604628,0.445728,0.576024,391.2716,300.5856,373.185568,570.582568,633.755114,580.774225
35,55000,,0.608565,32,0.608565,0.47028,0.578245,393.1423,315.7409,374.668605,568.765354,624.760345,580.035725
36,55000,,0.608565,14,0.608565,0.489478,0.581933,393.1423,328.2044,377.31231,568.765354,618.137937,578.930517
37,55000,,0.609535,40,0.609535,0.415683,0.582235,393.3538,284.5467,377.786082,568.150196,646.442638,579.012475
38,55000,,0.609936,13,0.609936,0.574722,0.588094,393.7796,371.1218,381.401976,568.122618,583.568418,576.864982
39,55000,,0.610226,40,0.610226,0.575572,0.590428,394.6095,371.3925,382.717794,568.150196,583.568418,575.926263
40,55000,,0.61396,23,0.61396,0.571211,0.593415,397.0952,372.7719,384.505352,567.205907,584.251363,574.794195
41,55000,,0.61396,20,0.61396,0.571211,0.595313,397.2007,372.7719,385.85114,567.205907,584.251363,574.215908
42,55000,,0.61396,31,0.61396,0.580245,0.597783,397.0952,376.1692,387.174478,567.205907,579.983513,573.175736
43,55000,,0.616998,28,0.616998,0.584675,0.599989,398.3937,377.8486,388.516532,565.706278,578.847673,572.354551
44,55000,,0.616998,16,0.616998,0.582,0.602374,398.4034,376.683,389.979909,564.919555,578.456325,571.475111
45,55000,,0.616998,29,0.616998,0.586347,0.604332,398.7723,377.9704,391.18718,564.919555,575.928609,570.756512
46,55000,,0.617824,31,0.617824,0.587772,0.604906,400.0459,378.6518,391.790492,564.919555,579.53463,570.713269
47,55000,,0.621439,20,0.621439,0.589199,0.606948,403.0214,380.2595,392.928195,564.919555,578.634567,569.883189
48,55000,,0.623163,38,0.623163,0.590334,0.607837,404.3644,379.7526,393.464785,564.673236,575.428097,569.549437
49,55000,,0.623163,12,0.623163,0.596974,0.610441,404.3644,387.6004,395.128913,564.33548,575.428097,568.633309
50,55000,,0.625833,31,0.625833,0.416435,0.608344,405.6567,286.8795,394.028912,563.681794,647.419287,569.531393
51,55000,,0.625833,37,0.625833,0.419712,0.60902,405.6567,287.274,394.290817,563.681794,645.127844,569.180119
52,55000,,0.625833,27,0.625833,0.601682,0.613486,405.9504,387.729,396.623264,563.681794,572.177587,567.259415
53,55000,,0.625833,26,0.625833,0.595939,0.615141,405.9504,385.7311,397.722178,563.681794,573.64723,566.705214
54,55000,,0.625833,14,0.625833,0.605369,0.617193,405.9504,390.495,399.183773,563.681794,571.292808,566.083888
55,55000,,0.625833,19,0.625833,0.6054,0.618781,405.9504,390.495,400.221893,563.498171,569.460046,565.540423
56,55000,,0.629232,50,0.629232,0.463953,0.617667,406.8116,316.6009,399.700208,560.64971,630.272234,566.060141
57,55000,,0.629232,24,0.629232,0.597917,0.620326,406.658,388.3381,401.260604,560.64971,573.850927,565.032057
58,55000,,0.632573,29,0.632573,0.607476,0.621529,408.7573,390.9803,402.018084,560.502374,568.725109,564.601215
59,55000,,0.632573,25,0.632573,0.611084,0.622592,408.7573,392.333,402.881817,560.502374,567.525904,564.350423
60,55000,,0.632573,47,0.632573,0.48941,0.621807,408.7573,327.5694,402.556651,559.79898,617.76546,564.745304
61,55000,,0.632573,13,0.632573,0.612016,0.624898,409.0431,392.7586,404.511184,559.79898,567.468318,563.643829
62,55000,,0.632573,16,0.632573,0.611483,0.62557,409.0431,393.4853,404.893533,559.79898,566.719121,563.375425
63,55000,,0.638597,14,0.638597,0.613011,0.62656,411.4407,393.3976,405.432385,557.602312,567.589451,562.964453
64,55000,,0.638597,42,0.638597,0.612644,0.627017,411.4407,395.4673,405.688063,556.660133,569.183999,562.779214
65,55000,,0.640766,50,0.640766,0.602562,0.627776,411.4407,393.4457,406.102038,555.381454,573.650509,562.465205
66,55000,,0.640766,33,0.640766,0.607777,0.62838,411.4407,397.0786,406.458452,555.381454,572.01778,562.232765
67,55000,,0.641274,16,0.641274,0.620074,0.630438,411.4518,401.4402,407.561997,555.107293,567.104404,561.367022
68,55000,,0.641274,23,0.641274,0.613431,0.631291,413.3516,400.1747,407.988246,555.107293,569.682009,560.986978
69,55000,,0.642286,48,0.642286,0.613431,0.63212,413.3516,400.1747,408.41553,554.578862,569.682009,560.626747
70,55000,,0.6469,15,0.6469,0.623184,0.634112,417.5934,404.2767,409.532791,554.578862,564.939481,559.822016
71,55000,,0.6469,21,0.6469,0.614337,0.635258,417.5934,400.9529,410.043734,554.578862,569.496625,559.270573
72,55000,,0.646934,37,0.646934,0.612346,0.636539,417.5934,398.6633,410.600513,554.393477,569.515909,558.644329
73,55000,,0.646934,27,0.645336,0.608781,0.637111,416.9618,396.7142,410.712019,554.393477,570.990173,558.272915
74,55000,,0.647316,31,0.647316,0.616285,0.637531,416.9618,400.929,410.759234,551.935784,567.961449,557.976595
75,55000,,0.647557,21,0.647557,0.626063,0.638475,416.3246,406.2406,411.254271,551.935784,563.894204,557.572297
76,55000,,0.647557,14,0.647557,0.627039,0.639133,416.3246,406.2438,411.597538,551.935784,563.583739,557.288861
77,55000,,0.647959,23,0.647959,0.619292,0.639586,416.3246,403.7967,411.842136,551.935784,567.537965,557.099607
78,55000,,0.647959,50,0.647557,0.479023,0.638618,416.3246,326.5214,411.334587,551.935784,625.165302,557.514776
79,55000,,0.647959,30,0.647557,0.62271,0.641215,416.3246,405.3971,412.728736,551.935784,565.94433,556.423398
80,55000,,0.647959,43,0.647828,0.615251,0.641391,416.3246,400.9547,413.063642,552.66012,568.785278,556.509969
81,55000,,0.648323,23,0.648323,0.479784,0.640932,416.3246,327.736,412.652519,552.66012,625.385041,556.592877
82,55000,,0.648323,33,0.648323,0.614265,0.643036,416.3246,400.8719,413.853404,552.66012,569.498954,555.756587
83,55000,,0.650999,22,0.650999,0.638951,0.644285,418.2406,410.052,414.330592,551.242567,558.394112,555.102027
84,55000,,0.655041,15,0.655041,0.632041,0.645098,418.2406,406.2358,414.529529,548.92248,562.587344,554.600951
85,55000,,0.661983,14,0.661983,0.571501,0.64557,422.6638,376.3433,414.328682,538.051303,586.417704,554.0985
86,55000,,0.661983,17,0.661983,0.571501,0.646851,421.2287,376.3433,414.932843,538.051303,586.417704,553.504199
87,55000,,0.661983,50,0.661983,0.487006,0.646265,421.2287,327.1877,414.402344,538.370436,619.384456,553.605441
88,55000,,0.662148,50,0.662148,0.493135,0.645919,421.2531,329.0648,414.122975,538.370436,615.861659,553.688595
89,55000,,0.668676,13,0.668676,0.623379,0.6496,426.5992,400.6321,415.780027,538.370436,566.185344,551.927709
90,55000,,0.670172,16,0.670172,0.623596,0.651503,426.5992,400.6321,416.697663,538.370436,565.159217,551.057781
91,55000,,0.670172,50,0.670172,0.609655,0.650501,426.5992,398.0668,416.76369,540.528605,571.269901,551.883503
92,55000,,0.670172,24,0.670172,0.62837,0.653473,426.5992,409.2961,418.100875,540.528605,564.142016,550.461487
93,55000,,0.670172,14,0.670172,0.62837,0.65526,426.5992,409.2961,419.003268,540.528605,564.142016,549.67285
94,55000,,0.670172,16,0.670172,0.526599,0.653573,426.5992,353.8714,418.082511,540.528605,606.383031,550.37143
95,55000,,0.670172,50,0.670172,0.585729,0.654496,426.5992,385.5672,418.654841,540.108508,581.501241,550.035338
96,55000,,0.673394,30,0.673394,0.597794,0.656471,428.803,390.7894,419.65181,540.528605,575.589599,549.162293
97,55000,,0.675629,42,0.675629,0.594575,0.656576,429.5375,390.0991,419.688581,540.424035,577.63793,549.105602
98,55000,,0.676423,23,0.676423,0.464404,0.656382,429.5375,317.8047,419.477321,540.167295,630.726687,549.114866
99,55000,,0.676423,14,0.676423,0.579353,0.660491,431.0581,382.5439,421.676962,540.167295,584.448732,547.383934
100,55000,,0.676423,16,0.676423,0.595106,0.662357,430.5117,390.0365,422.448516,539.583228,577.324698,546.445468
101,55000,,0.678029,41,0.678029,0.605885,0.663708,430.5117,392.0224,422.90424,539.316508,570.105105,545.697564
102,55000,,0.6815,50,0.6815,0.619402,0.66505,432.4898,400.6324,423.550359,538.243108,565.331741,545.083247
103,55000,,0.6815,20,0.6815,0.65163,0.667758,432.4898,413.544,424.729264,538.243108,549.3004,543.76142
104,55000,,0.6815,28,0.6815,0.467411,0.665067,432.4898,319.3588,423.399355,538.243108,629.422454,544.96921
105,55000,,0.6815,42,0.6815,0.465837,0.663311,432.4898,317.9818,422.74703,538.243108,629.727814,545.901804
106,55000,,0.683711,15,0.683711,0.626916,0.669087,434.7845,403.513,425.475729,537.506215,563.116413,543.224797
107,55000,,0.683711,45,0.683153,0.607149,0.666829,433.3151,396.3709,424.750964,537.506215,572.033005,544.500509
108,55000,,0.68406,20,0.68406,0.609139,0.669485,434.3809,393.3272,426.141535,537.320831,568.441021,543.360251
109,55000,,0.68406,16,0.68406,0.626693,0.671515,435.1313,402.0259,427.410009,537.320831,562.286258,542.626805
110,55000,,0.68406,44,0.68406,0.618307,0.671343,435.1313,404.1208,427.376125,537.320831,569.702928,542.738548
111,55000,,0.68406,12,0.68406,0.652515,0.674201,434.0933,416.9155,428.581221,537.320831,550.871436,541.316627
112,55000,,0.68406,31,0.68406,0.652515,0.675383,436.502,416.9155,429.020747,537.320831,550.41456,540.68958
113,55000,,0.68406,50,0.683777,0.610921,0.675061,436.502,398.2319,429.164411,537.506215,570.338359,541.036805
114,55000,,0.68406,19,0.683777,0.65931,0.676266,436.502,423.2648,429.888647,537.506215,549.369626,540.582012
115,55000,,0.68406,25,0.68406,0.615497,0.676851,436.502,402.4193,430.449269,537.320831,569.574825,540.501424
116,55000,,0.68406,41,0.68406,0.621826,0.677627,436.502,404.9632,430.859979,537.293509,566.343068,540.171889
117,55000,,0.68406,25,0.68406,0.64051,0.678771,436.502,412.8841,431.686764,537.293509,557.076882,539.833459
118,55000,,0.68693,41,0.68693,0.626187,0.678694,436.726,410.4027,431.82082,536.389638,566.586106,539.982799
119,55000,,0.68739,25,0.68739,0.621695,0.678955,438.6618,407.3307,432.048405,536.389638,568.031571,539.932068
120,55000,,0.68739,13,0.68739,0.631785,0.680209,438.6618,411.3435,432.75749,536.389638,562.850185,539.429495
121,55000,,0.688972,20,0.688972,0.671838,0.681688,438.6618,428.4682,433.641259,535.946377,543.084484,538.867948
122,55000,,0.688972,50,0.688972,0.616343,0.68053,439.1215,400.3623,433.201541,536.389638,567.536742,539.476141
123,55000,,0.688972,30,0.688972,0.537217,0.681165,439.1215,362.0872,433.629872,536.389638,603.606617,539.268169
124,55000,,0.689614,28,0.689614,0.537217,0.680076,439.1215,362.0872,433.201267,536.288222,603.606617,539.830099
125,55000,,0.689614,40,0.689614,0.565363,0.681378,439.0179,376.0998,433.910341,536.288222,591.042834,539.289724
126,55000,,0.689614,31,0.689614,0.565363,0.68085,439.0179,376.0998,433.669895,536.204254,591.042834,539.540395
127,55000,,0.689614,36,0.689614,0.626138,0.683897,440.1452,410.5233,435.571531,535.729531,566.70499,538.437907
128,55000,,0.691447,33,0.691447,0.528567,0.683777,442.2832,358.1589,435.682474,535.729531,607.721174,538.606308
129,55000,,0.691447,10,0.691447,0.681201,0.686582,442.2832,432.7629,437.23854,534.238322,540.320608,537.461228
130,55000,,0.691447,14,0.691447,0.680295,0.687126,442.2832,431.9847,437.535361,533.300099,540.320608,537.235694
131,55000,,0.691447,50,0.691447,0.62745,0.686631,442.5286,411.7242,437.328269,533.300099,566.487031,537.482889
132,55000,,0.691447,50,0.691447,0.638176,0.686521,442.5286,413.6539,437.227822,533.300099,559.413855,537.50116
133,55000,,0.691447,31,0.691447,0.637214,0.687301,442.2832,412.2238,437.59824,533.300099,559.205906,537.140835
134,55000,,0.693134,35,0.693134,0.617849,0.687327,442.3099,402.5092,437.69362,533.300099,567.800292,537.184452
135,55000,,0.693353,15,0.693353,0.640122,0.688604,443.4962,413.1133,438.419317,533.300099,557.533546,536.674792
136,55000,,0.693353,14,0.693353,0.669519,0.689418,443.4962,427.103,439.049448,533.300099,543.978349,536.462365
137,55000,,0.693353,50,0.693353,0.662471,0.68938,443.4962,428.9461,439.163542,533.264705,550.71108,536.568668
138,55000,,0.693353,50,0.693353,0.62321,0.688741,444.219,405.7772,438.933872,533.264705,565.808772,536.912751
139,55000,,0.694016,47,0.694016,0.629773,0.68922,444.219,409.6989,439.490767,533.711397,563.317664,536.912352
140,55000,,0.694433,23,0.694433,0.626833,0.689181,444.219,408.5059,439.628984,533.708258,564.811356,537.035247
141,55000,,0.694533,16,0.694533,0.655658,0.690537,444.9331,423.914,440.34487,533.150632,552.65274,536.457704
142,55000,,0.697418,17,0.697418,0.538099,0.689856,446.8058,362.3685,440.346834,533.150632,603.106794,536.990465
143,55000,,0.697418,50,0.697418,0.538099,0.68941,447.3043,362.3685,440.155912,533.150632,603.106794,537.209762
144,55000,,0.697418,50,0.697418,0.537967,0.688317,447.3043,360.5843,439.537126,533.150632,602.014321,537.647749
145,55000,,0.697418,43,0.697418,0.580607,0.687392,447.3043,384.5601,439.112191,533.150632,584.821465,538.084458
146,55000,,0.697418,17,0.697418,0.599517,0.689908,447.3043,394.1446,440.51216,533.150632,576.494473,537.060103
147,55000,,0.697418,17,0.697418,0.64965,0.691821,446.8058,422.8822,441.586055,533.150632,556.647835,536.287578
148,55000,,0.699459,50,0.699459,0.660652,0.692445,447.1701,426.8658,442.009496,532.94292,550.954629,536.084978
149,55000,,0.70027,41,0.70027,0.545893,0.692156,447.1701,365.7821,441.906348,532.94292,599.315305,536.241495
150,55000,,0.70027,29,0.70027,0.568379,0.693049,449.177,375.0873,442.554089,532.94292,588.011182,535.978523
151,55000,,0.70027,15,0.70027,0.686946,0.694893,449.177,437.6451,443.716216,532.90291,539.059999,535.318737
152,55000,,0.70027,15,0.70027,0.686946,0.695459,449.177,437.8035,444.093506,532.90291,539.059999,535.130137
153,55000,,0.70027,50,0.70027,0.686946,0.695979,449.466,437.8035,444.587446,532.94292,539.059999,535.055797
154,55000,,0.70027,50,0.70027,0.690403,0.696192,449.466,438.5604,444.728261,532.820354,537.058434,534.984002
