gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,30000,8,0.505407,20,0.505407,0.368206,0.427917,329.865,243.5694,281.432443,599.965424,661.98307,634.813281
1,30000,8,0.505407,15,0.505407,0.371496,0.444148,329.865,251.452,290.374159,599.965424,658.731958,628.144989
2,30000,8,0.505407,17,0.505407,0.40115,0.452134,329.865,263.5489,294.311788,599.965424,648.244749,624.554493
3,30000,8,0.507187,19,0.507187,0.404076,0.461636,331.895,266.9971,299.630365,599.965424,643.736471,620.707077
4,30000,8,0.507187,25,0.507187,0.354981,0.467388,331.895,236.5998,302.458878,599.691118,661.661172,618.115684
5,30000,8,0.509248,26,0.509248,0.367982,0.471728,331.895,247.5138,305.334155,599.691118,658.834064,616.65744
6,30000,8,0.516139,37,0.516139,0.397262,0.477293,333.9726,260.0953,307.906711,596.639029,644.425993,614.040855
7,30000,8,0.516139,47,0.516139,0.397262,0.480535,333.9726,260.0953,309.917833,596.176422,644.425993,612.859897
8,30000,8,0.516139,50,0.516139,0.383771,0.482868,335.8635,245.7456,311.143145,598.508985,650.596974,611.860631
9,30000,8,0.516139,50,0.51525,0.383771,0.485714,335.8635,245.7456,313.068975,597.283065,650.596974,610.931815
10,30000,8,0.549587,50,0.549587,0.398448,0.488101,353.329,261.6006,314.689221,588.088807,644.509563,610.155562
11,30000,8,0.554078,50,0.554078,0.391274,0.492794,361.7218,262.7637,317.407862,587.637456,650.884781,608.316292
12,30000,8,0.554078,50,0.551219,0.446921,0.497878,354.5548,289.7094,319.640949,587.637456,631.218316,605.847824
13,30000,8,0.560861,50,0.560861,0.456646,0.501853,365.8341,294.7804,321.662978,587.637456,623.732133,604.1024
14,30000,8,0.560861,50,0.551412,0.465711,0.505865,360.4064,300.141,324.107125,587.637456,621.483885,602.610621
15,30000,8,0.560861,50,0.551219,0.464978,0.510049,359.8528,305.1545,326.656803,587.637456,621.856604,601.055427
16,30000,8,0.560861,50,0.551219,0.416307,0.512124,359.8528,269.6695,328.291154,587.637456,635.986696,600.532477
17,30000,8,0.560861,46,0.552475,0.478224,0.516657,359.8528,310.0852,330.876636,587.242688,622.560238,598.729038
18,30000,8,0.560861,41,0.556127,0.487974,0.518838,363.4823,310.0852,331.869249,586.832846,611.447172,597.692908
19,30000,8,0.560861,43,0.556127,0.490383,0.52032,363.4823,308.6828,332.973308,587.242688,611.447172,597.276826
20,30000,8,0.560861,50,0.557021,0.475336,0.523305,365.7417,308.7,334.811665,587.242688,616.099009,596.180183
21,30000,8,0.561972,50,0.561972,0.475336,0.525454,366.5319,308.7,336.453028,586.948334,616.099009,595.60374
22,30000,8,0.561972,50,0.561972,0.499069,0.529709,366.5319,314.7171,339.32215,585.852424,606.538571,594.207417
23,30000,8,0.569064,50,0.569064,0.448024,0.533059,366.8376,290.1471,342.036173,581.949014,624.969464,593.413771
24,30000,8,0.57237,50,0.57237,0.394504,0.535236,370.568,262.1119,343.780252,581.870037,647.928597,592.884212
25,30000,8,0.57237,50,0.57237,0.474989,0.538975,370.9034,306.5273,346.302977,581.870037,614.913206,591.657979
26,30000,8,0.58227,50,0.58227,0.47726,0.54162,374.5761,304.9913,348.061807,576.833714,615.993386,590.773467
27,30000,8,0.58227,50,0.574439,0.474728,0.545046,373.1747,307.6627,350.409446,580.895803,615.877603,589.674509
28,30000,8,0.583067,50,0.583067,0.493314,0.54656,380.9296,314.0793,351.396519,580.469809,617.358914,589.155443
29,30000,8,0.583067,50,0.583067,0.504687,0.549712,380.9296,319.0678,353.675229,579.842342,606.179137,588.22389
30,30000,8,0.583067,50,0.583067,0.410232,0.549847,380.9296,280.3915,353.751515,578.06637,647.910453,588.169444
31,30000,8,0.590886,45,0.590886,0.403544,0.548792,380.9296,276.0755,353.440038,574.352652,650.234797,588.783429
32,30000,8,0.590886,47,0.590886,0.455525,0.553193,380.9296,304.4607,356.169302,574.352652,628.710462,587.179867
33,30000,8,0.591508,50,0.591508,0.48035,0.558739,381.5124,312.8174,359.857372,574.276268,614.946809,585.325022
34,30000,8,0.591508,50,0.591508,0.495294,0.561608,381.5124,323.5712,361.844604,574.251405,610.497024,584.419193
35,30000,8,0.591508,48,0.591508,0.495294,0.562975,382.2463,323.5712,362.66654,574.276268,612.28751,583.903479
36,30000,8,0.591508,45,0.591508,0.5201,0.5658,382.2463,329.5373,363.944091,574.276268,597.562107,582.556144
37,30000,8,0.592094,46,0.592094,0.416881,0.567275,383.3595,284.8348,365.230234,573.784407,645.701344,582.26746
38,30000,8,0.598725,48,0.598725,0.451856,0.570057,384.4433,300.8132,367.351313,570.611321,629.128397,581.51842
39,30000,8,0.598725,50,0.598725,0.455166,0.572802,385.0367,304.5751,368.896232,570.611321,629.067169,580.413298
40,30000,8,0.598725,50,0.598725,0.446774,0.574758,387.0709,296.5818,370.296967,570.611321,630.256581,579.825975
41,30000,8,0.598725,50,0.598725,0.504158,0.578507,384.8355,325.2878,372.654472,570.611321,604.733064,578.481274
42,30000,8,0.598827,50,0.598827,0.504158,0.580473,384.8355,325.2878,373.778811,569.73104,604.733064,577.701074
43,30000,8,0.600303,50,0.600303,0.509423,0.581219,385.3896,328.1532,374.341275,569.478875,602.546817,577.496587
44,30000,8,0.600303,50,0.600303,0.489711,0.580052,385.7424,329.4263,373.511163,569.478875,618.775111,577.850364
45,30000,8,0.600303,50,0.600303,0.517544,0.583225,384.5901,332.2983,375.630221,569.478875,598.989531,576.795672
46,30000,8,0.60216,50,0.60216,0.565924,0.585928,386.824,356.7374,377.224988,569.52739,583.73603,575.755696
47,30000,8,0.60216,50,0.60216,0.543973,0.587142,386.824,356.86,378.089164,569.326276,594.834143,575.388007
48,30000,8,0.60216,50,0.60216,0.573289,0.588185,388.3647,362.7073,378.739574,569.326276,581.896778,575.010096
49,30000,8,0.604256,50,0.604256,0.568962,0.589353,390.6121,361.5852,379.448638,566.634859,580.852114,574.574731
50,30000,8,0.604256,50,0.604256,0.558269,0.589387,390.6121,361.6255,379.252976,566.634859,586.876186,574.417027
51,30000,8,0.604256,50,0.604256,0.566325,0.590101,390.6121,361.1661,379.953029,566.634859,580.816567,574.328834
52,30000,8,0.604256,50,0.604256,0.568042,0.59176,390.6121,365.4652,381.007719,566.634859,582.706371,573.741717
53,30000,8,0.604256,50,0.604256,0.571888,0.593332,390.6121,367.1817,381.596332,566.634859,581.763632,572.909851
54,30000,8,0.604256,50,0.604256,0.574033,0.594258,391.0084,367.8914,382.360292,566.634859,578.779229,572.699276
55,30000,8,0.606508,50,0.606508,0.490038,0.592441,391.0084,328.0205,381.35351,565.99442,617.577888,573.442451
56,30000,8,0.610744,50,0.610744,0.50389,0.595083,394.9141,335.2976,383.043255,565.99442,611.649955,572.513854
57,30000,8,0.610744,50,0.610744,0.495541,0.595083,394.9141,331.4226,383.143569,564.668099,615.565472,572.580776
58,30000,8,0.614627,50,0.614627,0.5446,0.598711,397.4747,352.6107,385.302047,564.668099,591.49737,571.19779
59,30000,8,0.614627,50,0.614627,0.5446,0.59813,397.4747,352.6107,385.1633,564.668099,591.49737,571.557541
60,30000,8,0.614627,50,0.614627,0.554544,0.59953,400.1346,359.8717,386.084511,564.668099,588.606608,571.082978
61,30000,8,0.614627,50,0.614058,0.54564,0.599733,401.2194,358.6907,386.301247,564.668099,594.760711,571.070246
62,30000,8,0.614627,50,0.614058,0.54564,0.601426,401.2194,358.6907,387.441632,564.668099,594.760711,570.513862
63,30000,8,0.614627,50,0.614058,0.55049,0.602907,401.2194,360.5467,388.107167,564.668099,592.221303,569.804135
64,30000,8,0.615244,50,0.615244,0.521703,0.603319,401.2194,350.3492,388.755856,564.668099,607.841373,569.917593
65,30000,8,0.615244,50,0.615244,0.523869,0.603618,401.2194,351.2867,389.239893,562.196174,606.780559,570.008888
66,30000,8,0.617949,50,0.617949,0.533949,0.602727,402.5361,356.4714,388.826019,562.196174,602.392085,570.426657
67,30000,8,0.62104,50,0.62104,0.591604,0.607221,402.5361,381.8209,391.170559,559.191646,574.724918,568.492551
68,30000,8,0.622422,50,0.622422,0.561498,0.607282,402.5361,368.57,391.168563,559.191646,590.793496,568.443354
69,30000,8,0.622844,50,0.622844,0.561498,0.607997,405.5445,371.2296,391.884016,559.098977,591.047989,568.364786
70,30000,8,0.622844,50,0.622844,0.561498,0.609253,405.5445,371.2296,392.829381,559.098977,590.793496,568.019153
71,30000,8,0.623392,50,0.623392,0.589932,0.611153,405.5445,378.7077,394.373206,559.098977,573.626602,567.571036
72,30000,8,0.623392,50,0.623392,0.473539,0.610364,405.5445,318.9507,394.261372,561.399698,624.369267,568.111659
73,30000,8,0.623392,50,0.623373,0.504624,0.611634,405.5445,332.4739,394.988996,560.469754,609.184816,567.608654
74,30000,8,0.625172,50,0.625172,0.503671,0.610356,405.5445,332.1451,394.313113,561.399698,614.941338,568.153138
75,30000,8,0.625172,50,0.623373,0.594143,0.614589,405.5445,383.4952,396.468634,561.399698,576.327997,566.295376
76,30000,8,0.625654,50,0.625654,0.561824,0.61505,405.5445,370.1432,397.028285,561.449181,589.81154,566.310632
77,30000,8,0.626856,50,0.626856,0.603315,0.617258,405.5445,385.7609,397.940386,559.562603,569.893079,565.199595
78,30000,8,0.626856,50,0.625654,0.596764,0.617141,405.5445,388.4172,398.075774,560.849369,574.822157,565.382122
79,30000,8,0.627526,50,0.627526,0.424909,0.61468,406.965,294.6604,396.806847,560.378143,646.023893,566.450851
80,30000,8,0.627526,50,0.627526,0.578851,0.618028,406.965,377.0671,398.826396,558.360535,581.170404,565.19267
81,30000,8,0.629009,50,0.629009,0.578602,0.618686,407.9844,375.1895,398.960843,558.360535,580.105737,564.769438
82,30000,8,0.629009,50,0.629009,0.490081,0.617708,407.9844,331.8783,397.863478,559.357706,620.129414,564.7976
83,30000,8,0.629009,50,0.629009,0.609758,0.620304,407.9844,388.4172,399.685731,558.849966,569.893079,563.993512
84,30000,8,0.634779,50,0.634779,0.506051,0.618839,411.5267,342.0868,399.123034,558.849966,614.513978,564.758962
85,30000,8,0.643113,50,0.643113,0.523952,0.619617,414.232,354.1142,399.833585,555.375956,608.610163,564.6286
86,30000,8,0.643113,50,0.643113,0.506878,0.619066,414.232,342.1808,399.5879,555.172355,613.931886,564.893315
87,30000,8,0.64425,50,0.64425,0.526835,0.618456,416.5873,352.5944,399.084174,554.553471,605.343231,565.031516
