gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,25000,8,0.516466,0,0.516466,0.369943,0.435199,326.1756,241.9544,285.858672,595.568587,654.808188,632.099608
1,25000,8,0.516466,1,0.516466,0.394223,0.450296,326.1756,258.4262,294.167029,595.568587,648.030672,625.891491
2,25000,8,0.516466,6,0.516466,0.412989,0.460882,332.3295,272.047,300.574466,595.568587,640.167754,621.927601
3,25000,8,0.516466,8,0.516466,0.412989,0.469976,334.1854,272.047,305.817886,595.568587,640.167754,618.348524
4,25000,8,0.516466,10,0.516466,0.431529,0.477933,334.1854,279.4055,310.508737,595.568587,632.864343,615.285375
5,25000,8,0.516466,9,0.516466,0.43895,0.485108,334.1854,291.3298,314.443474,595.568587,632.840005,612.325343
6,25000,8,0.517612,9,0.517612,0.45792,0.491594,336.5664,301.6708,318.042006,595.568587,628.235027,609.677526
7,25000,8,0.517612,8,0.517612,0.462562,0.495705,341.3254,295.7369,320.408951,595.568587,623.925187,608.056785
8,25000,8,0.526002,7,0.526002,0.434059,0.49994,345.0507,288.219,323.094375,595.568587,634.570359,606.553528
9,25000,8,0.528014,9,0.528014,0.476253,0.505163,345.0507,310.4908,325.768233,595.568587,617.029845,604.270848
10,25000,8,0.558986,9,0.558986,0.442687,0.508652,361.7236,287.9079,327.72571,586.382763,627.632453,602.861364
11,25000,8,0.558986,8,0.558986,0.476512,0.513122,361.7236,311.1446,330.387023,586.382763,618.188433,601.157845
12,25000,8,0.558986,10,0.558986,0.47966,0.517396,361.7236,312.2868,333.325884,586.382763,615.129809,599.794064
13,25000,8,0.558986,10,0.558986,0.486282,0.523406,361.7236,315.7179,337.135062,583.113699,612.263639,597.658675
14,25000,8,0.560127,7,0.560127,0.499695,0.528887,363.5396,319.0823,340.716881,583.113699,608.676524,595.783406
15,25000,8,0.56852,7,0.56852,0.509083,0.532958,367.4929,325.1452,343.069702,582.812757,607.941539,594.185131
16,25000,8,0.583025,10,0.583025,0.475166,0.53767,376.3613,317.8328,346.375883,577.441156,622.351481,592.724991
17,25000,8,0.583025,8,0.583025,0.51474,0.543076,376.3613,325.2052,349.959699,577.441156,598.119911,590.909665
18,25000,8,0.583025,11,0.583025,0.51913,0.548245,380.7081,328.7931,353.894486,577.441156,597.564049,589.514665
19,25000,8,0.583777,12,0.583777,0.51913,0.551891,380.7081,328.7931,356.350565,577.115916,597.564049,588.316831
20,25000,8,0.583777,8,0.583777,0.529517,0.556738,380.7081,334.6567,359.497492,577.115916,597.564049,586.645119
21,25000,8,0.583777,12,0.583196,0.46255,0.559255,380.7081,309.5424,361.073143,577.441156,626.635959,585.737504
22,25000,8,0.591888,10,0.591888,0.53749,0.56366,382.748,344.6554,363.787674,574.808128,592.176713,584.120425
23,25000,8,0.591888,13,0.591888,0.543438,0.565755,384.0177,344.8879,365.081379,574.808128,589.95786,583.353496
24,25000,8,0.591888,7,0.591888,0.539155,0.568364,384.0177,342.2855,366.89232,574.808128,590.422976,582.531871
25,25000,8,0.597206,12,0.597206,0.54542,0.571532,387.281,346.46,369.361909,573.697457,588.76287,581.715828
26,25000,8,0.604913,10,0.604913,0.543271,0.574071,391.4802,346.46,371.278243,570.50008,590.924661,581.019464
27,25000,8,0.604913,14,0.604913,0.54542,0.578768,394.1261,346.46,374.819063,570.50008,587.246876,579.728627
28,25000,8,0.604913,15,0.604913,0.548194,0.581751,394.1261,350.4505,376.932203,570.50008,587.722972,578.817311
29,25000,8,0.604913,18,0.604913,0.49843,0.583528,392.7964,336.0484,378.247727,570.50008,616.411698,578.313471
30,25000,8,0.605588,20,0.605588,0.557815,0.58746,396.6344,359.204,380.879274,570.50008,587.922608,577.009366
31,25000,8,0.611414,19,0.611414,0.560593,0.590344,397.8684,364.3294,382.951423,569.710259,587.922608,576.148714
