gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,60000,,0.546511,8,0.546511,0.361315,0.425518,344.2488,243.4843,280.92711,584.403751,661.724037,636.346366
1,60000,,0.546511,0,0.546511,0.377701,0.443755,344.2488,253.4565,291.119856,584.403751,657.333281,628.951774
2,60000,,0.546511,0,0.546511,0.377701,0.457688,344.2488,253.4565,298.680649,584.403751,655.235383,623.149852
3,60000,,0.546511,0,0.546511,0.414245,0.471409,344.2488,273.3285,306.647017,584.403751,643.390282,617.786068
4,60000,,0.546511,0,0.546511,0.416456,0.484037,344.8643,274.7723,313.937758,584.403751,643.390282,612.821618
5,60000,,0.546511,0,0.546511,0.416456,0.491881,344.8643,280.8911,318.623253,584.403751,643.390282,609.843302
6,60000,,0.551076,0,0.551076,0.435227,0.500039,352.1949,284.6466,322.822089,581.976505,634.715228,606.293682
7,60000,,0.551076,0,0.551076,0.436424,0.50797,358.5502,290.3268,327.194988,581.976505,634.137982,603.037825
8,60000,,0.55935,0,0.55935,0.447547,0.51555,358.5502,297.8634,331.431286,579.330456,630.512747,599.96417
9,60000,,0.55935,0,0.55935,0.452078,0.522842,358.5502,301.1087,335.516102,579.330456,630.258183,597.013374
10,60000,,0.55935,0,0.55935,0.458184,0.529185,359.2792,304.245,339.473926,579.330456,626.492179,594.718215
11,60000,,0.560303,0,0.560303,0.487009,0.535105,366.932,307.7458,343.20698,579.330456,608.676779,592.601835
12,60000,,0.567429,0,0.567429,0.487821,0.539277,366.932,307.7458,345.658304,577.59262,610.61459,590.990756
13,60000,,0.574111,0,0.574111,0.497642,0.544424,370.8819,319.5913,348.748525,575.23623,610.61459,589.046729
14,60000,,0.575155,0,0.575155,0.497642,0.54924,371.4844,319.5913,351.818654,575.203227,605.998065,587.3473
15,60000,,0.575409,0,0.575409,0.509029,0.55427,371.4844,325.0876,354.991628,575.203227,600.799765,585.550408
16,60000,,0.576687,0,0.576687,0.520401,0.557172,372.3318,331.8144,356.843411,575.203227,598.602446,584.527784
17,60000,,0.58021,0,0.58021,0.520401,0.561101,372.3318,331.8144,359.120674,572.831804,596.436735,582.989361
18,60000,,0.581429,0,0.581429,0.53814,0.564623,372.3318,349.8198,361.118347,572.831804,596.334272,581.580326
19,60000,,0.581437,0,0.581437,0.539498,0.567252,374.5323,349.2816,362.556144,572.831804,594.851598,580.493183
20,60000,,0.585179,0,0.585179,0.543637,0.568967,375.6828,353.8218,363.891489,572.939056,594.471392,580.050323
21,60000,,0.585179,0,0.585179,0.543637,0.570913,375.6828,353.8218,365.052469,572.939056,594.42506,579.310405
22,60000,,0.585179,0,0.585179,0.543637,0.573943,381.9546,353.8218,366.897285,571.482038,593.243276,578.183848
