gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,20000,8,0.501261,,0.501261,0.373691,0.426423,326.5908,251.1444,281.415211,607.812746,657.631944,635.967092
1,20000,8,0.501261,,0.501261,0.374074,0.441291,326.5908,252.8113,289.853104,607.812746,657.631944,630.024554
2,20000,8,0.508445,,0.508445,0.381331,0.452495,335.8036,257.5023,296.777479,607.812746,655.11474,625.925792
3,20000,8,0.508445,,0.508445,0.418577,0.464735,335.8036,273.4355,304.257807,606.451452,640.546971,621.390425
4,20000,8,0.508445,,0.508445,0.419896,0.473924,335.8036,274.774,310.502742,606.451452,636.607788,618.408029
5,20000,8,0.508445,,0.508445,0.426201,0.480698,335.8036,276.9591,314.479181,606.35854,633.15403,615.788862
6,20000,8,0.513908,,0.513908,0.456282,0.485528,339.2152,297.3808,317.215465,606.461019,626.539469,613.855421
7,20000,8,0.513908,,0.513908,0.459438,0.490071,339.2152,298.0766,320.266364,605.017746,622.95664,612.356319
8,20000,8,0.513908,,0.513908,0.459438,0.494047,339.2152,298.1655,323.050489,605.017746,621.43985,611.120285
9,20000,8,0.522781,,0.522781,0.459438,0.498612,341.9281,298.1655,326.117717,601.291244,621.43985,609.615232
10,20000,8,0.522781,,0.522781,0.465717,0.502705,341.9281,300.0021,328.805352,601.291244,617.772708,608.223965
11,20000,8,0.522781,,0.522781,0.478576,0.506791,343.4471,310.3717,331.412873,601.291244,615.265985,606.783954
12,20000,8,0.527779,,0.527779,0.486258,0.511347,343.4471,314.4904,334.259857,597.678759,612.859809,605.137597
13,20000,8,0.536334,,0.536334,0.493561,0.515288,350.0257,324.3271,336.89124,596.212848,612.354695,603.827501
14,20000,8,0.536334,,0.536334,0.493561,0.518773,350.0257,324.3271,338.998937,594.911853,612.354695,602.521386
15,20000,8,0.539025,,0.539025,0.496123,0.522187,353.7434,326.2012,340.956947,593.199181,611.612622,601.170226
16,20000,8,0.539025,,0.539025,0.504355,0.525194,354.1582,332.8232,342.801489,593.199181,609.941692,600.060867
17,20000,8,0.543642,,0.543642,0.507688,0.528378,354.6324,333.9545,344.579122,593.199181,608.964855,598.768879
18,20000,8,0.544107,,0.544107,0.516826,0.53147,355.5782,333.9545,346.833472,592.460819,607.000983,597.867868
19,20000,8,0.545953,,0.545953,0.516826,0.533777,356.4326,333.9545,348.268241,591.070279,602.059068,597.029906
20,20000,8,0.556824,,0.556824,0.521149,0.535993,364.8147,340.4445,349.666617,590.140855,601.947844,596.237972
21,20000,8,0.556824,,0.556824,0.524955,0.537992,364.8147,342.5643,351.050728,587.755778,601.372602,595.60678
22,20000,8,0.556824,,0.556824,0.530912,0.540542,364.8147,344.5018,352.661698,587.755778,601.234109,594.696637
23,20000,8,0.562377,,0.562377,0.532557,0.543387,367.2225,344.9594,354.424982,587.422725,598.476287,593.659244
24,20000,8,0.563573,,0.563573,0.536018,0.546198,368.3001,348.3499,356.217929,587.211904,597.189141,592.668476
25,20000,8,0.564517,,0.564517,0.537074,0.549315,369.3721,348.6268,358.328942,585.745921,596.522158,591.651862
26,20000,8,0.569685,,0.569685,0.537977,0.551708,371.8292,350.2251,359.95801,584.809224,596.165279,590.876589
27,20000,8,0.57338,,0.57338,0.541527,0.554842,371.8292,353.539,362.162473,581.912516,595.735336,589.909393
28,20000,8,0.57338,,0.57338,0.547322,0.557327,371.8292,356.7171,363.693106,581.912516,594.05968,588.996894
29,20000,8,0.57338,,0.57338,0.547688,0.559491,374.1657,356.3776,364.95941,581.912516,592.802096,588.157601
30,20000,8,0.575726,,0.575726,0.547688,0.561363,376.328,358.1515,366.093816,581.912516,592.802096,587.457288
31,20000,8,0.577412,,0.577412,0.550773,0.563638,376.4394,358.8307,367.502887,581.871719,592.041623,586.627427
32,20000,8,0.577412,,0.577412,0.55204,0.565563,376.4394,358.8307,368.431236,581.564905,591.110776,585.74801
33,20000,8,0.577412,,0.577412,0.552554,0.567432,376.4394,359.9832,369.593975,581.564905,590.818703,585.069327
34,20000,8,0.581749,,0.581749,0.55716,0.569086,381.654,363.1707,370.60288,581.437128,590.818703,584.45495
35,20000,8,0.583745,,0.583745,0.559579,0.571188,381.9484,363.1707,371.84396,579.308494,588.702425,583.647065
36,20000,8,0.583745,,0.583745,0.563856,0.572765,381.9484,365.9618,372.973412,579.070541,586.93271,583.174158
37,20000,8,0.583745,,0.583745,0.565554,0.574236,381.9484,367.5665,373.894378,579.070541,585.918467,582.643999
38,20000,8,0.58651,,0.58651,0.565554,0.575907,386.1829,367.9643,375.041093,578.843774,585.918467,582.109089
39,20000,8,0.58973,,0.58973,0.567197,0.577583,386.6924,368.4773,376.131759,577.505968,584.922944,581.532605
40,20000,8,0.58973,,0.58973,0.568407,0.579195,386.6924,369.539,377.304201,576.237445,584.889856,581.060865
41,20000,8,0.594534,,0.594534,0.569685,0.581129,388.2632,369.539,378.52953,574.48461,584.809224,580.373206
42,20000,8,0.594534,,0.594534,0.571808,0.582732,389.4483,371.1378,379.677947,574.48461,585.074859,579.89274
43,20000,8,0.595384,,0.595384,0.572736,0.584477,389.4483,371.1378,380.828694,574.48461,583.112613,579.302728
