gen,seed,threads,best_global,picos,fit_best,fit_worst,fit_mean,green_best,green_worst,green_mean,emis_best,emis_worst,emis_mean
0,20000,32,0.502328,,0.502328,0.363053,0.428075,327.3711,246.5427,282.71443,607.556675,662.027518,635.549289
1,20000,32,0.502328,,0.502328,0.389043,0.44018,327.3711,259.2752,289.076179,607.556675,650.287945,630.370676
2,20000,32,0.502328,,0.502328,0.402947,0.451109,327.3711,266.8509,295.797935,607.556675,648.784229,626.349883
3,20000,32,0.502328,,0.502328,0.413285,0.460994,327.3711,266.8509,301.120553,606.256291,643.47795,622.206671
4,20000,32,0.502674,,0.502674,0.420423,0.467594,327.3711,275.7396,305.465477,606.201148,640.641072,619.970268
5,20000,32,0.507422,,0.507422,0.433203,0.475411,334.2252,280.5148,310.256778,605.185387,636.934312,617.083689
6,20000,32,0.507422,,0.507422,0.442915,0.4834,334.2252,292.24,315.088751,603.044332,632.036156,614.089824
7,20000,32,0.519559,,0.519559,0.452067,0.488312,337.2426,294.8367,318.143859,600.731074,625.902533,612.30594
8,20000,32,0.519559,,0.519559,0.464705,0.493765,337.2426,298.0905,321.443743,600.731074,625.75715,610.263654
9,20000,32,0.522126,,0.522126,0.470424,0.497957,337.8014,302.1269,323.865982,599.103447,620.786925,608.61721
10,20000,32,0.523504,,0.523504,0.473913,0.501557,343.0862,307.1854,325.793765,598.849884,620.786925,607.1012
11,20000,32,0.528703,,0.528703,0.474672,0.505472,344.6732,307.2496,327.887822,598.184906,619.550388,605.450122
12,20000,32,0.533628,,0.533628,0.481864,0.509114,349.4806,307.2496,330.075457,597.125652,614.792415,604.075946
13,20000,32,0.533628,,0.533628,0.483282,0.512523,349.4806,308.8137,332.396908,597.125652,612.152297,602.972338
14,20000,32,0.53641,,0.53641,0.483282,0.515132,349.4806,309.1709,334.060678,595.558514,612.152297,602.052454
15,20000,32,0.538767,,0.538767,0.487123,0.517699,352.5985,315.1101,335.856135,593.720546,612.152297,601.252937
16,20000,32,0.545848,,0.545848,0.49229,0.520513,356.9137,316.0651,337.279145,592.547652,609.827217,600.011598
17,20000,32,0.545848,,0.545848,0.492473,0.523962,356.9137,315.5422,339.672939,591.22794,607.316602,598.92572
18,20000,32,0.551126,,0.551126,0.493675,0.527355,359.1105,316.3382,341.826301,588.632518,606.976234,597.722313
19,20000,32,0.552641,,0.552641,0.494757,0.530576,360.9386,317.1094,343.70659,588.632518,606.976234,596.4697
20,20000,32,0.557699,,0.557699,0.499482,0.53443,364.547,321.5138,346.299261,588.632518,608.339379,595.20059
21,20000,32,0.558597,,0.558597,0.506968,0.537742,365.1299,325.0657,348.553367,586.913738,602.392281,594.127824
22,20000,32,0.558597,,0.558597,0.518786,0.540938,365.1299,336.3456,350.860036,586.913738,601.907738,593.181136
23,20000,32,0.559131,,0.559131,0.523837,0.543365,367.7654,335.825,352.485789,586.913738,598.817138,592.377248
24,20000,32,0.562409,,0.562409,0.523837,0.545237,367.7654,337.4622,353.609774,586.570128,598.656469,591.670432
25,20000,32,0.562409,,0.562409,0.527095,0.547747,367.7654,337.8757,355.241145,584.814347,598.487753,590.80545
26,20000,32,0.569973,,0.569973,0.531962,0.550844,368.7574,343.4067,357.219654,580.628529,596.656047,589.715749
27,20000,32,0.569973,,0.569973,0.53383,0.552848,368.7574,343.4067,358.303019,580.628529,594.315278,588.878432
28,20000,32,0.571311,,0.571311,0.537455,0.555092,369.6869,343.4067,359.7831,580.628529,593.598632,588.120204
29,20000,32,0.571311,,0.571311,0.539495,0.557081,370.651,347.3637,360.81645,580.628529,593.566594,587.261059
30,20000,32,0.571311,,0.571311,0.541021,0.559073,373.1169,347.3637,362.081013,580.628529,592.78184,586.554482
31,20000,32,0.572618,,0.572618,0.54134,0.560989,373.1169,348.1542,363.241309,579.32899,592.78184,585.837788
32,20000,32,0.57658,,0.57658,0.544277,0.563145,373.1169,348.6701,364.549874,579.32899,592.548792,585.033031
33,20000,32,0.581715,,0.581715,0.550608,0.565588,375.4905,352.8606,365.970336,577.879447,589.310906,584.079459
34,20000,32,0.581715,,0.581715,0.550608,0.567516,375.6115,352.8606,367.154796,577.216083,589.310906,583.368891
35,20000,32,0.587558,,0.587558,0.558421,0.569655,379.1809,360.7929,368.49583,574.870296,587.639302,582.599525
36,20000,32,0.587558,,0.587558,0.558639,0.571455,380.5486,362.4693,369.616485,574.870296,587.354808,581.946581
37,20000,32,0.587558,,0.587558,0.559923,0.573346,380.5486,362.4693,370.836053,574.870296,586.955878,581.288649
38,20000,32,0.587558,,0.587558,0.561347,0.57537,380.5486,364.4997,372.296587,574.870296,586.401541,580.688416
39,20000,32,0.592567,,0.592567,0.561347,0.577263,381.9587,364.4997,373.704648,573.74936,586.401541,580.155842
40,20000,32,0.597824,,0.597824,0.568345,0.579791,385.9113,366.9031,375.29869,572.297527,584.274391,579.251957
41,20000,32,0.605958,,0.605958,0.568843,0.581989,391.9907,367.663,376.624525,570.026979,583.846154,578.425615
42,20000,32,0.608193,,0.608193,0.568843,0.585187,393.3035,367.663,378.813508,569.163341,583.635115,577.398207
43,20000,32,0.609045,,0.609045,0.57083,0.588355,395.9819,369.2614,380.695978,569.163341,583.580837,576.188385
44,20000,32,0.609708,,0.609708,0.576643,0.590949,396.4124,371.6073,382.118758,569.163341,582.559501,575.11879
45,20000,32,0.611959,,0.611959,0.579373,0.593556,397.9844,372.4086,383.738564,568.339086,581.747764,574.170514
46,20000,32,0.613323,,0.613323,0.580738,0.595893,397.9844,372.5508,385.175897,565.912757,580.750693,573.310812
47,20000,32,0.619875,,0.619875,0.58396,0.597966,400.7035,373.3863,386.451513,565.009982,579.738399,572.548742
48,20000,32,0.623125,,0.623125,0.58421,0.599712,402.1089,374.3998,387.689349,563.417006,579.738399,572.016645
49,20000,32,0.623125,,0.623125,0.585137,0.602337,402.1089,374.9849,389.313198,563.417006,579.20031,571.056972
50,20000,32,0.623125,,0.623125,0.586805,0.605996,402.1089,378.1951,391.728755,563.417006,576.672199,569.821868
51,20000,32,0.623125,,0.623125,0.589394,0.608833,402.1089,379.5034,393.649319,563.417006,576.672199,568.8957
52,20000,32,0.623125,,0.623125,0.592735,0.610648,402.1089,381.0171,394.773746,563.38757,574.514818,568.233965
