suite,variant,kind,threads,run_id,seed,wall_time_s,energy_j,avg_power_w,final_best_global,return_code
main,truck_elite_seq,seq,,1,20000,266.785498,3919.032326,14.689825,0.791138,0
main,truck_elite_seq,seq,,2,30000,313.899476,4574.717415,14.573829,0.758552,0
main,truck_elite_seq,seq,,3,40000,213.636070,3013.163307,14.104188,0.766606,0
main,truck_elite_seq,seq,,4,50000,143.018413,2069.907238,14.473012,0.756829,0
main,truck_elite_seq,seq,,5,60000,244.978033,3606.911848,14.723409,0.762531,0
main,truck_elite_paral,omp,12,1,20000,93.344786,1402.760447,15.027732,0.768664,0
main,truck_elite_paral,omp,12,2,30000,94.695077,1420.722071,15.003125,0.763885,0
main,truck_elite_paral,omp,12,3,40000,126.401276,1895.352021,14.994722,0.766797,0
main,truck_elite_paral,omp,12,4,50000,131.972384,1980.178708,15.004493,0.763109,0
main,truck_elite_paral,omp,12,5,60000,108.766289,1631.013830,14.995582,0.752114,0
main,truck_elite_dist,mpi,,1,20000,603.000790,9044.384744,14.998960,0.806959,0
main,truck_elite_dist,mpi,,2,30000,824.802408,12372.897280,15.001044,0.813500,0
main,truck_elite_dist,mpi,,3,40000,858.817207,12883.157204,15.001047,0.798743,0
main,truck_elite_dist,mpi,,4,50000,550.221632,8253.071401,14.999540,0.810736,0
main,truck_elite_dist,mpi,,5,60000,788.114926,11822.158151,15.000551,0.814595,0
main,truck_elite_hibr,hybrid,12,1,20000,319.957620,4799.204877,14.999502,0.810891,0
main,truck_elite_hibr,hybrid,12,2,30000,293.383685,4401.128076,15.001271,0.800742,0
main,truck_elite_hibr,hybrid,12,3,40000,434.023053,6510.704463,15.000826,0.824167,0
main,truck_elite_hibr,hybrid,12,4,50000,409.165149,6137.234411,14.999407,0.799256,0
main,truck_elite_hibr,hybrid,12,5,60000,345.805828,5187.394068,15.000887,0.811714,0
main,truck_izhi_seq,seq,,1,20000,191.496679,2693.868592,14.067443,0.780731,0
main,truck_izhi_seq,seq,,2,30000,162.866091,2373.269071,14.571904,0.761966,0
main,truck_izhi_seq,seq,,3,40000,209.567616,3051.053957,14.558805,0.766606,0
main,truck_izhi_seq,seq,,4,50000,132.190129,1968.769374,14.893467,0.760970,0
main,truck_izhi_seq,seq,,5,60000,242.080515,3508.868642,14.494635,0.762531,0
main,truck_izhi_paral,omp,12,1,20000,80.212581,1212.781197,15.119588,0.770391,0
main,truck_izhi_paral,omp,12,2,30000,110.430784,1656.938080,15.004313,0.759216,0
main,truck_izhi_paral,omp,12,3,40000,107.024606,1603.967207,14.986901,0.767149,0
main,truck_izhi_paral,omp,12,4,50000,117.995955,1770.119126,15.001524,0.754535,0
main,truck_izhi_paral,omp,12,5,60000,99.765224,1496.404616,14.999261,0.764503,0
main,truck_izhi_dist,mpi,,1,20000,678.445317,10176.061962,14.999089,0.809934,0
main,truck_izhi_dist,mpi,,2,30000,614.621166,9219.537250,15.000358,0.820482,0
main,truck_izhi_dist,mpi,,3,40000,528.073203,7922.172285,15.002034,0.810042,0
main,truck_izhi_dist,mpi,,4,50000,807.358297,12110.854311,15.000594,0.795366,0
