gen,fitness
0,555
1,559
2,566
3,566
4,566
5,574
6,578
7,581
8,584
9,584
10,584
11,587
12,591
13,595
14,595
15,599
16,599
17,600
18,604
19,604
20,610
21,610
22,610
23,611
24,616
25,617
26,620
27,623
28,627
29,632
30,632
31,632
32,632
33,634
34,634
35,638
36,641
37,641
38,646
39,646
40,646
41,647
42,648
43,651
44,654
45,657
46,657
47,657
48,659
49,668
50,668
51,672
52,672
53,677
54,680
55,680
56,682
57,682
58,683
59,683
60,686
61,686
62,691
63,691
64,691
65,691
66,692
67,696
68,699
69,699
70,700
71,701
72,704
73,704
74,706
75,707
76,708
77,711
78,714
79,714
80,715
81,717
82,717
83,719
84,719
85,722
86,723
87,725
88,727
89,727
90,730
91,732
92,733
93,739
94,739
95,739
96,741
97,742
98,743
99,743
100,746
101,746
102,747
103,748
104,749
105,751
106,752
107,755
108,763
109,763
110,763
111,763
112,766
113,768
114,768
115,768
116,772
117,773
118,775
119,777
120,777
121,781
122,782
123,782
124,782
125,783
126,785
127,785
128,789
129,789
130,789
131,793
132,793
133,793
134,795
135,795
136,798
137,801
138,801
139,801
140,806
141,807
142,807
143,807
144,808
145,808
146,814
147,814
148,816
149,817
150,819
151,819
152,819
153,820
154,820
155,822
156,826
157,826
158,826
159,826
160,830
161,830
162,830
163,830
164,830
165,830
166,832
167,834
168,834
169,834
170,836
171,837
172,839
173,839
174,842
175,842
176,842
177,843
178,844
179,847
180,848
181,848
182,850
183,850
184,851
185,851
186,853
187,853
188,853
189,854
190,855
191,857
192,858
193,858
194,858
195,860
196,860
197,861
198,863
199,865
