gen,fitness,picos
0,557,1
1,565,0
2,565,0
3,565,0
4,565,0
5,574,0
6,578,0
7,578,0
8,585,0
9,585,0
10,585,0
11,589,0
12,590,0
13,593,0
14,596,0
15,603,0
16,603,0
17,605,0
18,618,0
19,618,0
20,618,0
21,618,0
22,619,0
23,622,0
24,622,0
25,622,0
26,625,0
27,629,0
28,629,0
29,629,0
30,631,0
31,634,0
32,634,0
33,639,0
34,645,0
35,645,0
36,645,0
37,646,0
38,646,0
39,647,0
40,653,0
41,653,0
42,655,0
43,656,0
44,656,0
45,657,0
46,660,0
47,661,0
48,664,0
49,664,0
50,668,0
51,668,0
52,670,0
53,671,0
54,677,0
55,677,0
56,677,0
57,679,0
58,681,0
59,683,0
60,683,0
61,685,0
62,686,0
63,688,0
64,692,0
65,697,0
66,699,0
67,699,0
68,700,0
69,701,0
70,701,0
71,703,0
72,703,0
73,706,0
74,706,0
75,711,0
76,713,0
77,716,0
78,717,0
79,717,0
80,722,0
81,723,0
82,723,0
83,727,0
84,732,0
85,732,0
86,733,0
87,733,0
88,736,0
89,737,0
90,738,0
91,738,0
92,740,0
93,746,0
94,748,0
95,749,0
96,749,0
97,749,0
98,750,0
99,750,0
100,753,0
101,753,0
102,753,0
103,755,0
104,756,0
105,756,0
106,756,0
107,757,0
108,758,0
109,760,0
110,761,0
111,763,0
112,763,0
113,764,0
114,766,0
115,769,0
116,771,0
117,771,0
118,773,0
119,775,0
120,776,0
121,776,0
122,781,0
123,781,0
124,783,0
125,783,0
126,784,0
127,785,0
128,789,0
129,789,0
130,789,0
131,791,0
132,791,0
133,791,0
134,791,0
135,793,0
136,795,0
137,796,0
138,797,0
139,797,0
140,797,0
141,800,0
142,801,0
143,802,0
144,802,0
145,807,0
146,808,0
147,808,0
148,808,0
149,811,0
150,812,0
151,812,0
152,815,0
153,818,0
154,819,0
155,822,0
156,824,0
157,827,0
158,827,0
159,830,0
160,830,0
161,830,0
162,830,0
163,830,0
164,831,0
165,831,0
166,832,0
167,832,0
168,833,0
169,834,0
170,835,0
171,836,0
172,840,0
173,840,0
174,841,0
175,841,0
176,841,0
177,842,0
178,842,0
179,845,0
180,845,0
181,846,0
182,847,0
183,851,0
184,851,0
185,853,0
186,853,0
187,853,0
188,853,0
189,857,0
190,857,0
191,858,0
192,858,0
193,859,0
194,859,0
195,860,0
196,865,0
197,865,0
198,865,0
199,866,0
